time,open,high,low,close,volume
2025-01-02,49.5,49.5,49.0,49.3,514663
2025-01-03,49.3,50.4,49.25,49.35,1897073
2025-01-06,49.4,49.75,48.5,49.0,1151971
2025-01-07,49.1,49.3,48.0,48.15,1658112
2025-01-08,48.25,48.25,47.0,47.2,1774870
2025-01-09,47.3,47.45,46.0,46.0,1647467
2025-01-10,46.0,46.4,44.65,44.65,1787467
2025-01-13,44.3,44.9,43.9,44.8,1582000
2025-01-14,45.3,45.45,44.8,44.8,585600
2025-01-15,45.2,45.3,45.0,45.1,466800
2025-01-16,45.8,46.4,45.5,46.1,956900
2025-01-17,46.1,47.5,46.0,47.45,1356800
2025-01-20,47.8,47.8,46.6,46.6,674100
2025-01-21,46.65,47.45,46.65,46.95,670000
2025-01-22,47.0,47.35,46.4,46.4,544400
2025-01-23,47.0,48.2,46.8,47.5,882600
2025-01-24,47.6,47.9,46.9,47.1,730300
