CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
CMG,2024,4,0.08875070646900196,2305750253392,126571304806,-0.026960619533048607,21291900443,-24294673274,2305750253392,-2587230000,2303163023392,-1857151860860,446011162532,-36655494107,6783570853,-134001313217,-124960892081,178468934423,2061024234,0,-5603257573,-3542233339,174926701084,-24080311430,193082008,151039471662,24468166856,126571304806
CMG,2024,3,0.22525507533050104,2188054139355,58874378306,-0.1281955204559006,32611751182,-20326909911,2188054139355,212500000,2188266639355,-1859580551422,328686087933,-24768713154,10136874865,-133874903778,-126099954764,86691142284,1981532344,0,-1924761948,56770396,86747912680,-11354411596,171389671,75564890755,16690512449,58874378306
CMG,2024,2,0.01190856150924416,1793656400604,83226280864,-0.008237521555430588,26612169333,-18209569564,1793656400604,-212500000,1793443900604,-1453960475032,339483425572,-23446923323,8940586791,-120246938151,-116967072102,114375248120,1079614163,0,-2930588154,-1850973991,112524274129,-15367479440,109122193,97265916882,14039636018,83226280864
CMG,2024,1,-0.09137941424447563,1668002249438,54991022529,0.28165551439623204,26380257369,-8833733243,1668002249438,-181429600,1667820819838,-1317423100242,350397719596,-19222826794,7276323391,-152483067329,-122916561710,89431844523,4865945476,0,-4930882898,-64937422,89366907101,-18078368417,118062066,71406600750,16415578221,54991022529
CMG,2023,4,-0.0800629833146536,2117794495739,130078296261,0.16554971622322834,28759035960,-24797266527,2117794495739,-1047637445,2116746858294,-1710084141633,406662716661,-29481896960,12907222705,-121770534145,-128148677585,168927866636,5638745967,0,-368086516,5270659451,174198526087,-21091871962,131670670,153238324795,23160028534,130078296261
CMG,2023,3,-0.01936943855511556,1785794797679,67531630873,-0.11266254474828866,36951007161,-28950678897,1785794797679,-56863636,1785737934043,-1472850817664,312887116379,-27901101878,11651861673,-117162927839,-127526391002,88899564494,1892691070,0,-2800294338,-907603268,87991961226,-7510453744,34639607,80516147089,12984516216,67531630873
CMG,2023,2,0.03678792120032919,1772547904851,83917553520,0.0502537384699943,27050361269,-20487444338,1772547904851,-1080078311,1771467826540,-1466816664311,304651162229,-25771614641,9093047521,-99387896087,-106986212657,108648847634,1216823353,0,-234608166,982215187,109631062821,-13159558740,245872257,96717376338,12799822818,83917553520
CMG,2023,1,0.03382088059804412,1835752211195,42906242677,0.27635458612948977,33860375944,-31320110578,1835752211195,-4941537239,1830810673956,-1477537765464,353272908492,-38574156195,7663880211,-184958407749,-115324339905,55940260798,1022011335,0,-1140464442,-118453107,55821807691,-4736435098,-1949234020,49136138573,6229895896,42906242677
CMG,2022,4,0.25226267121991686,2302108141457,111602529219,0.1345919824106781,21961446318,-25871195744,2302108141457,0,2302108141457,-1902394978529,399713162928,-32536167666,9244079037,-141944646412,-124105022188,132332852017,3901793882,0,-3187629171,714164711,133047016728,-8764248899,478760109,124761527938,13158998719,111602529219
CMG,2022,3,0.32360478123361097,1821067859692,76105917172,0.1625661051478081,25588218236,-28074561014,1821067859692,380748388,1821448608080,-1455594521318,365854086762,-31712847476,8966727109,-136208955503,-125347911855,107139317273,-128497678,0,157858469,29360791,107168678064,-19412890777,1493327037,89249114324,13143197152,76105917172
CMG,2022,2,0.31412930161790686,1709653313475,79902170729,0.8123080348210112,16497771106,-17992174016,1709653313475,-380748388,1709272565087,-1387275481244,321997083843,-22948208335,7180349499,-103279889675,-113548837824,105898268614,914222537,0,-684108980,230113557,106128382171,-14199960501,13574441,91941996111,12039825382,79902170729
CMG,2022,1,0.3326278937834248,1775696588884,33616240458,0.18033933623227125,25692243498,-16380419681,1775696588884,-11760000,1775684828884,-1444065141944,331619686940,-18748432658,5731870734,-160929307407,-98302787221,85063273886,-4546310945,0,-22779594534,-27325905479,57737368407,-8590567430,442135483,49588936460,15972696002,33616240458
CMG,2021,4,0.18913852968762895,1838358831869,98363579991,0.3691047791305523,19115595448,-19182899079,1838358831869,-71055127,1838287776742,-1495339930806,342947845936,-20145678818,6902754847,-110758647036,-105955567868,132106302509,4549189973,0,-816468558,3732721415,135839023924,-16662239341,-48349779,119128434804,20764854813,98363579991
CMG,2021,3,0.10311818171587471,1375839590119,65463733060,0.39625140105192935,27052988897,-17706244055,1375839590119,-296237008,1375543353111,-1101261521104,274281832007,-18654308798,5787794097,-101504224957,-78662028464,108302052782,2731642483,0,-8997750191,-6266107708,102035945074,-15485833966,7728945,86557840053,21094106993,65463733060
CMG,2021,2,0.22959839173482532,1300978002218,44088625771,0.5549621985701358,20908015795,-17482399080,1300978002218,-109128007,1300868874211,-1065977861558,234891012653,-17240908820,5654261716,-91510612671,-80684388866,72017379807,1807184830,0,-697817302,1109367528,73126747335,-10668355089,-21269223,62437123023,18348497252,44088625771
CMG,2021,1,0.24054768920363506,1332477428371,28480149247,0.2038925668384112,19985176289,-12017039237,1332477428371,-1043366091,1331434062280,-1147622393879,183811668401,-13615106537,6318626206,-107069556754,-34416291731,55014515874,4709914627,0,26136773,4736051400,59750567274,-14897842867,-20998572,44831725835,16351576588,28480149247
CMG,2020,4,0.03487058396266904,1545958511959,71845180508,0.07227203685534953,22144737385,-19513642160,1545958511959,-15757520,1545942754439,-1243178955424,302763799015,-20269700804,6135823917,-96338050145,-115449943526,98986665842,2621767044,0,-2133336925,488430119,99475095961,-11386739486,-19217612,88069138863,16223958355,71845180508
CMG,2020,3,0.06556924308265925,1247227734003,46885348162,0.04662888686104066,22627233602,-20393720297,1247227734003,23320456,1247251054459,-1020675742369,226575312090,-21497629648,5729285611,-92439392355,-57307368305,83687440995,-997742310,0,-1679358650,-2677100960,81010340035,-15378832522,-5609008,65625898505,18740550343,46885348162
CMG,2020,2,-0.06009560920602457,1058051157974,28353503263,2.30023327288266,21675412155,-16972481045,1058051157974,-23320456,1058027837518,-864266805852,193761031666,-17548891895,4114523964,-76727542654,-77007889165,48266644071,2771188548,0,-759109583,2012078965,50278723036,-7500561851,-19217612,42758943573,14405440310,28353503263
CMG,2020,1,-0.11164253253899792,1074104155743,23656719903,0.44596986216035295,25444796979,-19730368280,1074104155743,119976565,1074224132308,-870957400153,203266732155,-19816358694,5094898325,-116108510189,-51228351412,46653207164,2034552230,0,4069310376,6103862606,52757069770,-12487850945,-20998572,40248220253,16591500350,23656719903
CMG,2019,4,0.005695920044630035,1493866514245,67002754934,0.41850499778555894,20185234854,-17819964489,1493866514245,-7113598290,1486752915955,-1197324525552,289428390403,-19532086887,7047815890,-92393156001,-109510522963,95225675296,5562930867,0,-4607705461,955225406,96180900702,-13044970926,-3828048,83132101728,16129346794,67002754934
CMG,2019,3,-0.08101415973521937,1170480231200,44796535573,0.1160924799515395,7705531838,-12699673426,1170480231200,17479855359,1187960086559,-971490174932,216469911627,-12831680294,4990459821,-91701665664,-46761154859,77871402469,3103905926,0,-1440307559,1663598367,79535000836,-15863108136,-20084714,63651807986,18855272413,44796535573
