CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
CMG,2024,4,0.7468459421,1.1529122824,0.6245745837845629,1.883279664278253,1.0579422086,3.5310495187,70.52257740479052,12.7754510127,48.0186959252,131.31672434269052,28.5704199122,0.08121394592316887,0.19365158176043215,0.05495542587323723,0.1143924412,0.0773621746,0.0416234828,889037469891.0,187048957234,0.0,1.2530516727,0.2088423074,1.1858028515,-7.699175663917183,2.1529122823910907,8695028208050,211300807,27.8386780904,3.0473780579,1.0959315289,11.5931049462,599.0100397770842,13503.4115289915,12.0075419573
CMG,2024,3,0.782593884,1.2276399413,0.6684726141619466,1.8034420548046493,1.0680651638,3.3717800881,69.26522145354697,11.0957760605,48.5344100863,128.89540760034697,32.8954007371,0.03139984321620554,0.15020385634078007,0.02690457243517337,0.1224371187,0.0763827244,0.0449943778,794170082305.0,68711229391,0.0,1.1901999682,0.1724736192,1.1271276719,-3.3803086495609747,2.227639941324037,9468086700800,211341221,29.7612746478,3.4589749557,1.2226754789,14.5228555009,278.5749889558933,12951.8139257556,14.864212314
CMG,2024,2,0.7232288365,1.1227481325,0.6662951623629079,1.8070638024372967,1.0343244837,3.1919046615,71.92799773788536,12.3456605239,49.9513508281,134.22500908988536,29.5650442755,0.05702403921558822,0.18929135472688496,0.04640584566708268,0.1232412444,0.0758843327,0.0456702555,759255231856.0,102269415319,0.0,1.2257912753,0.1622479743,1.1611073081,-5.616245620719385,2.1227481324525352,10110107037600,190397496,31.1160447432,3.7165562559,1.3764666283,17.1137358142,437.1185683240288,14287.4199510691,15.7857878896
CMG,2024,1,0.6974358728000001,1.0715433441,0.7090647506462255,1.7564033065046192,1.0433395972,3.168793844,73.80578266974669,13.8196507099,49.8971489869,137.5225823665467,26.4116660879,0.04496771455598256,0.21009314395657627,0.03297178082615699,0.1260305184,0.0776586162,0.0463050531,746281896265.0,74998090557,0.0,1.1883098307,0.1924280228,1.1454081537,-8.489965509930895,2.0494825598627346,12150027084800,190439296,37.3171884677,4.5930810172,1.6591610025,22.6594885116,288.758799701717,13890.4582263631,18.6072351984
CMG,2023,4,0.7907790428000001,1.2236042949,0.6886305025809343,1.7193133559408786,1.056875637,3.2868174959,75.74897239587915,14.829935117,50.4418348079,141.02074232077916,24.6123801029,0.07404924415824007,0.19211683960582387,0.06145198503605532,0.128874095,0.0746116478,0.045689129,740977612818.0,156743504931,0.0223123732,1.1882116517,0.1966147132,1.1117287122,-6.320999323063815,2.223604294943848,9368330902800,190026996,28.8778942075,3.597316282,1.2483179732,22.4970896313,684.5253516558247,13704.6609568937,15.2235641704
CMG,2023,3,0.7469460817,1.1444836903,0.707692920196426,1.6991217083942112,1.122946044,3.3132183418,72.4036172893536,15.552911206,49.2297144725,137.18624296785362,23.4682751779,0.03819026086520813,0.17521446479585498,0.03781721247311189,0.1228194401,0.0725501691,0.0447162046,711941412765.0,68197797538,0.0271604938,1.1869219564,0.1386763983,1.1018077007,-2.3556545178312542,2.132886280678611,7696093338000,190026996,25.1022604685,3.0011178399,1.0002773304,12.3883789653,355.3791424087975,13494.9715939782,13.4969349302
CMG,2023,2,0.7231799011,1.199257756,0.7353667066996447,1.6654632625326122,1.1465819929,3.2976469913,69.88773079793005,18.0397739911,50.7013924001,138.62889718913004,20.2330694487,0.055477752411091215,0.17197668377869404,0.04737176270590604,0.1292744287,0.0820388978,0.0466793549,745886603646.0,98277053485,0.0218253968,1.0802052097,0.0846178331,0.9850414649,-4.796940597550093,2.199257756035444,7589127772800,150577932,24.1087117175,3.0244409512,0.9823051524,12.0321810757,557.3031346983832,16664.2367342912,12.8315731928
CMG,2023,1,0.6373717812999999,1.1185173105,0.7542060180955182,1.6401174457830054,1.1566704373,3.4093366888,68.42433663645213,18.4288001939,49.8622935724,136.71543040275213,19.8059556868,0.028943550303592733,0.19295982567583075,0.023435652461151844,0.1312302866,0.0934461791,0.0470880233,738608412390.0,52990160838,0.0,1.2536777117,0.1385888392,1.1688311727,-1.6918893279777105,2.101316723941694,7183430726400,150596032,22.9825064892,2.8939690741,0.9373135095,8.7950362293,284.90951658673185,16482.5534682215,11.8446304384
CMG,2022,4,0.743163612,1.2508284442,0.7518191635831666,1.6153826497045949,1.1778853515,4.3932479426,68.39103323545099,20.8135942237,48.0495835985,137.254211057651,17.5366155445,0.05806134469573815,0.1736291861054895,0.04847840429788279,0.1063273732,0.092552829,0.0466333763,713410332348.0,133663494328,0.0310633214,1.3200647741,0.1289959385,1.2316983796,-5.16649851250107,2.250828444166894,6302443939200,150596032,20.8879316728,2.5865892566,0.8283409639,13.2841988448,741.0721765829793,16179.6079115617,11.2972022597
CMG,2022,3,0.7314495701,1.2061539536,0.8057939706822329,1.546045176157674,1.1344910954,4.13347645,67.52028137339346,26.4544422638,51.0250952621,144.99981889929347,13.797304678,0.057260588600377985,0.2008588576911039,0.04178318116382307,0.1043477811,0.0932979712,0.0457290022,676828311024.0,104297219404,0.0322981366,1.2334669244,0.1079547471,1.0859243791,-3.7150080228143154,2.2061539535886943,6061490288000,150596032,21.0008625865,2.6076910102,0.8483904945,17.8871736815,505.36469096343785,15435.1109247354,11.5518027838
