Date,CMG,CTG,CTS,FPT,HAG,ITD,KDH,MSN,MWG,NLG,NVB,PDR,POT,PVB,PVC,PVD,PVS,VCB,VIC,VNM
2023-11-19,36.134396,31.576536,28.184622,81.85844,13.322701,9.89836,27.821009,65.735504,44.297104,37.241222,11.32056,24.883034,17.995386,20.448997,14.717855,27.766262,36.94851,60.90463,42.860527,63.696125
2023-11-20,35.681683,31.796354,28.173172,81.68995,13.318036,9.844109,28.765915,65.98244,44.842934,38.6358,11.329756,25.23569,17.949018,20.345974,14.679075,27.502249,36.772392,60.980522,43.030464,63.974113
2023-11-21,35.95246,32.491474,28.08991,82.539665,13.704049,9.815429,28.643509,67.29058,44.920574,38.579086,11.350757,25.077158,17.933384,20.328306,14.555083,27.42246,36.548878,61.599216,42.930176,64.35426
2023-11-22,35.67949,32.51951,28.199898,81.67582,13.755885,9.779954,28.360514,67.24897,45.18027,38.522022,11.375963,25.244503,17.954332,20.36712,14.424648,27.355406,36.142696,61.68579,43.0805,64.39062
2023-11-23,35.634773,32.48356,28.206692,80.83291,13.709284,9.74629,28.346746,67.27602,45.026016,38.679363,11.338184,25.411976,17.91736,20.392323,14.468063,27.456913,36.316803,61.56839,43.539215,64.2645
2023-11-24,35.956894,32.525467,28.555449,82.363754,13.806813,9.731749,28.57338,67.27657,45.125446,38.94088,11.380151,26.284767,17.894356,20.374868,14.549062,27.47622,36.60269,61.65236,43.627777,64.19137
2023-11-25,35.361332,32.330643,28.308372,81.43072,14.550578,9.740249,28.314213,67.131004,44.92296,38.240906,11.368631,25.68382,17.763966,20.617601,14.6969795,27.76112,36.734524,61.290123,43.17549,63.82708
2023-11-26,35.211685,32.20742,28.50034,80.45935,14.278304,9.660407,28.102177,66.15287,44.268433,37.81994,11.293175,25.565287,17.583185,20.64968,14.597712,27.620306,36.527184,60.934193,43.192226,63.641228
2023-11-27,35.153503,32.241657,28.992474,80.47689,14.596421,9.669108,28.372173,66.81115,44.633877,38.147366,11.220617,25.766966,16.979086,20.591066,14.583048,27.535677,36.463894,60.834587,42.9151,63.50403
2023-11-28,35.64837,32.231766,29.039,81.46667,14.476911,9.649169,28.240944,66.15023,44.44068,38.877346,11.203084,26.480825,16.940521,20.584633,14.575142,27.559345,36.476257,61.218025,42.79657,63.58315
2023-11-29,35.700985,32.267654,28.872715,81.41112,14.430309,9.62504,28.300257,66.05429,44.24108,38.861958,11.243527,26.439827,16.845968,20.615664,14.593773,27.6208,36.546448,61.09558,42.324825,63.538456
2023-11-30,35.750305,32.28459,28.795176,80.96124,14.481731,9.6115465,28.213564,65.755196,44.405342,38.74846,11.179701,26.289097,16.759415,20.778013,14.555655,27.604586,36.264076,61.129333,42.06564,63.49472
2023-12-01,35.782936,32.402645,28.758022,80.63835,14.480086,9.611314,28.345316,65.98994,44.323578,38.553318,11.151582,26.212029,16.70008,20.820007,14.59172,27.67741,36.403088,61.08837,42.557617,63.581043
2023-12-02,35.94296,32.363754,28.956518,79.67359,14.63075,9.5676565,28.041847,66.30096,45.04447,38.541183,11.084797,26.385696,16.893166,20.899223,14.61151,27.8537,36.580624,60.912933,42.30231,63.519974
2023-12-03,35.986923,32.117363,29.385672,79.36392,13.976701,9.579391,28.005762,64.51164,45.097034,38.1032,10.897264,26.053654,16.418814,20.84747,14.50572,27.787968,36.427444,59.608837,42.21349,63.756245
2023-12-04,36.762,32.4932,30.533747,84.27751,14.024417,9.656851,27.643993,65.05522,46.10146,38.447773,10.809169,26.038975,16.361923,20.872362,14.471154,27.87384,36.653122,60.19902,42.0154,64.19992
2023-12-05,37.77146,32.475002,31.033676,87.79806,13.80009,9.660812,27.745987,64.90097,47.15084,38.93046,10.833342,26.75751,16.382982,20.900475,14.510084,28.104506,36.69219,60.371246,41.93006,63.940327
2023-12-06,37.77626,32.904507,30.739859,87.69686,13.523822,9.595522,27.852737,65.100395,46.995667,39.08783,10.824678,27.083874,16.387316,20.938765,14.360572,28.007038,36.285572,60.527077,41.857613,64.05035
2023-12-07,37.664276,33.376923,30.755781,88.79613,13.521351,9.586047,28.06237,64.82135,46.909245,39.040104,10.937362,27.000212,16.407526,20.986069,14.367803,28.138186,36.31012,60.424637,42.369198,64.06266
2023-12-08,37.76891,33.87098,31.174122,91.22847,13.432955,9.644623,28.482891,64.54304,46.86831,39.300407,10.959935,27.050228,16.460857,20.981485,14.553008,28.491982,36.941776,60.25141,42.962128,63.994213
2023-12-09,36.9029,34.37561,30.822224,91.78063,13.1738,9.674647,28.34864,64.738266,46.910404,39.54779,11.017464,27.24067,16.630552,21.031174,14.578602,28.545502,37.228653,60.272327,42.32133,64.000885
