date,close,open,high,low,volume,change,symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,stochastic_osc,atr,adx_14,adx_20,sma_3,sma_7,sma_14,sma_21,sma_50,sma_100,wma_3,wma_7,wma_14,wma_21,wma_50,wma_100,ema_6,ema_12,ema_26,out_macd,out_macd_signal,out_macd_hist,rsi_6,rsi_12,rsi_14,stochrsi_6,stochrsi_12,stochrsi_14,bbands_middle,bbands_upper,bbands_lower,obv,mfi_14,mom_1,mom_3,mom_7,cci_12,cci_20,rocr_3,rocr_12,willr,trix,net_profit_loss_before_tax,depreciation_fixed_assets,credit_risk_reserve,unrealized_forex_gain_loss,investment_income_loss,interest_income,interest_dividend_income,net_cash_flow_operating_before_wc_changes,change_in_receivables,change_in_inventories,change_in_payables,change_in_prepaid_expenses,interest_expense_paid,corporate_income_tax_paid,other_cash_inflows_operating,other_cash_outflows_operating,net_cash_flow_from_business_activities,capital_expenditure,cash_from_fixed_assets_sale,cash_outflow_loans_debt_instruments,cash_inflow_loan_recoveries,investments_in_other_businesses,cash_from_sale_investments,dividends_profit_received,cash_flow_investing,increase_in_equity,cash_used_share_repurchase,cash_from_borrowings,cash_repayment_borrowings,dividends_paid,cash_flow_financing,net_cash_flow_period,cash_and_equivalents,exchange_rate_effect,ending_cash_equivalents,revenue_growth_percent,revenue_vnd,net_profit_after_tax_parent_vnd,profit_growth_percent,financial_income,interest_expense,sales_revenue_service_income,revenue_deductions,net_revenue,cogs,gross_profit,financial_expenses,profit_loss_associates,selling_expenses,administrative_expenses,operating_profit_loss,other_income,profit_loss_joint_ventures,other_income_expense,other_profit,profit_before_tax,current_corporate_tax_expense,deferred_corporate_tax_expense,net_profit,minority_interest,parent_company_shareholders,loans_to_equity_ratio,debt_to_equity,fixed_assets_to_equity,equity_to_chartered_capital,asset_turnover,fixed_asset_turnover,avg_collection_period,avg_inventory_days,avg_payment_days,cash_cycle,inventory_turnover,ebit_margin_percent,gross_profit_margin_percent,net_profit_margin_percent,roe_percent,roic_percent,roa_percent,ebitda_billion_vnd,ebit_billion_vnd,dividend_yield_percent,current_ratio,cash_ratio,quick_ratio,interest_coverage,financial_leverage,market_cap_billion_vnd,shares_outstanding_million,pe,pb,ps,p_cash_flow,eps_vnd,bvps_vnd,ev_ebitda
2018-03-31,20865.1,20259.533333333333,21162.4,19951.233333333337,321393.3333333333,3.5,CMG_RRV,-0.0005269183420274,0.1654331882948954,0.2735201845725656,0.0208422581667135,0.0271581326287598,0.023835389054322,258604.6666666667,212305.3968253969,225412.83068783063,0.0146745729582453,-0.0152175272217523,0.1160194694052203,92.59250360403644,798.2714285714293,,,20520.099999999995,19285.895238095236,18831.321428571428,18128.214285714286,17733.944000000003,18084.84222222222,20694.43333333333,19843.88452380952,19228.744444444445,18778.4582972583,17892.367503267975,17921.36593406593,19835.969841238093,19123.410044136504,18376.124132539513,747.2859115969914,431.745068730718,315.54084286627335,92.4943167456711,84.81203614135093,83.0430989408855,0.990314253020374,0.9913430083187,0.9915932670263096,18128.214285714286,20842.10939156996,15414.319179858612,-1933578.3333333333,80.36271074279895,-11.0,1904.7999999999993,2609.466666666667,161.3533920287925,171.3873335755027,1.1004625454238592,1.1806802813474346,-7.407496395963543,0.3529238998992268,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-01,20854.1,20699.966666666667,21151.4,20083.366666666665,246696.66666666663,1.67,CMG_RRV,-0.0005271961313388,0.1273766211299658,0.2814602702520017,0.0250832492394309,0.026973218646968,0.0238367235105257,281202.0,214483.33333333337,221636.5873015873,0.0143623419683446,-0.0297874875804954,0.1154311082584509,91.87697160883272,828.1571428571436,,,20865.1,19682.27142857143,19073.55,18351.571428571428,17799.126666666667,18115.273626373622,20861.43333333333,20235.93571428571,19498.448253968258,19026.26608946609,18014.726562091502,17985.121022455805,20126.86417231292,19389.670037346274,18559.677900499548,829.9921368467258,511.3944823539196,318.59765449280616,91.66165061502596,84.4407290585854,82.72754241454861,0.9506819216207864,0.9811947097318784,0.9819619948135164,18351.571428571428,21156.895658854977,15546.24719828788,-2180275.0,80.7213418361546,-11.0,1035.0,2774.6333333333314,123.28185167375332,155.6020485141741,1.0522223511662991,1.1037302452604505,-8.12302839116726,0.4170548290571174,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-02,20843.1,21140.4,21140.4,20215.5,172000.0,-0.16,CMG_RRV,-0.0005274742137038,0.0993022262305975,0.2895085253285159,0.0274463964380443,0.0267818866445589,0.0238380448669422,281826.0,210925.7142857143,218943.73015873015,0.0140631208491799,-0.0437503547709599,0.1148427471116815,90.56636106588974,844.6714285714295,,,20854.099999999995,20102.242857142857,19300.05,18579.647619047617,17858.363999999998,18144.92391304348,20850.43333333333,20526.14285714286,19734.388253968253,19252.768686868687,18134.09806535947,18046.582935951377,20331.502980223515,19613.27464698531,18728.82027824032,884.4543687449877,586.0064596321333,298.4479091128544,90.52079094763704,84.0060816057736,82.36640570173716,0.8462770513121256,0.9693152376294814,0.9709395449611974,18579.647619047617,21379.055013286757,15780.240224808478,-2352275.0,80.53324096617972,-11.0,-33.0,2939.7999999999993,98.66478080021184,136.7617511167408,0.9984192449739177,1.0916961722989251,-9.433638934110265,0.4777099685447039,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-03,20479.8,20545.8,20810.1,20413.7,165830.0,-1.74,CMG_RRV,-0.0174302287087813,0.0333365289039362,0.2757218052138162,0.0269880079876105,0.0267372533863114,0.0223133118730024,260402.0,204217.61904761905,213689.12698412695,0.0160762783634611,-0.0064295379104244,0.0954107830551989,79.20987950362682,788.0500000000005,,,20725.666666666668,20385.37142857143,19413.307142857146,18758.966666666667,17904.61,18170.030107526884,20663.28333333333,20620.53214285714,19891.688253968252,19425.50981240981,18236.89947712418,18098.353511782203,20373.87355730251,19746.5862397568,18858.52247985215,888.0637599046495,646.4179196866367,241.64584021801284,57.45527956391613,69.9518326773137,70.61849596912542,0.0,0.5851945968993584,0.612375208233429,18758.966666666667,21538.83926118929,15979.094072144046,-2518105.0,73.4916330160037,-363.2999999999993,-385.2999999999993,1981.8999999999976,72.66264207402621,111.19159527201715,0.981533757326828,1.0877194846028828,-20.79012049637318,0.5281003407394236,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-04,20744.0,20479.8,21140.4,20479.8,288310.0,1.29,CMG_RRV,0.0129005166066076,-0.0063278102710754,0.2411078071807637,0.010765690988467,0.0262907409719188,0.0221674672030756,238846.0,209771.42857142855,207077.38095238095,0.0193556577700954,0.0,0.1095421480530594,87.12906900065938,788.0428571428578,,,20688.966666666664,20640.18571428571,19531.278571428575,18925.699999999997,17949.532000000003,18197.412765957448,20672.45,20710.189285714285,20069.11396825397,19605.967388167388,18348.248104575167,18154.051332586783,20479.62396950179,19900.034510563444,18998.187481344583,901.8470292188612,697.5037415930816,204.34328762577968,68.98839421676408,73.72919296847195,73.75904413940822,0.3235719610142428,0.6884346962240563,0.7082295855030363,18925.699999999997,21743.346094960223,16108.05390503977,-2229795.0,73.65103256375828,264.2000000000007,-110.09999999999854,1783.7000000000007,73.46466691187761,109.46340124135678,0.9947204626428376,1.1254462396510378,-12.870930999340608,0.5710611041526814,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-05,20380.7,20744.0,20777.1,19951.3,167750.0,-1.75,CMG_RRV,-0.0175134978789046,-0.0232158005473253,0.1819969146184452,0.012950024702749,0.0247599406481564,0.0222695862338179,208117.3333333333,212882.38095238095,206909.7619047619,0.0191091399922868,-0.0382134593135364,0.0901101839965767,76.23943408668543,806.9214285714291,,,20534.833333333332,20720.414285714283,19642.171428571422,19106.590476190475,17988.179,18220.394736842107,20518.31666666667,20645.317857142854,20182.370158730155,19738.240115440116,18443.588026143792,18200.439846491223,20451.35997821557,19973.983047399837,19100.5958160598,873.3872313400389,732.6804395424731,140.70679179756576,45.33135978101791,61.22196805363292,63.063771351669814,0.0,0.3465962050674755,0.3817933529694889,19106.590476190475,21776.14453034703,16437.03642203392,-2397545.0,72.50211432554873,-363.2999999999993,-462.3999999999978,561.6000000000022,39.49420984165325,75.18294785154436,0.9778152002341304,1.1164060773934623,-23.760565913314565,0.6018215869316723,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-06,20678.0,20479.8,20810.1,20149.4,186630.0,1.46,CMG_RRV,0.0145873301702099,-0.0084443826393849,0.2470148353636474,0.0156307425587901,0.0244517427712578,0.021703417086308,196104.0,210683.33333333337,208199.2857142857,0.0064502583033036,-0.0161329700485355,0.1060119811724433,85.1507703375097,788.0500000000003,,,20600.9,20692.114285714284,19802.614285714284,19279.614285714288,18033.763,18245.994791666668,20589.9,20634.714285714286,20320.480634920637,19881.095526695524,18549.071202614377,18251.52356099656,20516.11427015398,20082.293347799863,19217.44057042574,864.8527773741225,759.114907108803,105.73787026531954,60.7509023257288,66.68724537444797,67.51190881006596,0.3328177368874278,0.4959692407185052,0.5175573734416802,19279.614285714288,21857.2497521035,16701.978819325075,-2210915.0,77.29535489410978,297.2999999999993,198.20000000000073,-198.09999999999857,44.009121061360105,76.69484150294792,1.0096778288850476,1.1437284285672142,-14.849229662490298,0.6249978851642801,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-07,20567.866666666665,20545.866666666665,20788.066666666666,20127.4,195680.0,0.4399999999999999,CMG_RRV,-0.005326111487249,-0.0132050094915503,0.2067157538599937,0.0156958642185805,0.0246535245196512,0.0215668086455381,200840.0,208898.25396825396,206260.60846560847,0.0107174841330616,-0.0203674380572895,0.1001212380544858,81.84960933597097,792.7690476190476,,,20542.18888888889,20649.65238095238,19967.77380952381,19437.431746031747,18078.135333333335,18269.931615120277,20573.38333333333,20603.65238095238,20422.51428571429,19998.209379509382,18648.447816993463,18298.795869275546,20530.900669157603,20156.99693531783,19317.472133110252,839.5248022075793,775.1968861285583,64.32791607902107,52.99830684809742,62.811626844476805,64.20685287189494,0.1696623938197078,0.066493970542705,0.4166819651953313,19437.431746031747,21897.238857392473,16977.62463467102,-2406595.0,74.92116599517205,-110.13333333333505,-176.13333333333503,-297.2333333333336,32.52740328851506,66.17937247782369,0.991509191412778,1.14883103487439,-18.150390664029025,0.6395021505928522,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-08,20457.733333333337,20611.933333333334,20766.033333333333,20105.4,204730.0,-0.5800000000000001,CMG_RRV,-0.0053546308481189,-0.0010774844806427,0.1857012312334938,0.0136278746960321,0.0248260376185944,0.0214217897720134,208620.0,207527.14285714287,201093.73015873015,0.0149573548009405,-0.0245747608990261,0.0942304949365282,78.54844833443235,797.4857142857143,,,20567.86666666667,20593.028571428575,20137.65,19580.042857142857,18121.296,18292.25612244898,20531.155555555553,20555.672619047615,20487.842222222225,20090.964069264068,18741.76538562091,18342.41076753934,20509.995716064954,20203.264073474063,19401.93592571937,801.3281477546952,780.4231384537857,20.90500930090957,44.964958127918294,58.77480042573286,60.77393292585714,0.0,0.0,0.3119039500839641,19580.042857142857,21902.472547325437,17257.613166960276,-2611325.0,72.318844225882,-110.1333333333314,77.03333333333285,-396.36666666666497,14.564644299884677,56.75725949804239,1.0037797197021363,1.1059489635760456,-21.45155166556764,0.6450232232547926,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
2018-04-09,20347.6,20678.0,20744.0,20083.4,213780.0,-1.6,CMG_RRV,-0.0053834572745107,-0.019109139992287,0.1651902032308494,0.0115478044081002,0.0249704197780762,0.0212677093729796,193714.0,206570.0,192698.6507936508,0.0191701325079795,-0.0287551987619691,0.0883397518185706,74.74694963456768,802.1999999999999,,,20457.733333333337,20522.242857142857,20312.242857142857,19707.44761904762,18163.245,18313.017171717172,20421.022222222226,20494.315476190473,20515.835555555557,20160.741991341987,18829.0714248366,18382.514552188553,20463.596940046395,20225.4696006319,19471.985116406824,753.484484225075,775.0354076080436,-21.550923382968563,37.09342099232951,54.62575532472017,57.242516617000035,0.0,0.0,0.0,19707.44761904762,21878.918314689643,17535.976923405597,-2825105.0,69.55157551023322,-110.13333333333505,-330.40000000000146,-495.5,-32.01498943171184,48.18663858089615,0.9840216655382532,1.0731686734914532,-25.253050365432323,0.6417943493716827,26627327215,40401974890,34500461134,-70330757,-17446703940,6234048562,0,90246777104,36598686167,45085959589,-111682484006,-4978846727,-5838567094,-7090886335,0,732552030,43073190728,-135634028231,1498291473,-31715597626,-3342709750,16751172457,-227074067,3928055977,-148741889767,0,0,1083478875325,-1190630361674,36163132,-107115323217,-212784022256,356219770300,55313892,143491061936,-0.0263324740212137,1034469203916,4702809823,-0.8026708647764779,6064627320,-6234048562,1034469203916,10010196390,1044479400306,-874114648200,170364752106,-6040132025,3222308501,-74522050525,-76816442241,22273063136,3569591016,0,784673063,4354264079,26627327215,-9693025676,-25548541,16908752998,12205943175,4702809823,0.6104607349,1.4009002924,0.8552665689031427,0.6557561746893982,1.7124337322,5.7394260791,67.46598711182827,18.4948684405,42.6486611423,128.60951669462827,19.7352039121,0.0182160216222798,0.1631097291685105,0.0045025395633673,0.1251040168,0.1227996237,0.0540526973,345928744854.0,19026259340,0.0,1.1750620991,0.1013339275,1.0389878653,-3.0519908773209843,2.4009002924204252,1380510036500,67341953,8.9094231082,1.4147687047,0.2834814825,6.864470231,69.83477035481879,14490.001038179,5.0245267491
