Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Cổ tức đã trả,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),Tỷ suất cổ tức (%),Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND)
2013-04-01,10124.3,9965.3,10124.3,9859.2,2010000.0,1.6,CTG_RRV,0.0159553651169559,0.0052624785280945,-0.0449944818088348,0.0101794978896315,0.0215949746040009,0.0235649455799833,2146000.0,3401428.571428572,1985382.6984126985,-0.8130255802891887,10158.745,11131.41,10702.584,10143.480476190476,10713.680078431373,10894.035128712869,10434.379994703411,10149.777457153028,-284.602537550385,-317.5310982537897,45.82554006693488,10531.193752956391,9786.296247043609,0.7165775736272063,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-02,10601.3,10230.3,10813.4,10177.3,10250000.0,4.71,CTG_RRV,0.0471143684007784,0.0471143684007784,-0.0147856956990446,0.0232640940039213,0.0208126061436961,0.0238499628809764,3776000.0,3821904.761904762,2090303.3333333333,-0.7593074161047716,10195.85,11105.966,10719.545999999998,10185.628571428571,10692.891450980393,10892.029504950497,10446.744439540198,10219.24246374487,-227.5019757953287,-299.5252737620975,66.83289292890667,10589.885250894118,9801.814749105884,1.0,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-03,10495.3,10654.3,10866.4,10389.3,3200000.0,-1.0,CTG_RRV,-0.0099987737352965,0.0420998282247575,0.0312460082733141,0.0240990410258766,0.0195875398610827,0.0234564657002425,4172000.0,3892380.952380952,2072049.365079365,-0.771244785923531,10222.35,11077.342,10733.857999999998,10214.14761904762,10668.943764705882,10887.58899009901,10450.341147722404,10261.712853937966,-188.62829378443897,-277.3458777665658,60.78874215001954,10622.343407840192,9822.356592159806,0.8249767743121785,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-04,10601.3,10495.3,10760.4,10442.3,3350000.0,1.01,CTG_RRV,0.0100997589397158,0.0638214604678233,0.0752697987666339,0.0216691604122943,0.0195752305827806,0.0234918184505598,4194000.0,3993333.3333333335,2068874.761904762,-0.7593074161047716,10251.5,11054.017999999998,10750.29,10250.238095238095,10650.27545098039,10884.96407920792,10461.523284928153,10313.957030255202,-147.5662546729509,-251.38995314784285,64.49381651523314,10673.26251736309,9829.73748263691,0.9294182676282556,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-05,10548.3,10601.3,10601.3,10442.3,1780000.0,-0.5,CTG_RRV,-0.0049993868676483,0.058503005428838,0.058503005428838,0.0224973948034916,0.0196469182235412,0.023364077936621,4118000.0,3996190.476190476,2061731.9047619049,-0.7652761010141512,10264.75,11032.813999999998,10761.951,10278.504761904762,10630.44337254902,10880.964277227724,10467.95118974829,10350.009794831323,-117.94139491696478,-224.70024150166725,61.15978270362221,10706.877619108744,9822.622380891256,0.8288136525614506,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-08,10548.3,10601.3,10707.3,10495.3,1800000.0,0.0,CTG_RRV,0.0,0.0418794385784695,0.0529031871674834,0.022859902756735,0.018876750414827,0.0232280280393106,4076000.0,4013333.3333333335,2070938.253968254,-0.7652761010141512,10267.399999999998,11016.912,10769.902,10305.509523809524,10611.44282352941,10876.733564356437,10473.90295347064,10380.515980241891,-93.3869732287476,-198.43758784708336,61.15978270362221,10715.934878066268,9818.865121933728,0.8288136525614506,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-09,10442.3,10548.3,10548.3,10442.3,1640000.0,-1.0,CTG_RRV,-0.0100490126371074,-0.0149981606029448,0.0154619625995546,0.0084153444972563,0.0184965127996572,0.0232316373846284,2354000.0,4027619.047619048,2076652.53968254,-0.7772134708329106,10270.05,11003.13,10773.612,10322.166666666666,10588.90901960784,10870.246396039603,10471.561993954296,10390.02121405083,-81.54077990346559,-175.0582262583598,53.75973003946244,10722.22876064535,9817.871239354648,0.6055167420264718,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-10,10283.3,10442.3,10601.3,10283.3,2110000.0,-1.52,CTG_RRV,-0.0152265305536136,-0.0201995178794317,-0.0201995178794317,0.0097265279190504,0.0186683975442896,0.0232925495407545,2136000.0,4076666.6666666665,2096473.015873016,-0.7951195255610497,10267.4,10987.228,10775.732,10323.42857142857,10560.680392156864,10860.537247524751,10457.616661068792,10373.602565735318,-84.01409533347396,-156.84940007338264,44.45101519590654,10718.564061651785,9816.235938348216,0.3246258673325221,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-11,10230.3,10336.3,10336.3,10177.3,1710000.0,-0.52,CTG_RRV,-0.0051539875331848,-0.0349957080735381,-0.0153042072131904,0.0057737705159559,0.0186690737713935,0.0232865603941213,1808000.0,4063809.523809524,2084409.523809524,-0.8010882104704293,10275.35,10967.086,10781.033,10319.895238095238,10530.996941176469,10849.736613861383,10440.778389878513,10351.556017160654,-89.22237271785707,-143.32399460227754,41.67552091728995,10717.47761910874,9833.222380891257,0.2408752069319229,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
2013-04-12,10177.3,10230.3,10442.3,10071.3,1480000.0,-0.52,CTG_RRV,-0.0051806887383556,-0.0351715442298758,-0.0153826804562561,0.0057579394089105,0.0177956442479683,0.023251893882956,1748000.0,3793333.3333333335,2091393.650793651,-0.8070568953798091,10280.65,10931.042,10782.093,10310.557142857142,10500.024941176467,10837.781504950492,10421.261472109732,10324.747399135938,-96.5140729737941,-133.96201027658086,38.87477057277924,10714.950538676334,9846.349461323663,0.1563624436460647,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,11670995494339,0.0,1039551682708,0.0,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,-327362452075,0,-2904452535,1042456135243,1039551682708,0,13.420440826,0.1500456481535717,0.6452010787077284,0.2237607015395291,0.1718552363,10.1275793736,0.0122401371,0.065,14.42675436877152,65322886960000.0,3266144348.0,7.5525943356,1.3035222033,2.9415142683,-5.7934712449,318.2809980044397,15343.0451349458
