date,close,open,high,low,volume,change,symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,stochastic_osc,atr,sma_3,sma_7,sma_14,sma_21,sma_50,sma_100,wma_3,wma_7,wma_14,wma_21,wma_50,wma_100,ema_6,ema_12,ema_26,out_macd,out_macd_signal,out_macd_hist,rsi_6,rsi_12,rsi_14,stochrsi_6,stochrsi_12,stochrsi_14,bbands_middle,bbands_upper,bbands_lower,obv,mfi_14,mom_1,mom_3,mom_7,cci_12,cci_20,rocr_3,rocr_12,willr,trix,invest_cost,from_invest,from_financial,from_sale,free_cash_flow,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2018-01-01,7250.0,7350.0,7380.0,7230.0,3770000.0,-1.36,HAG_RRC,0.0132890365448505,0.0180240320427236,0.0374149659863944,0.0056102495069742,0.0054814582969828,0.0106474037600817,3770000.0,3770000.0,3770000.0,0.0176870748299319,-0.0163265306122449,0.0,13.333333333333334,150.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,0.0,0.0,0.0,90.78496615977258,79.65016593991422,77.3389294953031,1.0,1.0,1.0,7250.0,151713.11058186012,147963.07989433035,0.0,69.20138820620942,2000.0,2600.0,2100.0,265.78947368421404,288.1022615535891,1.017344896597732,1.0297096556380825,-86.66666666666667,0.2133204165884139,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-02,7250.0,7350.0,7380.0,7230.0,3770000.0,-1.36,HAG_RRC,0.0,0.0180240320427236,0.0374149659863944,0.0056102495069742,0.0054814582969828,0.0106474037600817,3770000.0,3770000.0,3770000.0,0.0176870748299319,-0.0163265306122449,0.0,13.333333333333334,150.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,0.0,0.0,0.0,90.78496615977258,79.65016593991422,77.3389294953031,1.0,1.0,1.0,7250.0,7250.0,7250.0,0.0,69.20138820620942,0.0,2600.0,2100.0,265.78947368421404,288.1022615535891,1.017344896597732,1.0297096556380825,-86.66666666666667,0.0,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-03,7310.0,7250.0,7370.0,7250.0,2260000.0,0.83,HAG_RRC,0.0082758620689655,0.0180240320427236,0.0374149659863944,0.00585191818913,0.00585191818913,0.00585191818913,3266666.6666666665,3266666.6666666665,3266666.6666666665,0.0082758620689655,0.0,0.0082758620689655,53.333333333333336,140.0,7270.0,7270.0,7270.0,7270.0,7270.0,7270.0,7280.0,7280.0,7280.0,7280.0,7280.0,7280.0,7267.142857142857,7259.2307692307695,7254.444444444444,4.786324786325167,0.9572649572650336,3.829059829060134,100.0,100.0,100.0,1.0,1.0,1.0,7270.0,7339.282032302755,7200.717967697245,2260000.0,100.0,60.0,2600.0,2100.0,99.99999999999416,99.99999999999416,1.017344896597732,1.0297096556380825,-46.666666666666664,0.001616379310354,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-04,7460.0,7370.0,7580.0,7330.0,3160000.0,2.05,HAG_RRC,0.0205198358413132,0.0180240320427236,0.0374149659863944,0.0103236657707499,0.0103236657707499,0.0103236657707499,3240000.0,3240000.0,3240000.0,0.0162822252374491,-0.005427408412483,0.0289655172413794,65.71428571428571,172.5,7340.0,7317.5,7317.5,7317.5,7317.5,7317.5,7375.0,7352.0,7352.0,7352.0,7352.0,7352.0,7322.244897959184,7290.118343195267,7269.6707818930045,20.44756130226233,4.855324226264493,15.592237075997836,100.0,100.0,100.0,1.0,1.0,1.0,7317.5,7515.74227601599,7119.25772398401,5420000.0,100.0,150.0,210.0,2100.0,133.33333333333283,133.33333333333283,1.0289655172413794,1.0297096556380825,-34.285714285714285,0.0082838100677218,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-05,7700.0,7500.0,7860.0,7470.0,9810000.0,3.22,HAG_RRC,0.032171581769437,0.0180240320427236,0.0374149659863944,0.0140867778620045,0.0140867778620045,0.0140867778620045,4554000.0,4554000.0,4554000.0,0.0213333333333333,-0.004,0.0620689655172412,74.60317460317461,218.0,7490.0,7394.0,7394.0,7394.0,7394.0,7394.0,7555.0,7468.0,7468.0,7468.0,7468.0,7468.0,7430.174927113702,7353.177059626764,7301.5470202713,51.63003935546385,14.210267252104364,37.419772103359485,100.0,100.0,100.0,1.0,1.0,1.0,7394.0,7776.779309785677,7011.2206902143225,15230000.0,100.0,240.0,450.0,2100.0,139.45578231292487,139.45578231292487,1.0620689655172413,1.0297096556380825,-25.396825396825395,0.0244958237566761,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-06,7690.0,7573.333333333333,7850.0,7516.666666666667,8583333.333333334,2.0166666666666666,HAG_RRC,-0.0012987012987012,0.0606896551724138,0.0374149659863944,0.0142669461110949,0.0142669461110949,0.0142669461110949,5516666.666666667,5225555.555555556,5225555.555555556,0.0211267605633802,-0.0074823943661971,0.0606896551724138,73.01587301587301,237.22222222222217,7616.666666666667,7443.333333333333,7443.333333333333,7443.333333333333,7443.333333333333,7443.333333333333,7655.0,7531.428571428572,7531.428571428572,7531.428571428572,7531.428571428572,7531.428571428572,7504.410662224073,7404.995973530339,7330.321315066019,74.6746584643206,26.30314549454761,48.37151296977299,96.42633882058762,97.1974896037962,97.2952829735058,0.0,0.0,0.0,7443.333333333333,7862.411687184575,7024.254979482091,6646666.666666666,100.0,-10.0,380.0,2100.0,100.55423594615957,100.55423594615957,1.051983584131327,1.0297096556380825,-26.984126984126984,0.0460783206477133,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-07,7680.0,7646.666666666667,7840.0,7563.333333333333,7356666.666666666,0.8133333333333335,HAG_RRC,-0.001300390117035,0.0593103448275862,0.0374149659863944,0.0145479619600342,0.0138573756688371,0.0138573756688371,6234000.0,5530000.0,5530000.0,0.020924149956408,-0.0108979947689625,0.0593103448275862,71.42857142857143,242.8571428571429,7690.0,7477.142857142857,7477.142857142857,7477.142857142857,7477.142857142857,7477.142857142857,7686.666666666667,7568.571428571428,7568.571428571428,7568.571428571428,7568.571428571428,7568.571428571428,7554.579044445767,7447.304285294902,7356.223439875943,91.08084541895914,39.25868547942992,51.82215993952922,91.83187473953684,94.08145741080598,94.35075870207336,0.0,0.0,0.0,7477.142857142857,7899.471999828873,7054.813714456841,-710000.0,100.0,-10.0,220.0,2100.0,81.22908962845521,81.22908962845521,1.029490616621984,1.0297096556380825,-28.571428571428573,0.0699516759023799,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-08,7670.0,7720.0,7830.0,7610.0,6130000.0,-0.39,HAG_RRC,-0.0013020833333333,0.0492476060191517,0.0374149659863944,0.0156927518087837,0.0133192670130593,0.0133192670130593,7008000.0,5605000.0,5605000.0,0.0207253886010362,-0.0142487046632124,0.0579310344827586,69.84126984126983,240.0,7680.0,7537.142857142857,7501.25,7501.25,7501.25,7501.25,7676.666666666667,7616.785714285715,7591.111111111111,7591.111111111111,7591.111111111111,7591.111111111111,7587.556460318405,7481.565164480302,7379.466148033281,102.09901644702131,51.826751672948205,50.27226477407311,86.08917927385568,90.64705443972936,91.16722114945496,0.0,0.0,0.0,7501.25,7915.349711939735,7087.150288060265,-6840000.0,100.0,-10.0,-30.0,420.0,71.67449139280119,71.67449139280119,0.9961038961038962,1.0297096556380825,-30.15873015873016,0.0938996004150372,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-09,7550.0,7700.0,7700.0,7500.0,4200000.0,-1.56,HAG_RRC,-0.0156453715775749,0.0120643431635387,0.0374149659863944,0.0176987505342063,0.014928186656099,0.014928186656099,7216000.0,5448888.888888889,5448888.888888889,0.0194805194805194,-0.0259740259740259,0.0413793103448276,50.79365079365079,235.55555555555551,7633.333333333333,7580.0,7506.666666666667,7506.666666666667,7506.666666666667,7506.666666666667,7611.666666666667,7620.0,7582.888888888889,7582.888888888889,7582.888888888889,7582.888888888889,7576.826043084575,7492.093600714102,7392.098285216,99.99531549810126,61.46046443797882,38.53485106012244,41.98272026616364,59.72655062189089,62.13728837370838,0.0,0.0,0.0,7506.666666666667,7895.382501178204,7117.95083215513,-11040000.0,89.95383331089948,-120.0,-140.0,300.0,25.474525474525706,25.474525474525706,0.9817945383615084,1.0297096556380825,-49.20634920634921,0.1134271895825156,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
2018-01-10,7630.0,7460.0,7630.0,7360.0,5640000.0,1.06,HAG_RRC,0.0105960264900661,-0.009090909090909,0.0374149659863944,0.0093019370111317,0.014080361209139,0.014080361209139,6382000.0,5468000.0,5468000.0,0.0,-0.0134048257372654,0.0524137931034482,63.49206349206349,239.0,7616.666666666667,7625.714285714285,7519.0,7519.0,7519.0,7519.0,7610.0,7632.5,7591.454545454545,7591.454545454545,7591.454545454545,7591.454545454545,7592.018602203268,7513.309969835009,7409.72063445926,103.58933537574922,69.8862386255329,33.70309675021632,60.750840087371635,68.25743864079644,69.58677624788379,0.3234918959887429,0.2118241211179335,0.196749983141792,7519.0,7893.693949184605,7144.306050815395,-5400000.0,79.31494131037596,80.0,-50.0,320.0,7.858837485172142,7.858837485172142,0.9934895833333334,1.0297096556380825,-36.507936507936506,0.1310597826436943,-971,-461,-184,565,-411,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0,10.8,0.5,14.2,0.045,0.012,163,193,210,1.0,678,15515,0.269,0.5,0.7,0.6,0.116,2290.0,0.507,0.33,-0.05,1.2,0.4,12.8,0.2,3.7,-3292,0.008,0.029,147,2.2,-0.34,0.1,-0.2,0.33,0.0,1.9,0.086,-0.001
