date,close,open,high,low,volume,change,symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,stochastic_osc,atr,sma_3,sma_7,sma_14,sma_21,sma_50,sma_100,wma_3,wma_7,wma_14,wma_21,wma_50,wma_100,ema_6,ema_12,ema_26,out_macd,out_macd_signal,out_macd_hist,rsi_6,rsi_12,rsi_14,stochrsi_6,stochrsi_12,stochrsi_14,bbands_middle,bbands_upper,bbands_lower,obv,mfi_14,mom_1,mom_3,mom_7,cci_12,cci_20,rocr_3,rocr_12,willr,trix,invest_cost,from_invest,from_financial,from_sale,free_cash_flow,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2018-01-01,8703.8,8580.3,8703.8,8549.4,51330.0,1.44,ITD_RRC,0.0041666666666666,-0.036,-0.0436507936507936,0.0184428546838305,0.0122607726185405,0.0159001208047848,51330.0,51330.0,51330.0,0.0,-0.0036012726827732,0.0,100.0,154.39999999999964,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,0.0,0.0,0.0,31.347533336660433,33.847078950100695,35.764594113779765,0.6662451813744398,0.1129362576775425,0.1003856644369524,8703.8,12868.867001639546,11883.513950741408,0.0,46.13151757791934,50.0,50.0,-700.0,-77.65567765567694,-118.87254901960796,1.0041666666666669,0.9757085020242916,-0.0,0.1476801299349572,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-02,8703.8,8580.3,8703.8,8549.4,51330.0,1.44,ITD_RRC,0.0,-0.036,-0.0436507936507936,0.0184428546838305,0.0122607726185405,0.0159001208047848,51330.0,51330.0,51330.0,0.0,-0.0036012726827732,0.0,100.0,154.39999999999964,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,0.0,0.0,0.0,31.347533336660433,33.847078950100695,35.764594113779765,0.6662451813744398,0.1129362576775425,0.1003856644369524,8703.8,8703.8,8703.8,0.0,46.13151757791934,0.0,50.0,-700.0,-77.65567765567694,-118.87254901960796,1.0041666666666669,0.9757085020242916,-0.0,0.0,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-03,8827.2,8765.5,9135.9,8703.8,42780.0,1.42,ITD_RRC,0.0141777154805948,-0.036,-0.0436507936507936,0.0100251587580621,0.0100251587580621,0.0100251587580621,48480.0,48480.0,48480.0,0.0352176145114367,-0.0070389595573556,0.0141777154805948,47.36572890025594,246.96666666666655,8744.933333333332,8744.933333333332,8744.933333333332,8744.933333333332,8744.933333333332,8744.933333333332,8765.5,8765.5,8765.5,8765.5,8765.5,8765.5,8739.057142857142,8722.784615384615,8712.94074074074,9.843874643875097,1.9687749287750191,7.875099715100077,100.0,100.0,100.0,0.6662451813744398,0.1129362576775425,0.1003856644369524,8744.933333333332,8887.423379769334,8602.44328689733,42780.0,100.0,123.40000000000146,50.0,-700.0,100.0,100.0,1.0041666666666669,0.9757085020242916,-52.63427109974406,0.0027690850548101,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-04,8981.5,8827.2,9105.0,8827.2,55930.0,1.75,ITD_RRC,0.0174800616276962,-0.036,-0.0436507936507936,0.0092867796789489,0.0092867796789489,0.0092867796789489,50342.5,50342.5,50342.5,0.0139908464745332,0.0,0.0319056044486316,73.67433930093783,254.67499999999973,8837.5,8804.075,8804.075,8804.075,8804.075,8804.075,8883.783333333333,8851.9,8851.9,8851.9,8851.9,8851.9,8808.326530612245,8762.58698224852,8732.834019204389,29.75296304413132,7.52561255184628,22.22735049228504,100.0,100.0,100.0,0.6662451813744398,0.1129362576775425,0.1003856644369524,8804.075,9067.702382239911,8540.44761776009,98710.0,100.0,154.29999999999927,277.7000000000007,-700.0,86.41145645825888,86.41145645825888,1.0319056044486317,0.9757085020242916,-26.325660699062173,0.0107310294315876,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-05,8703.8,8981.5,9012.4,8703.8,70460.0,-3.09,ITD_RRC,-0.0309191115069866,-0.036,-0.0436507936507936,0.02207876219674,0.02207876219674,0.02207876219674,54366.0,54366.0,54366.0,0.0343595167845015,-0.0309191115069866,0.0,26.32566069906217,265.45999999999987,8837.5,8784.02,8784.02,8784.02,8784.02,8784.02,8816.933333333332,8802.533333333333,8802.533333333333,8802.533333333333,8802.533333333333,8802.533333333333,8778.461807580175,8753.542831133364,8730.683351115174,22.85948001818906,10.592386045114836,12.267093973074225,38.40844075898028,44.081208088876586,44.913229464953226,0.0,0.0,0.0,8784.02,9029.312902465605,8538.727097534396,28250.0,58.70232433268203,-277.7000000000007,0.0,-700.0,7.254883546206201,7.254883546206201,1.0,0.9757085020242916,-73.67433930093783,0.0155758238757242,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-06,8714.066666666666,8899.2,8940.4,8703.8,56236.666666666664,-1.9433333333333331,ITD_RRC,0.0011795614176184,0.0011795614176184,-0.0436507936507936,0.0191259449001673,0.0191259449001673,0.0191259449001673,55347.333333333336,54677.77777777778,54677.77777777778,0.0254329977226418,-0.0219570298453795,0.0011795614176184,28.076157999431555,260.6499999999999,8799.788888888888,8772.361111111111,8772.361111111111,8772.361111111111,8772.361111111111,8772.361111111111,8755.216666666665,8777.257142857143,8777.257142857143,8777.257142857143,8777.257142857143,8777.257142857143,8760.063195890601,8747.469575061565,8729.45248560047,18.017089461094656,12.0773267283108,5.939762732783855,40.31125020616656,45.41484191329263,46.17799116183933,0.0308939970124838,0.0238494749052466,0.0229594453369062,8772.361111111111,8999.070614579676,8545.651607642547,84486.66666666666,44.17556634812798,10.266666666666424,-113.13333333333505,-700.0,-4.754741240758853,-4.754741240758853,0.9871835538638148,0.9757085020242916,-71.92384200056844,0.0183236673028552,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-07,8724.333333333334,8816.9,8868.4,8703.8,42013.33333333333,-0.7966666666666664,ITD_RRC,0.0011781716917476,0.0023591228352368,-0.0436507936507936,0.0191272942664162,0.0171098400536971,0.0171098400536971,53484.0,52868.57142857143,52868.57142857143,0.0163398322161605,-0.012827637831891,0.0023591228352368,29.82665529980125,246.92857142857144,8714.066666666666,8765.5,8765.5,8765.5,8765.5,8765.5,8717.488888888889,8764.02619047619,8764.02619047619,8764.02619047619,8764.02619047619,8764.02619047619,8749.854663731381,8743.910153257222,8729.073289136237,14.83686412098541,12.629234206845725,2.2076299141396873,42.78585335202701,46.91118948631488,47.56702803156364,0.0710716313564503,0.0506087721268412,0.0481748801179411,8765.5,8975.616859901378,8555.383140098622,126500.0,37.29648388779511,10.266666666668243,-257.16666666666606,-700.0,-18.29556685020457,-18.29556685020457,0.9713670693462488,0.9757085020242916,-70.17334470019875,0.0197432366810135,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-08,8734.6,8734.6,8796.4,8703.8,27790.0,0.35,ITD_RRC,0.0011767852366941,-0.0104903027007432,-0.0436507936507936,0.0176499882370885,0.0156210718712508,0.0156210718712508,50486.0,49733.75,49733.75,0.0070753096879077,-0.0035262061227762,0.0035386842528553,31.577152600170628,227.63750000000005,8724.333333333334,8769.9,8761.6375,8761.6375,8761.6375,8761.6375,8727.755555555557,8756.301190476192,8757.487037037037,8757.487037037037,8757.487037037037,8757.487037037037,8745.496188379559,8742.47782198688,8729.482675126144,12.995146860735986,12.702416737623777,0.292730123112209,45.92449475746897,48.577150064974504,49.083248871834755,0.1220305848903242,0.0804012716019278,0.0756991082682641,8761.6375,8957.391136670794,8565.883863329207,154290.0,33.820998405474825,10.266666666666424,30.80000000000109,30.80000000000109,-32.25446817405905,-32.25446817405905,1.0035386842528553,0.9757085020242916,-68.42284739982938,0.0204038277641815,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-09,8487.7,8734.6,8765.5,8487.7,168510.0,-2.83,ITD_RRC,-0.0282668925880978,-0.054979680454267,-0.0436507936507936,0.0168801316413723,0.0177029895138796,0.0177029895138796,73002.0,62931.11111111111,62931.11111111111,0.0318045474320517,-0.0282668925880978,-0.0248282359429212,0.0,233.21111111111108,8648.877777777778,8739.028571428571,8731.2,8731.2,8731.2,8731.2,8609.438888888888,8685.75119047619,8703.52962962963,8703.52962962963,8703.52962962963,8703.52962962963,8671.840134556827,8703.281233988899,8711.572847339023,-8.291613350123953,8.503610720074231,-16.795224070198184,16.131053463099434,25.67672201010285,27.23197775740964,0.0,0.0,0.0,8731.2,8989.81446423414,8472.585535765862,-14220.0,21.75810021940655,-246.89999999999964,-226.36666666666497,-216.09999999999857,-130.94843866071187,-130.94843866071187,0.9740228442900752,0.9757085020242916,-100.0,0.01495225999808,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
2018-01-10,8487.7,8518.6,8518.6,8333.4,102670.0,0.0,ITD_RRC,0.0,-0.0248282359429212,-0.0436507936507936,0.0130464882882702,0.0165897810052225,0.0165897810052225,79444.0,66905.0,66905.0,0.0036273566078932,-0.0217406616110629,-0.0248282359429212,19.227414330218203,228.41000000000005,8570.000000000002,8690.528571428573,8706.85,8706.85,8706.85,8706.85,8528.85,8622.919047619047,8664.287878787878,8664.287878787878,8664.287878787878,8664.287878787878,8619.22866754059,8670.114890298299,8694.989673462058,-24.874783163759275,1.8279319433075305,-26.702715107066805,16.131053463099434,25.67672201010285,27.23197775740964,0.0,0.0,0.0,8706.85,8995.237014056705,8418.462985943295,-14220.0,17.92376481268424,0.0,-236.6333333333332,-339.5,-160.8159213029275,-160.8159213029275,0.9728766285867116,0.9757085020242916,-80.77258566978179,0.0056144791320544,-2,8,-22,48,-93.0,113,-0.749,0.065,-75,38,-24,14,-0.785,-0.402,0,15,12,6,-0.848,-0.669,16.0,5.6,0.7,1.7,0.111,0.049,223,124,138,,1702,14213,0.515,1.7,2.6,2.1,-0.524,3199,0.335,0.122,0.056,0.0,0.0,0.6,,1.9,264,0.404,0.561,209,1.6,-0.101,0.7,2.4,0.122,1.1,0.6,-0.461,-0.018
