Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Lợi nhuận thuần,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,5717.1,5717.1,5717.1,5717.1,6600.0,0.0,POT_RRC,0.0,0.0394727272727273,0.0018926449713474,0.0176527402878256,0.0383444983084478,0.038226785534495,7720.0,10090.47619047619,23134.92063492064,-1.092173100139589,5578.355,5659.23,5477.876,5635.61619047619,5641.234196078432,5611.672930693068,5642.355426773469,5659.14919893528,16.79377216181092,-3.4625707069694727,56.90253133898915,5933.692055558327,5223.017944441673,1.0,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-02,6006.6,5789.5,6223.7,5789.5,94600.0,5.06,POT_RRC,0.0506375610012068,0.0506375610012068,0.0278585851671857,0.0226458057226981,0.0363123609173219,0.0386598590207395,23120.0,12785.714285714286,24095.23809523809,-1.0489790084834727,5624.31,5655.612000000001,5485.004,5676.401428571428,5654.856549019608,5622.142712871287,5669.33650627173,5712.603168329852,43.266662058122165,5.883275846048854,73.52913647993691,5948.744380033308,5299.875619966691,1.0,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-03,5934.3,6006.6,6079.0,5717.1,38600.0,-1.2,POT_RRC,-0.0120367595644791,0.0379912892900247,0.0926113453501003,0.0245511801684383,0.0330365744207682,0.0386633581192932,29820.0,13647.619047619048,24033.33333333333,-1.0597663412183165,5646.025,5658.798000000001,5493.472,5705.924285714286,5665.785490196078,5631.039663366336,5688.963431733084,5746.710373202183,57.74694146909951,16.256008970658986,66.17268746421749,5992.79473020969,5299.255269790309,0.7508163827568558,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-04,5717.1,6079.0,6079.0,5717.1,2600.0,-3.66,POT_RRC,-0.036600778524847,0.0,0.1237542997542997,0.0318114096483451,0.0298211260131979,0.0389465874084655,29080.0,13385.714285714286,23385.714285714286,-1.092173100139589,5667.1900000000005,5657.64,5499.767999999999,5712.693333333334,5668.071843137255,5635.46794059406,5691.047621975077,5742.154931171078,51.10730919600064,23.22626901572732,49.13329563968378,5972.653919137701,5361.7260808623,0.1736442605294391,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-05,5717.1,5789.5,5934.3,5644.8,14800.0,0.0,POT_RRC,0.0,0.0,0.0394727272727273,0.0318114096483451,0.0284110661044609,0.0386961690874302,31440.0,13990.47619047619,22707.93650793651,-1.092173100139589,5667.7300000000005,5655.106000000001,5506.064,5717.446666666668,5670.403607843137,5639.771544554455,5692.977427754701,5738.300326375527,45.32289862082598,27.64559493674705,49.13329563968378,5973.523036993833,5361.936963006168,0.1736442605294391,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-08,5789.5,5644.8,5861.9,5644.8,25400.0,1.27,POT_RRC,0.0126637630966748,0.0126637630966748,0.0936378404926516,0.0322723903876699,0.0229761195494542,0.0383057213386198,35200.0,15147.619047619048,22792.06349206349,-1.0813708471658314,5668.455,5652.646000000001,5513.771,5729.0438095238105,5675.673960784315,5645.384138613861,5700.127247921019,5746.17719924083,46.04995131981104,31.326466213359858,54.3499399796132,5975.385518282002,5361.524481717998,0.350346675474058,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-09,5934.3,5717.1,5934.3,5717.1,23400.0,2.5,POT_RRC,0.0250107954054754,-0.0120367595644791,0.0399558382840019,0.0236979638773854,0.0234586928624148,0.0375848414367135,20960.0,15880.952380952382,22419.04761904762,-1.0597663412183165,5690.17,5662.706,5522.2390000000005,5754.3623809523815,5686.719215686275,5653.7114455445535,5717.473377704648,5775.119168588395,57.6457908837474,36.59033114743736,63.08617939671544,6008.172244944434,5372.167755055566,0.6462676740977105,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-10,5717.1,5934.3,5934.3,5717.1,52200.0,-3.66,POT_RRC,-0.036600778524847,-0.036600778524847,-0.0100259740259739,0.0283403918227748,0.0224032526086647,0.037872669082917,23680.0,18361.904761904763,23011.11111111111,-1.092173100139589,5704.460000000001,5668.422,5529.222,5756.927142857143,5688.852313725491,5657.570079207921,5717.445720096896,5766.193142651719,48.74742255482215,39.02174942891432,47.389590167488336,5998.245904144345,5410.674095855657,0.1145800522354823,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-11,5717.1,5789.5,5789.5,5717.1,5200.0,0.0,POT_RRC,0.0,0.0,0.0394727272727273,0.0230504727203165,0.0221614644049412,0.0368591791978119,24200.0,16714.285714285714,22630.15873015873,-1.092173100139589,5718.75,5670.014,5535.517999999999,5758.130952380953,5690.761254901961,5661.290435643565,5717.42011120083,5758.640351474531,41.220240273700256,39.46144759787151,47.389590167488336,5982.900096885153,5454.599903114847,0.1145800522354823,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
2013-04-12,5644.8,5644.8,5644.8,5644.8,3000.0,-1.27,POT_RRC,-0.0126462717111822,-0.0126462717111822,0.0393091893285217,0.0237627410372575,0.0224083312669206,0.0368690795392348,21840.0,16228.57142857143,22244.444444444445,-1.1029604328744325,5725.99,5670.16,5541.090999999999,5751.088095238095,5689.772470588236,5663.4544356435645,5712.0408437044725,5741.12645124768,29.08560754320752,37.38627958693871,42.68305944678491,5972.225333734158,5479.7546662658415,0.0,100545201,2645836478,-1336100870,0,-748366609,813580676,1475494876,57512084444,-6370091341,-47157752258,-1114541330,-1154349831,-1999946473,203700000,-407331392,987266695,-6341198515,0,-30185057099,32608522351,0,0,911910819,-3005822444,0,0,18767452637,-43320041965,0,0,-24552589328,-26571145077,61605426835,0,35034281758,0.0,38941064792,75408900,0.0,748744570,-813580676,38941064792,0,38941064792,-25300166642,13640898150,-1054572611,0,-8307295570,-4890044674,137729865,12691215,0,-49875879,-37184664,100545201,-25136301,75408900,75408900,0.2091247351,0.9184580697,0.3554203959158253,1.5014088147222222,0.7466913064,4.0288965135,143.94235211426746,110.7061418789,43.6842561038,298.33275009696746,3.2970167129,0.0113904924883082,0.3502959722047037,0.0019364878798972,0.0261848299,17.026838511,0.0123247278,18045385459.0,443557906,0.0,3.2886862118,0.333520834,2.2602135061,-0.5451922828117909,1.9184580697308848,142718960400,19286346,18.8530896393,0.4926170425,0.3111470132,144.577372176,3.9099630380995967,15021.8107797805,9.3499097338
