Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-12-25,11660.5,11660.5,11660.5,11660.5,100.0,9.94,PVB_RRC,0.0960421937309721,0.1694867286994554,0.1864328287809269,0.0802903320856366,0.058356643131793,0.0485284275629729,20680.0,16124.285714285714,20630.0,-0.990048486858502,11660.5,11660.5,11660.5,14006.98523809524,17095.961254901962,17256.490356435643,11660.5,11660.5,0.0,0.0,100.0,15617.969594174769,12024.58040582523,0.1093642778954893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113652652115,19133226748,0.0,356245126,-4268081156,113652652115,113652652115,-79100865021,34551787094,-4321741733,-5299447700,25286842787,257182818,-33056608,224126210,25510968997,-6377742249,0,19133226748,19133226748,1.1688773797,1.3527013488,1.2435944327924728,1.2909967188330296,0.974700597,1.9434710444,43.34129067880435,108.1848797403,45.2706756361,196.7968460552044,3.3738540993,0.2573836936458014,0.304012149747624,0.168348264575823,0.21932632,0.0,0.0644951457,216938608336.0,29252339394,0.0,1.6585304018,0.3563600658,1.3764563626,-6.853744885538911,2.3527013488556143,477359955800,21599998,8.1276971959,1.7118556288,0.5378031128,1.6662279495,885.7976166479275,12909.9671883303,2.8324081778
2013-12-26,12780.4,12780.4,12780.4,12780.4,4000.0,9.6,PVB_RRC,0.0960421937309721,0.1694867286994554,0.1864328287809269,0.0802903320856366,0.058356643131793,0.0485284275629729,20680.0,16124.285714285714,20630.0,-0.8301665104810592,12220.45,12220.45,12220.45,14006.98523809524,17095.961254901962,17256.490356435643,11743.455555555556,11832.792307692309,89.33675213675087,17.867350427350175,100.0,15617.969594174769,12024.58040582523,0.1093642778954893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113652652115,19133226748,0.0,356245126,-4268081156,113652652115,113652652115,-79100865021,34551787094,-4321741733,-5299447700,25286842787,257182818,-33056608,224126210,25510968997,-6377742249,0,19133226748,19133226748,1.1688773797,1.3527013488,1.2435944327924728,1.2909967188330296,0.974700597,1.9434710444,43.34129067880435,108.1848797403,45.2706756361,196.7968460552044,3.3738540993,0.2573836936458014,0.304012149747624,0.168348264575823,0.21932632,0.0,0.0644951457,216938608336.0,29252339394,0.0,1.6585304018,0.3563600658,1.3764563626,-6.853744885538911,2.3527013488556143,477359955800,21599998,8.1276971959,1.7118556288,0.5378031128,1.6662279495,885.7976166479275,12909.9671883303,2.8324081778
2013-12-27,14032.1,14032.1,14032.1,14032.1,11900.0,9.79,PVB_RRC,0.0979390316422021,0.1694867286994554,0.1864328287809269,0.0802903320856366,0.058356643131793,0.0485284275629729,20680.0,16124.285714285714,20630.0,-0.6514681714939662,12824.333333333334,12824.333333333334,12824.333333333334,14006.98523809524,17095.961254901962,17256.490356435643,11912.984773662552,12171.147337278106,258.16256361555315,65.92639306499078,100.0,15617.969594174769,12024.58040582523,0.1093642778954893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113652652115,19133226748,0.0,356245126,-4268081156,113652652115,113652652115,-79100865021,34551787094,-4321741733,-5299447700,25286842787,257182818,-33056608,224126210,25510968997,-6377742249,0,19133226748,19133226748,1.1688773797,1.3527013488,1.2435944327924728,1.2909967188330296,0.974700597,1.9434710444,43.34129067880435,108.1848797403,45.2706756361,196.7968460552044,3.3738540993,0.2573836936458014,0.304012149747624,0.168348264575823,0.21932632,0.0,0.0644951457,216938608336.0,29252339394,0.0,1.6585304018,0.3563600658,1.3764563626,-6.853744885538911,2.3527013488556143,477359955800,21599998,8.1276971959,1.7118556288,0.5378031128,1.6662279495,885.7976166479275,12909.9671883303,2.8324081778
2013-12-30,15086.1,15415.5,15415.5,14098.0,84500.0,7.51,PVB_RRC,0.0751134897841379,0.1694867286994554,0.1864328287809269,0.0802903320856366,0.058356643131793,0.0485284275629729,20680.0,16124.285714285714,20630.0,-0.5009943764213484,13389.775,13389.775,13389.775,14006.98523809524,17095.961254901962,17256.490356435643,12148.030345983843,12619.601593081474,471.5712470976287,147.05536387151835,100.0,15617.969594174769,12024.58040582523,0.1093642778954893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113652652115,19133226748,0.0,356245126,-4268081156,113652652115,113652652115,-79100865021,34551787094,-4321741733,-5299447700,25286842787,257182818,-33056608,224126210,25510968997,-6377742249,0,19133226748,19133226748,1.1688773797,1.3527013488,1.2435944327924728,1.2909967188330296,0.974700597,1.9434710444,43.34129067880435,108.1848797403,45.2706756361,196.7968460552044,3.3738540993,0.2573836936458014,0.304012149747624,0.168348264575823,0.21932632,0.0,0.0644951457,216938608336.0,29252339394,0.0,1.6585304018,0.3563600658,1.3764563626,-6.853744885538911,2.3527013488556143,477359955800,21599998,8.1276971959,1.7118556288,0.5378031128,1.6662279495,885.7976166479275,12909.9671883303,2.8324081778
2013-12-31,14888.5,15152.0,15152.0,14163.8,2900.0,-1.31,PVB_RRC,-0.0130981499526053,0.1694867286994554,0.1864328287809269,0.0802903320856366,0.058356643131793,0.0485284275629729,20680.0,16124.285714285714,20630.0,-0.5292046438846779,13689.52,13689.52,13689.52,14006.98523809524,17095.961254901962,17256.490356435643,12351.02809813319,12968.662886453554,617.6347883203634,241.1712487612874,97.37193262465163,15617.969594174769,12024.58040582523,0.1093642778954893,13625117023.0,87894664020.0,0.0,-77069062754.0,0.0,-3614420373.0,0.0,20836297916.0,53439039421.0,2436353966.0,-21915297810.0,-1292267969.0,-2726220938.0,-9147231300.0,168012146382.0,-242193705789.0,-32550886121.0,0.0,0.0,0.0,-755380051.0,0.0,1510326217.0,754946166.0,0.0,0.0,-12473979247.0,-9848655921.0,-22322635168.0,-54118575123.0,134886828688.0,0.0,80768253565.0,0.0,46714163209,10218837767,0.0,1527615787,-3614420373,46714163209,46714163209,-24247230316,22466932893,-3666083530,-4296041766,16032423384,-2407306362,1,-2407306361,13625117023,-3406279256,0,10218837767,10218837767,0.9091895491,1.2743691099,1.089472769004057,1.4384516585371907,0.7159543215,1.3975307388,14.868800257504695,115.4464980782,44.0860340175,174.40133235320468,3.1616376943,0.3889803408380261,0.4809447788346875,0.2187524524688741,0.1903149386,0.0,0.0788269702,184264930622.0,18170891127,0.034351145,1.7079129801,0.3805969582,1.1568632318,-5.0273319790741455,2.274369109977038,565919947600,21599998,9.6432212482,1.8214028844,1.0617240389,3.5261541207,473.0943848698504,14384.5165853719,3.6185523743
2014-01-02,13636.8,14098.0,14098.0,13439.2,11900.0,-8.41,PVB_RRC,-0.0840715988850455,0.1694867286994554,0.1864328287809269,0.0802903320856366,0.058356643131793,0.0485284275629729,23040.0,16124.285714285714,20630.0,-0.7079029828717708,13680.733333333332,13680.733333333332,13680.733333333332,14006.98523809524,17095.961254901962,17256.490356435643,12446.270461234437,13071.453211614546,625.1827503801105,317.973549085052,81.68190914101747,15617.969594174769,12024.58040582523,0.1093642778954893,13625117023.0,87894664020.0,0.0,-77069062754.0,0.0,-3614420373.0,0.0,20836297916.0,53439039421.0,2436353966.0,-21915297810.0,-1292267969.0,-2726220938.0,-9147231300.0,168012146382.0,-242193705789.0,-32550886121.0,0.0,0.0,0.0,-755380051.0,0.0,1510326217.0,754946166.0,0.0,0.0,-12473979247.0,-9848655921.0,-22322635168.0,-54118575123.0,134886828688.0,0.0,80768253565.0,0.0,46714163209,10218837767,0.0,1527615787,-3614420373,46714163209,46714163209,-24247230316,22466932893,-3666083530,-4296041766,16032423384,-2407306362,1,-2407306361,13625117023,-3406279256,0,10218837767,10218837767,0.9091895491,1.2743691099,1.089472769004057,1.4384516585371907,0.7159543215,1.3975307388,14.868800257504695,115.4464980782,44.0860340175,174.40133235320468,3.1616376943,0.3889803408380261,0.4809447788346875,0.2187524524688741,0.1903149386,0.0,0.0788269702,184264930622.0,18170891127,0.034351145,1.7079129801,0.3805969582,1.1568632318,-5.0273319790741455,2.274369109977038,565919947600,21599998,9.6432212482,1.8214028844,1.0617240389,3.5261541207,473.0943848698504,14384.5165853719,3.6185523743
2014-01-03,13439.2,12385.1,13439.2,12385.1,27800.0,-1.45,PVB_RRC,-0.0144902029801712,0.0515476823886578,0.1864328287809269,0.0740436391589652,0.058356643131793,0.0485284275629729,27800.0,16124.285714285714,20630.0,-0.7361132503351001,13646.228571428572,13646.228571428572,13646.228571428572,14006.98523809524,17095.961254901962,17256.490356435643,12519.820797439292,13128.029640596924,608.2088431576321,376.02060789956806,79.35281659785767,15617.969594174769,12024.58040582523,0.1093642778954893,13625117023.0,87894664020.0,0.0,-77069062754.0,0.0,-3614420373.0,0.0,20836297916.0,53439039421.0,2436353966.0,-21915297810.0,-1292267969.0,-2726220938.0,-9147231300.0,168012146382.0,-242193705789.0,-32550886121.0,0.0,0.0,0.0,-755380051.0,0.0,1510326217.0,754946166.0,0.0,0.0,-12473979247.0,-9848655921.0,-22322635168.0,-54118575123.0,134886828688.0,0.0,80768253565.0,0.0,46714163209,10218837767,0.0,1527615787,-3614420373,46714163209,46714163209,-24247230316,22466932893,-3666083530,-4296041766,16032423384,-2407306362,1,-2407306361,13625117023,-3406279256,0,10218837767,10218837767,0.9091895491,1.2743691099,1.089472769004057,1.4384516585371907,0.7159543215,1.3975307388,14.868800257504695,115.4464980782,44.0860340175,174.40133235320468,3.1616376943,0.3889803408380261,0.4809447788346875,0.2187524524688741,0.1903149386,0.0,0.0788269702,184264930622.0,18170891127,0.034351145,1.7079129801,0.3805969582,1.1568632318,-5.0273319790741455,2.274369109977038,565919947600,21599998,9.6432212482,1.8214028844,1.0617240389,3.5261541207,473.0943848698504,14384.5165853719,3.6185523743
2014-01-06,12319.2,12385.1,12582.8,12319.2,23200.0,-8.33,PVB_RRC,-0.0833382939460681,-0.1220701106748098,0.1864328287809269,0.0655026676857584,0.058356643131793,0.0485284275629729,30060.0,16124.285714285714,20630.0,-0.8960095031636884,13480.35,13480.35,13480.35,14006.98523809524,17095.961254901962,17256.490356435643,12504.959997628974,13003.59431127432,498.634313645347,400.5433490487239,66.8806878523063,15617.969594174769,12024.58040582523,0.1093642778954893,13625117023.0,87894664020.0,0.0,-77069062754.0,0.0,-3614420373.0,0.0,20836297916.0,53439039421.0,2436353966.0,-21915297810.0,-1292267969.0,-2726220938.0,-9147231300.0,168012146382.0,-242193705789.0,-32550886121.0,0.0,0.0,0.0,-755380051.0,0.0,1510326217.0,754946166.0,0.0,0.0,-12473979247.0,-9848655921.0,-22322635168.0,-54118575123.0,134886828688.0,0.0,80768253565.0,0.0,46714163209,10218837767,0.0,1527615787,-3614420373,46714163209,46714163209,-24247230316,22466932893,-3666083530,-4296041766,16032423384,-2407306362,1,-2407306361,13625117023,-3406279256,0,10218837767,10218837767,0.9091895491,1.2743691099,1.089472769004057,1.4384516585371907,0.7159543215,1.3975307388,14.868800257504695,115.4464980782,44.0860340175,174.40133235320468,3.1616376943,0.3889803408380261,0.4809447788346875,0.2187524524688741,0.1903149386,0.0,0.0788269702,184264930622.0,18170891127,0.034351145,1.7079129801,0.3805969582,1.1568632318,-5.0273319790741455,2.274369109977038,565919947600,21599998,9.6432212482,1.8214028844,1.0617240389,3.5261541207,473.0943848698504,14384.5165853719,3.6185523743
2014-01-07,13505.1,11528.7,13505.1,11396.9,9500.0,9.63,PVB_RRC,0.0962643678160919,-0.1047984568576371,0.1864328287809269,0.0736749368368009,0.058356643131793,0.0485284275629729,15060.0,16124.285714285714,20630.0,-0.7267050690302752,13483.1,13483.1,13483.1,14006.98523809524,17095.961254901962,17256.490356435643,12579.04444224905,13080.749032616734,501.7045903676844,420.775597312516,72.21590857543481,15617.969594174769,12024.58040582523,0.1093642778954893,13625117023.0,87894664020.0,0.0,-77069062754.0,0.0,-3614420373.0,0.0,20836297916.0,53439039421.0,2436353966.0,-21915297810.0,-1292267969.0,-2726220938.0,-9147231300.0,168012146382.0,-242193705789.0,-32550886121.0,0.0,0.0,0.0,-755380051.0,0.0,1510326217.0,754946166.0,0.0,0.0,-12473979247.0,-9848655921.0,-22322635168.0,-54118575123.0,134886828688.0,0.0,80768253565.0,0.0,46714163209,10218837767,0.0,1527615787,-3614420373,46714163209,46714163209,-24247230316,22466932893,-3666083530,-4296041766,16032423384,-2407306362,1,-2407306361,13625117023,-3406279256,0,10218837767,10218837767,0.9091895491,1.2743691099,1.089472769004057,1.4384516585371907,0.7159543215,1.3975307388,14.868800257504695,115.4464980782,44.0860340175,174.40133235320468,3.1616376943,0.3889803408380261,0.4809447788346875,0.2187524524688741,0.1903149386,0.0,0.0788269702,184264930622.0,18170891127,0.034351145,1.7079129801,0.3805969582,1.1568632318,-5.0273319790741455,2.274369109977038,565919947600,21599998,9.6432212482,1.8214028844,1.0617240389,3.5261541207,473.0943848698504,14384.5165853719,3.6185523743
2014-01-08,13505.1,14756.7,14756.7,13241.5,15600.0,0.0,PVB_RRC,0.0,-0.0929173523189038,0.1864328287809269,0.0742014216314524,0.058356643131793,0.0485284275629729,17600.0,16124.285714285714,20630.0,-0.7267050690302752,13485.3,13485.3,13485.3,14006.98523809524,17095.961254901962,17256.490356435643,12647.641150230602,13146.033796829544,498.3926465989425,436.29900716980137,72.21590857543481,15617.969594174769,12024.58040582523,0.1093642778954893,13625117023.0,87894664020.0,0.0,-77069062754.0,0.0,-3614420373.0,0.0,20836297916.0,53439039421.0,2436353966.0,-21915297810.0,-1292267969.0,-2726220938.0,-9147231300.0,168012146382.0,-242193705789.0,-32550886121.0,0.0,0.0,0.0,-755380051.0,0.0,1510326217.0,754946166.0,0.0,0.0,-12473979247.0,-9848655921.0,-22322635168.0,-54118575123.0,134886828688.0,0.0,80768253565.0,0.0,46714163209,10218837767,0.0,1527615787,-3614420373,46714163209,46714163209,-24247230316,22466932893,-3666083530,-4296041766,16032423384,-2407306362,1,-2407306361,13625117023,-3406279256,0,10218837767,10218837767,0.9091895491,1.2743691099,1.089472769004057,1.4384516585371907,0.7159543215,1.3975307388,14.868800257504695,115.4464980782,44.0860340175,174.40133235320468,3.1616376943,0.3889803408380261,0.4809447788346875,0.2187524524688741,0.1903149386,0.0,0.0788269702,184264930622.0,18170891127,0.034351145,1.7079129801,0.3805969582,1.1568632318,-5.0273319790741455,2.274369109977038,565919947600,21599998,9.6432212482,1.8214028844,1.0617240389,3.5261541207,473.0943848698504,14384.5165853719,3.6185523743
