Date,Price,Open,High,Low,Vol.,Change %,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,z_score,SMA_20,SMA_50,SMA_100,WMA_20,WMA_50,WMA_100,EMA26,EMA12,MACD,Signal_Line,RSI_14,BB_upper,BB_lower,StochRSI_14,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
2013-04-01,5610.1,5399.2,5610.1,5399.2,279650.0,3.1,PVC_RRC,0.0310030506854854,0.0,0.0152557095805132,0.0172657344906943,0.0200408773543576,0.0240053890142957,331658.0,304733.3333333333,545668.0952380953,-0.6144015583361816,5475.155000000001,5637.142,5360.383000000001,5506.888095238095,5575.900705882354,5531.868455445544,5539.216847486689,5523.212718497624,-16.004128989065066,-31.50536631813011,58.57192076227494,5682.87373163623,5267.436268363771,0.723878355444226,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-02,5568.0,5568.0,5694.5,5525.8,451150.0,-0.75,PVC_RRC,-0.0075043225610952,0.0,0.0,0.0172657344906943,0.017193811614137,0.0240023609568655,333554.0,299138.09523809527,548264.6031746032,-0.62490119563674,5487.81,5629.55,5370.896,5515.730476190476,5573.18925490196,5535.979683168316,5541.348932858045,5530.10306949799,-11.24586336005541,-27.453465726515173,54.081837819672806,5684.992329727526,5290.6276702724745,0.5700564789302933,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-03,5652.3,5525.8,5652.3,5483.6,412980.0,1.52,PVC_RRC,0.0151400862068966,0.0228926128343407,0.0634819093491882,0.0177174757005316,0.0174061904747495,0.023992742339187,356584.0,299978.5714285714,544734.4444444445,-0.6038769812795651,5500.465,5624.487999999999,5384.887000000001,5531.396190476192,5574.081411764706,5541.55203960396,5549.567530424116,5548.90259726753,-0.6649331565859029,-22.09575921252932,60.9909690918016,5706.01247716112,5294.91752283888,0.8067504444863138,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-04,5736.7,5610.1,5905.4,5568.0,1410000.0,1.49,PVC_RRC,0.0149319745944127,0.0461558100517907,0.0793617942012079,0.0166433790259768,0.0173732210148846,0.0237404748985443,596780.0,352333.3333333333,554752.8571428572,-0.5828278271663322,5519.445,5623.644,5399.346,5553.894761904761,5578.481882352941,5548.518633663367,5563.429194837145,5577.794505380218,14.365310543073065,-14.803545261408845,66.76747322847251,5738.886889919659,5300.003110080341,1.0,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-05,5947.6,5694.5,5989.8,5694.5,1830000.0,3.68,PVC_RRC,0.0367632959715515,0.0930275296798619,0.1015706030523042,0.0172422492470914,0.0186580798075718,0.0241516928898287,876756.0,431463.8095238095,576177.7777777778,-0.5302298816393077,5544.755,5628.706000000001,5414.031999999999,5594.671428571429,5591.186039215687,5559.375148514851,5591.886291515874,5634.687658398646,42.80136688277162,-3.2825628325727507,76.71087742686578,5832.449571046113,5257.060428953887,1.0,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-08,6116.3,5947.6,6242.9,5947.6,1640000.0,2.84,PVC_RRC,0.0283643822718406,0.0902301206752107,0.1417184670810698,0.0167815511101458,0.0192114657554492,0.0241111624341459,1148826.0,505824.7619047619,590351.9047619047,-0.4881565131688999,5574.280000000001,5638.83,5430.028,5649.104285714286,5610.30737254902,5573.281445544555,5630.731751403588,5708.781864798854,78.05011339526664,12.983972412995127,81.75060091347966,5958.719077918025,5189.840922081977,1.0,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-09,6074.1,6116.3,6200.7,6032.0,752740.0,-0.69,PVC_RRC,-0.0068995961610777,0.0908943965517241,0.1162752232881245,0.0165566117346492,0.019264868983819,0.0238072553965748,1209144.0,533453.3333333334,590941.2698412698,-0.4986810902255164,5601.695000000001,5650.64,5442.968000000001,5696.70619047619,5627.376784313725,5586.035346534653,5663.573843892211,5764.9846548298,101.4108109375893,30.669340117913965,76.94467129955507,6045.235005789472,5158.154994210529,0.8797404792898817,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-10,6032.0,6074.1,6411.6,5989.8,3310000.0,-0.69,PVC_RRC,-0.0069310679771489,0.0671761937618313,0.0916066451916464,0.0199839330419415,0.0194080566768376,0.0236768931605187,1788548.0,682744.7619047619,634489.8412698413,-0.5091807275260747,5633.335000000001,5660.764,5453.228,5737.687619047619,5642.332078431372,5597.699346534653,5690.8646702705655,5806.063938702138,115.19926843157282,47.57532578064574,72.06775820412238,6105.417313405685,5161.252686594317,0.757704727933404,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-11,6242.9,6074.1,6242.9,6074.1,1200000.0,3.5,PVC_RRC,0.0349635278514588,0.088238882981505,0.1297730645336421,0.0222822479955143,0.0194511936113561,0.0240428316134067,1746548.0,736134.7619047619,634489.8412698413,-0.4565827819990504,5675.52,5674.262000000001,5466.35,5795.7414285714285,5665.160941176471,5613.336415841584,5731.756176176449,5873.269486594117,141.51331041766753,66.3629227080501,79.55719732955572,6206.606658008534,5144.4333419914665,0.945114122570109,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
2013-04-12,6369.4,6242.9,6496.0,6200.7,2090000.0,2.03,PVC_RRC,0.0202630187893446,0.0709193624319051,0.1796932878945027,0.0197479214991768,0.0195827538750422,0.0241002689977017,1798548.0,823386.6666666666,657877.9365079365,-0.4250339905852591,5721.92,5687.76,5481.113,5861.825238095238,5692.42125490196,5631.218594059405,5778.98905201523,5949.59725788733,170.60820587209946,87.21197934085998,82.75696884337047,6324.257553902287,5119.582446097713,1.0,42076803070,5129357255,1715507487,0,0,5380214421,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,-122547258762,-210774391209,349794504974,0,139020113765,0.0,760478685838,16093354446,0.0,4222143107,-5380214421,760478685838,-3825017297,756653668541,-647100004596,109553663945,-5556175162,0,-11995928258,-54901568003,41322135629,2392258956,-1637591515,754667441,42076803070,-14826620577,3698576058,30948758551,14855404105,16093354446,0.3222474064,0.7267582057,0.2647505566422868,1.0483940635607134,1.9176888126,15.4917111375,64.84442433394881,75.9172132369,48.9505557534,189.7121933242488,4.807868788,0.0563747583042196,0.144787065073304,0.0212691157330032,0.1462578523,5.5858310626,0.0592915951,364048072258.0,42656167684,0.0,2.6893564258,0.2611978723,1.7689672057,-7.928339717745239,2.0040851755558746,820000000000,50000000,6.3058835229,0.9633029392,0.2373198223,-7.6515899255,321.86708892,17024.75860064,2.3908249742
