quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,2303,0.088,0.053,-1857,446,-259,187,0.193,1.722,-24,175,151,127,-0.027,1.15,359.0
3,2024,2188,0.225,0.22,-1860,329,-260,69,0.008,-0.328,-20,87,76,59,-0.128,-0.293,169.0
2,2024,1793,0.012,0.075,-1454,339,-237,102,0.041,0.364,-18,113,97,83,-0.008,0.513,199.0
1,2024,1668,-0.089,-0.212,-1317,350,-275,75,0.415,-0.522,-9,89,71,55,0.282,-0.577,181.0
4,2023,2117,-0.081,0.185,-1710,407,-250,157,0.173,1.298,-25,174,153,130,0.166,0.926,245.0
3,2023,1786,-0.02,0.008,-1473,313,-245,68,-0.346,-0.306,-29,88,81,68,-0.113,-0.195,156.0
2,2023,1771,0.036,-0.032,-1467,305,-206,98,-0.066,0.855,-20,110,97,84,0.05,0.956,186.0
1,2023,1831,0.031,-0.205,-1478,353,-300,53,-0.268,-0.604,-31,56,49,43,0.276,-0.616,154.0
4,2022,2302,0.252,0.264,-1902,400,-266,134,0.059,0.282,-26,133,125,112,0.135,0.466,216.0
3,2022,1821,0.324,0.066,-1456,366,-262,104,0.108,-0.008,-28,107,89,76,0.163,-0.048,190.0
2,2022,1709,0.314,-0.037,-1387,322,-217,105,0.677,0.453,-18,106,92,80,0.812,1.377,167.0
1,2022,1776,0.334,-0.034,-1444,332,-259,72,0.71,-0.427,-16,58,50,34,0.18,-0.658,136.0
4,2021,1838,0.189,0.336,-1495,343,-217,126,0.388,0.341,-19,136,119,98,0.369,0.503,183.0
3,2021,1376,0.103,0.057,-1101,274,-180,94,0.225,0.501,-18,102,87,65,0.396,0.485,152.0
2,2021,1301,0.23,-0.023,-1066,235,-172,63,0.566,0.481,-17,73,62,44,0.555,0.548,118.0
1,2021,1331,0.239,-0.139,-1148,184,-141,42,0.178,-0.535,-12,60,45,28,0.204,-0.604,106.0
4,2020,1546,0.04,0.239,-1243,303,-212,91,0.039,0.184,-20,99,88,72,0.072,0.532,146.0
3,2020,1247,0.05,0.179,-1021,227,-150,77,-0.015,0.919,-20,81,66,47,0.047,0.654,133.0
2,2020,1058,-0.044,-0.015,-864,194,-154,40,0.29,0.114,-17,50,43,28,2.3,0.199,87.0
1,2020,1074,-0.141,-0.277,-871,203,-167,36,-0.441,-0.589,-20,53,40,24,0.446,-0.647,92.0
4,2019,1487,0.024,0.252,-1197,289,-202,88,0.22,0.122,-18,96,83,67,0.419,0.496,132.0
3,2019,1188,-0.073,0.073,-971,216,-138,78,0.27,1.514,-13,80,64,45,0.116,4.214,126.0
2,2019,1107,-0.079,-0.115,-917,190,-159,31,-0.427,-0.517,-20,30,22,9,-0.775,-0.475,74.0
1,2019,1250,0.197,-0.139,-1031,220,-155,64,2.376,-0.105,-13,61,50,16,2.479,-0.654,108.0
4,2018,1452,0.025,0.134,-1224,229,-157,72,0.129,0.168,-14,79,62,47,-0.071,0.177,111.0
3,2018,1281,-0.064,0.065,-1081,200,-139,61,-0.37,0.134,-11,66,53,40,-0.44,0.051,102.0
2,2018,1202,0.156,0.151,-1009,193,-139,54,0.559,1.846,-11,56,49,38,0.441,7.124,91.0
1,2018,1044,-0.021,-0.263,-874,170,-151,19,-0.442,-0.701,-6,27,17,5,-0.803,-0.908,59.0
4,2017,1417,0.218,0.036,-1199,218,-154,64,0.119,-0.349,-8,71,62,51,0.185,-0.29,93.0
3,2017,1368,0.172,0.315,-1132,236,-138,98,1.097,1.81,-7,101,87,72,1.002,1.702,128.0
2,2017,1040,0.054,-0.024,-900,140,-105,35,0.054,0.018,-7,40,35,27,0.286,0.113,65.0
1,2017,1066,0.098,-0.084,-906,161,-127,34,0.108,-0.399,-6,40,33,24,0.491,-0.445,70.0
4,2016,1164,0.082,-0.002,-1006,158,-101,57,0.0,0.22,-5,63,54,43,-0.005,0.2,81.0
3,2016,1167,0.318,0.182,-1022,145,-98,47,0.044,0.413,-7,50,42,36,0.059,0.735,70.0
2,2016,987,0.305,0.017,-859,128,-95,33,0.37,0.071,-8,34,28,21,0.328,0.29,54.0
1,2016,971,0.031,-0.097,-829,142,-111,31,-0.418,-0.458,-7,36,23,16,-0.576,-0.63,53.0
4,2015,1075,0.277,0.215,-917,158,-102,57,0.061,0.274,-5,60,53,43,0.087,0.277,77.0
3,2015,885,0.047,0.17,-754,131,-87,45,0.262,0.853,-6,44,41,34,0.181,1.177,64.0
2,2015,757,0.191,-0.197,-662,95,-71,24,0.24,-0.545,-7,20,19,16,0.316,-0.589,44.0
1,2015,942,0.264,0.118,-743,199,-146,53,11.457,-0.013,-5,34,32,38,,-0.05,53.0
4,2014,842,0.021,-0.003,-700,142,-89,54,0.13,0.515,-10,49,43,40,0.477,0.388,54.0
3,2014,845,0.16,0.331,-725,120,-84,35,0.157,0.82,-10,34,31,29,3.326,1.425,35.0
2,2014,635,0.135,-0.148,-541,94,-75,19,0.82,3.573,-10,12,12,12,,,19.0
1,2014,745,0.478,-0.097,-608,137,-133,4,-0.788,-0.91,-9,-5,-7,-10,,,4.0
4,2013,825,0.023,0.133,-709,116,-69,47,1.117,0.552,-14,33,30,27,4.182,3.065,47.0
3,2013,728,0.056,0.301,-630,98,-68,31,0.184,1.863,-16,11,7,7,-0.325,,31.0
2,2013,560,0.055,0.11,-481,79,-68,11,-0.22,-0.466,-19,-6,-7,-6,,,11.0
1,2013,504,-0.136,-0.374,-409,96,-76,20,,-0.107,-19,1,2,-1,,,20.0
4,2012,806,0.176,0.169,-712,95,-72,22,-0.043,-0.132,-17,6,6,5,0.282,-0.47,22.0
3,2012,690,0.001,0.3,-595,95,-69,26,0.053,0.885,-23,10,6,10,,,26.0
2,2012,531,-0.354,-0.091,-475,56,-42,14,-0.674,,-13,-3,-4,-3,,,14.0
1,2012,584,-0.272,-0.148,-568,16,-89,-73,,,-14,-109,-108,-107,,,-73.0
4,2011,686,-0.299,-0.005,-611,74,-51,23,-0.616,-0.045,-50,4,3,4,-0.876,,23.0
3,2011,689,-0.233,-0.161,-611,78,-53,24,-0.423,-0.416,-22,-4,-6,-5,,,24.0
2,2011,821,-0.172,0.024,-727,94,-52,42,-0.287,0.739,-28,7,6,6,-0.695,,42.0
1,2011,803,0.299,-0.179,-720,82,-58,24,-0.422,-0.603,-34,-33,-24,-23,,,24.0
4,2010,977,-0.269,0.088,-852,125,-64,61,-0.514,0.432,-12,40,33,33,-0.612,4.925,
3,2010,898,0.036,-0.095,-808,91,-48,42,0.526,-0.278,-60,14,5,6,-0.241,-0.739,47.0
2,2010,992,0.362,0.606,-881,111,-52,59,0.406,0.41,-16,25,21,21,-0.082,1.738,59.0
1,2010,618,0.247,-0.538,-536,82,-40,42,1.207,-0.666,-20,13,8,8,2.38,-0.909,44.0
4,2009,1338,,0.542,-1179,158,-33,125,,3.494,-16,105,85,84,,10.598,
3,2009,867,,0.19,-780,87,-59,28,,-0.335,-11,13,6,7,,-0.684,
2,2009,728,,0.471,-636,93,-51,42,,1.213,-7,28,23,23,,9.085,
1,2009,495,,,-433,63,-44,19,,,-14,3,2,2,,,
