time,open,high,low,close,volume
2024-01-25,28.8,29.4,28.75,29.15,1534086
2024-01-26,29.4,29.4,29.0,29.05,889651
2024-01-29,29.4,29.4,28.75,28.75,1054311
2024-01-30,28.75,29.15,28.5,29.15,1213779
2024-01-31,29.45,30.45,29.25,29.6,3752864
2024-02-01,29.65,31.05,29.65,30.9,2755852
2024-02-02,31.25,31.65,30.6,31.25,2141779
2024-02-05,31.3,31.5,30.65,31.15,1727506
2024-02-06,31.45,31.7,30.8,31.15,1412510
2024-02-07,31.4,31.4,31.0,31.25,929141
2024-02-15,31.3,31.3,30.8,30.9,1702187
2024-02-16,30.9,31.45,30.8,31.0,1157340
2024-02-19,31.0,31.0,30.4,30.8,2001107
2024-02-20,31.25,31.95,31.0,31.15,2171089
2024-02-21,31.1,31.15,30.7,31.0,1165012
2024-02-22,30.95,31.0,30.75,30.8,1087833
2024-02-23,30.8,31.3,29.9,29.9,2504367
2024-02-26,29.9,31.5,29.75,31.2,2267149
2024-02-27,31.6,32.3,31.35,31.4,2135878
2024-02-28,31.5,32.0,31.25,31.55,1706536
2024-02-29,31.9,32.8,31.5,32.15,2942970
2024-03-01,32.5,34.0,32.5,33.25,3081525
2024-03-04,33.5,33.8,32.8,33.0,1894545
2024-03-05,33.0,35.3,32.3,35.3,4747562
2024-03-06,35.75,36.5,35.6,36.4,3359753
2024-03-07,36.5,37.9,36.05,36.2,3088696
2024-03-08,36.75,37.55,35.9,36.5,3269278
2024-03-11,36.4,37.5,35.8,37.0,2527353
2024-03-12,37.0,37.45,36.5,36.85,2165121
2024-03-13,37.0,39.0,36.65,38.9,2823301
2024-03-14,38.9,39.5,38.1,38.4,2075464
2024-03-15,38.4,38.7,37.2,38.0,1957591
2024-03-18,38.4,38.4,35.35,36.0,4207527
2024-03-19,36.3,37.1,36.0,36.4,902207
2024-03-20,36.1,37.35,36.1,37.35,1531756
2024-03-21,37.95,38.1,37.25,37.35,1780329
2024-03-22,37.6,38.75,37.3,38.05,2607964
2024-03-25,38.9,38.9,36.6,37.3,1927760
2024-03-26,37.1,37.9,36.75,37.65,906144
2024-03-27,37.8,38.05,37.25,37.55,1010061
2024-03-28,38.0,39.5,37.85,39.0,2728341
2024-03-29,39.0,39.0,38.4,38.5,916261
2024-04-01,38.4,38.7,37.5,38.5,1678490
2024-04-02,38.0,39.5,38.0,39.5,2274983
2024-04-03,39.7,40.7,38.7,39.25,2279094
2024-04-04,38.8,39.25,38.3,38.3,1715096
2024-04-05,37.45,37.85,36.0,36.0,2724700
2024-04-08,35.95,37.2,35.8,36.5,1850966
2024-04-09,36.8,38.0,36.6,38.0,1054028
2024-04-10,38.0,38.0,37.4,37.4,1119101
2024-04-11,36.4,38.4,36.4,38.2,1704849
2024-04-12,38.55,40.5,38.15,40.5,3943317
2024-04-15,40.5,42.0,37.7,37.7,4542921
2024-04-16,37.85,40.0,37.05,39.75,4744263
2024-04-17,40.6,40.6,37.45,37.45,2693759
2024-04-19,36.0,37.15,34.85,34.85,5836669
2024-04-22,35.85,37.0,35.1,36.2,2118238
2024-04-23,36.1,36.5,33.8,34.2,2395968
2024-04-24,34.9,36.15,34.8,36.0,1828287
2024-04-25,35.85,35.95,35.1,35.5,1399103
2024-04-26,34.85,36.25,34.85,35.5,1350876
2024-05-02,35.55,35.75,34.3,34.9,1686613
2024-05-03,35.5,35.75,34.6,34.9,1545935
2024-05-06,35.5,37.3,35.0,37.3,4375987
2024-05-07,37.6,38.0,37.05,37.95,1956275
2024-05-08,37.8,39.25,37.2,38.8,2768877
2024-05-09,39.4,39.4,38.1,38.3,2043295
2024-05-10,38.3,40.0,37.7,40.0,3452811
2024-05-13,40.4,41.0,39.4,39.85,2152107
2024-05-14,39.85,40.3,39.25,39.5,1927537
2024-05-15,40.2,42.25,39.5,42.25,4553536
2024-05-16,42.9,42.9,42.05,42.35,1536524
2024-05-17,42.3,43.7,42.1,43.0,1954654
2024-05-20,43.35,43.35,42.4,42.5,1927985
2024-05-21,42.7,43.85,42.2,43.85,2096128
2024-05-22,44.05,44.75,42.0,43.4,2174015
2024-05-23,43.35,43.8,42.3,43.8,1968275
2024-05-24,42.5,43.5,40.75,42.0,3995760
2024-05-27,42.0,42.6,41.5,42.3,1056307
2024-05-28,42.3,44.0,42.3,43.85,2177602
2024-05-29,43.8,43.9,42.55,42.85,1561289
2024-05-30,42.1,43.5,41.15,43.5,2147720
2024-05-31,43.3,43.5,42.5,42.5,1213306
2024-06-03,43.3,43.5,43.0,43.05,1266439
2024-06-04,43.1,44.3,43.1,43.9,2101973
2024-06-05,44.1,45.7,43.9,44.8,2559834
2024-06-06,44.8,45.0,43.9,44.35,1184629
2024-06-07,44.6,45.15,43.7,44.35,1142158
2024-06-10,44.15,45.4,44.0,44.8,1167095
2024-06-11,45.3,45.3,44.5,45.1,1314393
2024-06-12,45.2,46.45,45.1,45.75,1169084
2024-06-13,46.4,46.4,45.2,45.2,1004791
2024-06-14,45.45,45.85,42.8,42.8,2262881
2024-06-17,42.8,43.4,42.2,42.7,1920561
2024-06-18,42.95,43.2,42.7,43.0,881811
2024-06-19,43.1,43.95,42.6,43.1,1216727
2024-06-20,43.0,43.45,42.0,42.65,1242616
2024-06-21,42.4,43.1,42.4,42.7,836720
2024-06-24,42.2,42.65,39.75,39.75,5064735
2024-06-25,39.75,40.05,39.1,39.9,1134319
2024-06-26,39.9,40.05,37.75,39.65,1010671
2024-06-27,39.0,39.6,38.5,38.5,1140600
2024-06-28,38.25,40.0,38.2,38.55,1625188
2024-07-01,38.9,39.7,38.65,39.6,870044
2024-07-02,39.75,40.5,39.65,40.15,1184684
2024-07-03,40.0,40.2,39.5,39.65,754964
2024-07-04,40.0,40.45,39.5,39.55,941475
2024-07-05,39.8,39.8,38.8,39.3,1127045
2024-07-08,39.45,40.05,39.25,39.75,1364604
2024-07-09,40.05,42.0,39.85,42.0,3061203
2024-07-10,42.0,42.1,41.15,41.4,1374695
2024-07-11,41.7,42.8,41.45,42.15,2121872
2024-07-12,41.9,42.35,41.5,41.7,1202256
2024-07-15,41.9,42.35,41.5,42.05,1108772
2024-07-16,42.3,43.1,42.0,42.1,1610871
2024-07-17,42.2,42.5,39.3,41.1,2381292
2024-07-18,41.0,41.4,39.8,41.3,1701819
2024-07-19,40.65,41.6,39.8,39.9,1730920
2024-07-22,39.0,39.4,37.15,37.15,3830558
2024-07-23,36.9,36.95,34.7,34.7,2198797
2024-07-24,34.1,35.7,33.8,35.4,1803868
2024-07-25,35.5,36.2,34.65,35.7,988189
2024-07-26,35.7,36.05,35.1,35.15,1257932
2024-07-29,35.3,36.35,35.3,35.9,989639
2024-07-30,35.75,35.9,34.9,35.2,851804
2024-07-31,35.35,35.8,34.8,34.85,962248
2024-08-01,35.0,35.2,32.45,32.45,2955333
2024-08-02,32.2,34.7,31.35,34.7,2481008
2024-08-05,34.05,35.5,33.55,34.6,2968617
2024-08-06,35.2,36.8,34.1,36.55,2495961
2024-08-07,36.7,36.7,35.1,36.0,1962818
2024-08-08,36.0,36.15,34.15,34.95,2143894
2024-08-09,35.4,36.9,35.1,36.1,2934265
2024-08-12,36.2,36.7,36.0,36.7,1520633
2024-08-13,36.9,36.9,35.6,36.35,1614754
2024-08-14,36.65,37.1,36.15,36.15,1762116
2024-08-15,36.0,36.65,35.5,35.5,1409690
2024-08-16,36.0,37.95,35.65,37.95,3212732
2024-08-19,38.5,38.8,38.1,38.2,1682804
2024-08-20,38.2,40.35,37.7,39.05,2816971
2024-08-21,39.1,39.3,38.5,39.1,1708879
2024-08-22,39.2,39.8,38.85,39.05,1292256
2024-08-23,39.05,40.0,38.85,39.55,1852606
2024-08-26,40.3,40.3,39.1,39.15,1564093
2024-08-27,39.2,39.5,38.9,39.2,1372497
2024-08-28,39.5,39.5,38.05,38.85,1702666
2024-08-29,38.9,39.2,38.6,38.75,625371
2024-08-30,38.75,39.45,38.7,39.0,937653
2024-09-04,38.4,39.25,38.15,39.2,1082862
2024-09-05,39.4,40.15,38.95,39.2,1957338
2024-09-06,39.0,39.5,38.5,39.3,925763
2024-09-09,39.1,39.3,38.2,38.75,817069
2024-09-10,38.95,39.0,37.8,37.9,1854375
2024-09-11,37.65,38.8,37.35,38.2,1320439
2024-09-12,38.5,38.8,38.05,38.05,534840
2024-09-13,38.1,39.0,38.1,38.4,1091660
2024-09-16,38.2,38.8,38.0,38.05,1006474
2024-09-17,38.0,39.45,37.95,39.45,1638031
2024-09-18,39.55,40.6,39.4,39.8,2253640
2024-09-19,39.95,40.1,39.55,39.7,1216776
2024-09-20,40.45,40.45,39.5,39.5,1206533
2024-09-23,39.5,40.1,39.25,39.75,1227803
2024-09-24,40.0,40.4,39.7,40.35,1342789
2024-09-25,40.65,41.55,40.5,40.55,2558661
2024-09-26,40.7,40.7,40.0,40.1,2036168
2024-09-27,40.15,40.4,40.0,40.3,1348207
2024-09-30,40.25,41.15,39.95,40.7,1273342
2024-10-01,41.0,42.0,40.75,40.8,2505020
2024-10-02,40.7,41.0,40.5,40.7,1492297
2024-10-03,41.0,41.05,39.85,40.05,1975560
2024-10-04,40.05,40.45,39.9,39.9,901476
2024-10-07,40.15,40.6,39.8,40.6,853927
2024-10-08,40.95,41.0,39.8,39.85,1536370
2024-10-09,39.95,40.5,39.8,40.2,814271
2024-10-10,40.6,40.6,39.95,40.0,802164
2024-10-11,40.0,40.3,39.9,40.3,554009
2024-10-14,40.45,41.0,40.3,40.6,1521330
