quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-838,-3103,-981,5397,7223.0
3,2024,-877,-127,-1972,3236,7187.0
2,2024,-913,-2019,-1214,3729,5772.0
1,2024,-647,-3212,1969,-658,9619.0
4,2023,-936,2232,-5126,3975,4443.0
3,2023,-1123,-103,-2708,3704,4256.0
2,2023,-1295,-7117,6834,3268,3974.0
1,2023,-624,-1559,-168,-1427,8661.0
4,2022,-1243,6704,-5991,1999,6059.0
3,2022,-748,531,-4815,2819,4127.0
2,2022,-711,5,-1627,2035,4180.0
1,2022,-485,-1443,2660,-1838,8004.0
4,2021,-890,-5190,2231,2934,2787.0
3,2021,-600,-823,-281,1588,3770.0
2,2021,-810,-2164,-95,2102,2899.0
1,2021,-613,-2239,3510,-783,5423.0
4,2020,-1217,-3639,1608,2402,901.0
3,2020,-467,-1530,-285,1943,2629.0
2,2020,-683,-1912,-210,2420,1862.0
1,2020,-652,-1046,1925,-444,4464.0
4,2019,-199,221,-2240,2251,2153.0
3,2019,-838,-1147,300,996,3056.0
2,2019,-771,-829,-13,1245,2512.0
1,2019,-905,-869,-48,-330,3361.0
4,2018,-817,-1164,-168,1276,1688.0
3,2018,-376,-1066,16,971,3348.0
2,2018,-658,-539,69,1454,2236.0
1,2018,-603,-927,640,-118,3598.0
4,2017,-266,-2812,501,567,4496.0
3,2017,-340,546,-813,913,2117.0
2,2017,-311,637,-1505,1410,1454.0
1,2017,-188,-829,-95,-1053,3803.0
4,2016,-184,-1342,1409,788,385.0
3,2016,-342,-339,-407,1545,1187.0
2,2016,-390,-821,-213,1479,1050.0
1,2016,-428,82,-653,416,1726.0
4,2015,-183,-627,1163,33,2386.0
3,2015,-621,-1343,905,463,1361.0
2,2015,-442,-713,-1133,842,1424.0
1,2015,-881,-258,58,-141,1709.0
4,2014,-911,-1631,1616,211,1819.0
3,2014,22,297,980,437,1192.0
2,2014,-342,-565,-969,803,2267.0
1,2014,-210,396,275,-300,1872.0
4,2013,-450,-899,369,725,1417.0
3,2013,-221,-67,-338,541,1977.0
2,2013,-113,-619,596,251,1850.0
1,2013,-270,-409,-20,38,802.0
4,2012,-479,413,-1236,316,524.0
4,2012,-479,413,-1236,316,524.0
3,2012,-176,-39,-715,1461,1572.0
2,2012,-129,-780,102,586,2012.0
1,2012,-78,-23,-894,193,1986.0
4,2011,-305,125,176,102,1911.0
4,2011,-305,125,176,102,1911.0
3,2011,-23,233,236,242,927.0
2,2011,-50,-354,-734,894,1492.0
1,2011,-145,254,71,219,1650.0
4,2010,-504,-1618,109,717,1263.0
4,2010,-504,-1618,109,717,2132.0
3,2010,-448,-1216,146,447,1451.0
2,2010,-448,-1352,208,544,1973.0
1,2010,-25,-433,-244,-298,1973.0
3,2007,-172,-208,-161,218,
2,2007,-74,-123,250,43,
1,2007,-69,-78,-150,69,
