quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-321,728,-354,-338,2827
3,2024,-183,-337,251,64,2111
2,2024,-209,-78,515,-340,2787
1,2024,-125,154,-30,-126,2003
4,2023,-150,360,15,-396,2432
3,2023,-181,-69,-299,380,1320
2,2023,-15,249,-28,-214,1617
1,2023,-52,-82,17,35,1556
4,2022,-136,64,-396,272,1853
3,2022,-263,786,-429,-343,1435
2,2022,86,-274,320,-54,1020
1,2022,-213,-59,188,-82,677
4,2021,-408,2478,-81,-2428,698
3,2021,-346,-3089,70,2972,-4274
2,2021,-291,891,-487,-521,-908
1,2021,-412,238,-162,100,-1392
4,2020,-341,-459,533,-257,-1625
3,2020,-287,-472,62,609,-1214
2,2020,-1126,-603,2169,-1544,1368
1,2020,-664,-920,257,469,-535
4,2019,-1562,1037,85,-1061,-1338
3,2019,-609,2929,-101,-2813,1212
2,2019,-468,3785,-3878,9,-946
1,2019,-963,-931,182,673,-1033
4,2018,-1096,-493,2164,-2181,1895
3,2018,-1973,-618,2412,-1175,-49
2,2018,-364,-358,229,252,79
1,2018,-539,-383,233,116,583
4,2017,-971,-461,-184,565,-411
3,2017,-724,-691,-1591,648,-206
2,2017,-765,291,1363,-13,428
1,2017,-842,-771,-65,254,-2086
4,2016,-1426,-2390,705,1590,-7595
3,2016,-705,-1372,9,829,-2830
2,2016,-1102,-210,-253,167,-2788
1,2016,-943,-1258,1149,861,-1268
4,2015,-2477,-2874,1511,252,-8119
3,2015,-2257,-2823,3395,40,-768
2,2015,-1683,-2561,2035,1060,-357
1,2015,-1531,-2077,1859,172,61
4,2014,-757,-2952,2078,-426,-1681
3,2014,-903,-267,792,-189,-169
2,2014,-1422,-1115,1338,289,270
1,2014,-1368,-1488,607,-138,-1575
4,2013,-989,-1709,1943,487,-51
3,2013,-778,-860,261,-48,-1028
2,2013,-1600,-1874,1849,-43,-479
1,2013,-1242,-957,1092,-209,-6287
4,2012,-309,-787,1283,424,-1162
4,2012,-309,-787,1283,424,-1162
3,2012,-1636,-1584,365,239,-1347
2,2012,-1755,-1326,2294,-76,-441
1,2012,-1569,-1481,568,-296,-1861
3,2011,-2592,-2692,2018,701,1039
2,2011,-859,-870,2248,-744,1875
1,2011,-612,-1092,347,-355,1129
4,2010,-553,-771,2125,42,420
4,2010,-553,-771,2125,42,703
3,2010,-518,532,488,-52,861
2,2010,-468,-1097,425,551,1367
1,2010,-767,-601,97,-95,1367
