quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,1500,-0.21,0.048,-913,587,-165,422,6.547,-0.165,-260,183,205,201,-0.8,-0.393,451.0
3,2024,1432,-0.242,-0.059,-822,609,-104,505,0.226,0.454,-144,351,351,332,0.036,0.262,585.0
2,2024,1521,0.051,0.226,-1039,482,-135,348,1.802,0.009,-159,259,274,263,1.88,0.222,628.0
1,2024,1241,-0.269,-0.346,-743,498,-154,345,0.088,5.161,-168,226,226,215,-0.262,-0.787,428.0
4,2023,1898,0.179,0.005,-1681,217,-161,56,-0.912,-0.864,952,1092,1108,1007,2.475,2.147,186.0
3,2023,1889,0.311,0.305,-1371,519,-106,412,0.022,2.323,-196,342,325,320,-0.113,2.508,531.0
2,2023,1448,0.18,-0.147,-1232,216,-92,124,-0.88,-0.608,-315,68,82,91,-0.674,-0.687,280.0
1,2023,1697,1.114,0.054,-1285,412,-96,317,0.304,-0.501,-168,304,303,291,0.164,0.005,390.0
4,2022,1610,1.164,0.117,-1191,419,215,634,,0.572,-225,278,288,290,1.037,-0.197,677.0
3,2022,1441,1.601,0.174,-1161,281,122,403,-0.322,-0.611,-167,350,370,361,14.217,0.29,501.0
2,2022,1227,1.255,0.529,-1052,176,860,1036,3.149,3.265,-224,224,265,280,2.65,0.119,1129.0
1,2022,803,2.019,0.079,-513,290,-47,243,,,-163,240,258,250,,0.758,331.0
4,2021,744,-0.186,0.342,-511,232,-447,-215,,,-167,68,96,142,,5.0,89.0
3,2021,554,-0.209,0.018,-378,177,418,595,,1.383,-166,20,22,24,,-0.691,598.0
2,2021,544,-0.146,1.047,-488,56,194,250,,,-165,33,77,77,-0.566,,376.0
1,2021,266,-0.681,-0.709,-213,52,-385,-332,,,-200,-248,-69,-58,,,48.0
4,2020,914,0.516,0.304,-1082,-168,-984,-1153,,,-497,-1521,-1526,-1174,,,-969.0
3,2020,701,0.258,0.1,-757,-56,-229,-285,,,-213,-570,-568,-187,,,-63.0
2,2020,637,0.243,-0.236,-504,133,-201,-68,,,-223,-53,-56,177,,,88.0
1,2020,834,1.032,0.383,-551,283,-183,100,,,-267,-79,-78,-69,,,394.0
4,2019,603,-0.422,0.082,-622,-19,-168,-188,,,-288,-513,-343,56,,-0.921,39.0
3,2019,557,-0.634,0.087,-554,3,-227,-224,,,-249,-546,-560,714,0.77,,-78.0
2,2019,512,-0.729,0.249,-361,151,-297,-146,,,-356,-704,-728,-553,,,250.0
1,2019,410,-0.6,-0.607,-325,85,-205,-119,,,-328,20,22,36,12.869,,127.0
4,2018,1043,-0.101,-0.314,-819,224,-339,-115,,,-326,-344,-378,-253,,,158.0
3,2018,1521,0.208,-0.195,-658,862,-263,599,1.652,0.068,-408,392,378,403,2.354,,737.0
2,2018,1888,0.142,0.839,-939,949,-388,561,0.555,0.985,-429,95,44,-37,,,900.0
1,2018,1027,0.246,-0.115,-548,479,-197,283,2.24,-0.262,-377,32,57,3,-0.554,,515.0
4,2017,1160,-0.248,-0.079,-572,588,-206,383,1.09,0.693,-387,10,3,-59,,,597.0
3,2017,1259,0.004,-0.238,-825,434,-208,226,2.9,-0.374,-326,188,173,120,,-0.786,431.0
2,2017,1653,-0.02,1.005,-1044,609,-248,361,,3.137,-488,850,840,561,,95.09,677.0
1,2017,824,-0.582,-0.466,-605,219,-132,87,-0.548,-0.524,-251,8,16,6,-0.916,,261.0
4,2016,1543,0.471,0.231,-1307,236,-53,183,11.798,2.16,-382,-207,-146,-124,,,442.0
3,2016,1254,-0.422,-0.256,-1068,186,-128,58,-0.888,,-378,-70,-77,-34,,,187.0
2,2016,1685,-0.152,-0.145,-1402,283,-354,-71,,,-515,-1206,-1282,-931,,,115.0
1,2016,1972,0.88,0.88,-1677,296,-103,193,-0.456,12.488,-282,87,91,69,-0.81,,321.0
4,2015,1049,0.601,-0.516,-926,124,-109,14,-0.852,-0.972,-326,-555,-589,-566,,,125.0
3,2015,2168,1.789,0.091,-1531,637,-120,517,1.186,-0.214,-291,472,429,378,-0.602,-0.19,620.0
2,2015,1986,1.846,0.893,-1205,781,-123,658,2.195,0.855,-240,601,541,466,0.766,0.277,732.0
1,2015,1049,0.135,0.601,-616,433,-79,355,-0.029,2.676,-219,440,373,365,-0.019,5.843,440.0
4,2014,655,-0.132,-0.157,-463,193,-96,97,-0.611,-0.592,-178,80,67,53,-0.82,-0.944,191.0
3,2014,777,0.297,0.114,-466,312,-75,237,0.742,0.148,-128,990,972,950,3.031,2.597,319.0
2,2014,698,0.007,-0.245,-407,291,-85,206,-0.003,-0.436,-145,304,283,264,-0.073,-0.29,286.0
1,2014,925,0.281,0.225,-494,431,-66,365,0.617,0.471,-102,399,399,372,3.341,0.258,443.0
4,2013,755,-0.564,0.26,-423,333,-84,248,0.052,0.828,-108,263,256,296,3.689,0.255,327.0
3,2013,599,-0.75,-0.135,-384,215,-79,136,-0.583,-0.342,-154,257,238,236,1.44,-0.173,193.0
2,2013,693,1.518,-0.04,-370,323,-117,207,3.446,-0.086,-233,393,332,285,1.757,2.325,343.0
1,2013,722,-0.171,-0.583,-382,340,-114,226,0.328,-0.042,-127,107,123,86,0.092,0.359,310.0
4,2012,1731,0.563,-0.278,-1323,408,-172,236,-0.315,-0.276,-123,57,27,63,-0.719,-0.347,274.0
3,2012,2397,0.733,7.707,-2002,395,-69,326,-0.375,6.011,-100,255,177,97,-0.67,-0.066,389.0
2,2012,275,-0.639,-0.684,-140,136,-89,46,-0.739,-0.727,-150,111,77,103,-0.831,0.317,107.0
1,2012,870,0.214,-0.214,-619,252,-82,170,-0.336,-0.506,-122,99,77,78,-0.788,-0.65,211.0
4,2011,1108,-0.6,-0.199,-670,438,-93,344,-0.735,-0.338,-53,351,266,224,-0.766,-0.235,
3,2011,1383,3.215,0.812,-751,632,-112,521,13.236,1.925,-227,462,340,293,-0.445,-0.52,560.0
2,2011,763,1.289,0.064,-406,357,-179,178,-0.063,-0.305,-186,893,681,611,3.022,0.647,211.0
1,2011,717,0.364,-0.741,-373,344,-88,256,0.562,-0.803,-93,594,440,371,0.53,-0.613,289.0
4,2010,2768,1.545,7.435,-1367,1401,-100,1302,2.363,34.595,-60,1399,1055,957,1.886,0.813,1333.0
3,2010,328,-0.733,-0.016,-222,106,-70,37,-0.929,-0.808,-46,715,550,528,0.647,2.478,10.0
2,2010,333,-0.707,-0.366,-77,256,-66,190,-0.534,0.159,-54,301,214,152,-0.49,-0.373,228.0
1,2010,526,-0.422,-0.517,-297,229,-65,164,-0.614,-0.576,-35,318,250,242,0.013,-0.269,200.0
4,2009,1088,2.819,-0.116,-634,454,-67,387,3.468,-0.25,-52,491,350,332,6.766,0.035,
3,2009,1230,4.284,0.08,-631,599,-82,516,5.544,0.267,-47,481,343,320,152.147,0.077,
2,2009,1139,,0.252,-663,475,-68,408,,-0.04,-44,412,321,298,,0.244,
1,2009,909,,2.193,-430,479,-54,425,,3.902,-63,359,273,239,,4.601,
4,2008,285,,0.224,-158,127,-40,87,,0.098,-21,62,57,43,,19.407,
3,2008,233,,,-58,175,-96,79,,,-38,17,39,2,,,
2,2008,0,,,0,0,0,0,,,0,0,0,0,,,
