quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,0,22,69,-77,133.0
4,2024,0,22,69,-77,97.0
3,2024,-1,24,-20,4,-44.0
2,2024,-2,29,-30,-66,13.0
1,2024,-1,7,-25,71,-114.0
4,2023,-4,-16,33,-15,-67.0
4,2023,-4,-16,33,-15,-40.0
3,2023,-1,11,-6,27,-32.0
2,2023,0,-2,-8,-20,19.0
1,2023,-1,-8,-2,32,-21.0
4,2022,-4,-64,9,25,39.0
4,2022,-4,-64,9,25,44.0
3,2022,-3,-72,16,10,39.0
2,2022,-9,-2,-15,33,-34.0
1,2022,-5,-15,12,-4,29.0
4,2021,0,18,10,-29,-13.0
4,2021,0,18,10,-29,52.0
3,2021,0,19,-45,61,-42.0
2,2021,-2,-8,-5,17,21.0
1,2021,-1,9,-16,11,36.0
4,2020,-9,-9,4,6,101.0
4,2020,-9,-9,4,6,56.0
3,2020,0,-6,14,-6,34.0
2,2020,0,-3,14,6,15.0
1,2020,-2,1,-22,-15,62.0
4,2019,0,-5,-11,8,18.0
3,2019,-1,-6,13,1,22.0
2,2019,-2,-34,18,-7,21.0
1,2019,-1,-4,-30,14,30.0
4,2018,-2,7,-7,-31,70.0
3,2018,-4,2,-13,7,20.0
2,2018,-1,1,0,23,12.0
1,2018,-2,-4,-9,-9,57.0
4,2017,-2,8,-22,48,-93.0
4,2017,-2,8,-22,48,32.0
3,2017,-5,2,-30,3,84.0
2,2017,-1,-9,-8,41,66.0
1,2017,0,22,-105,71,5.0
4,2016,-2,13,-6,55,120.0
3,2016,-1,-1,24,-30,112.0
2,2016,-1,-13,-14,-12,62.0
1,2016,-1,-10,-39,79,-2.0
4,2015,0,-5,20,-6,
3,2015,0,5,33,-34,82.0
2,2015,-1,34,-9,-26,15.0
1,2015,-1,16,13,-20,10.0
4,2014,-1,-15,-16,45,51.0
3,2014,0,6,-16,9,12.0
2,2014,0,-4,-4,-3,72.0
1,2014,-9,47,-22,-17,-4.0
4,2013,0,-8,12,-14,87.0
3,2013,-8,20,-4,-57,-42.0
2,2013,6,-28,-11,29,53.0
1,2013,-2,67,-31,-2,5.0
3,2012,-5,8,-17,-2,31.0
2,2012,-1,13,-6,10,70.0
1,2012,0,-8,-7,0,-52.0
4,2011,-42,-37,-8,75,-66.0
4,2011,-42,-37,-8,75,-66.0
3,2011,-51,-61,27,24,-66.0
2,2011,-34,-22,0,20,-66.0
