time,open,high,low,close,volume
2024-01-25,9.56,9.69,9.55,9.68,5143
2024-01-26,9.58,9.65,9.58,9.65,1773
2024-01-29,9.69,9.69,9.6,9.6,867
2024-01-30,9.6,9.65,9.4,9.5,22686
2024-01-31,9.6,9.6,9.4,9.49,69451
2024-02-01,9.49,9.77,9.35,9.6,12300
2024-02-02,9.6,9.6,9.38,9.5,9600
2024-02-05,9.5,9.5,9.37,9.42,8703
2024-02-06,9.5,9.5,9.39,9.49,6587
2024-02-07,9.4,9.8,9.4,9.75,8902
2024-02-15,9.75,9.75,9.42,9.69,7834
2024-02-16,9.69,9.69,9.47,9.59,6611
2024-02-19,9.59,9.59,9.4,9.5,39080
2024-02-20,9.55,9.6,9.51,9.59,28086
2024-02-21,9.67,9.67,9.41,9.52,10578
2024-02-22,9.52,9.79,9.51,9.53,94361
2024-02-23,9.55,9.74,9.51,9.53,42141
2024-02-26,9.52,9.7,9.51,9.7,8967
2024-02-27,9.69,9.69,9.21,9.64,17604
2024-02-28,9.45,10.0,9.4,9.89,35788
2024-02-29,9.89,9.96,9.43,9.95,53573
2024-03-01,9.91,10.3,9.51,9.99,53897
2024-03-04,9.99,9.99,9.5,9.62,16443
2024-03-05,9.62,9.9,9.62,9.85,18470
2024-03-06,9.7,9.7,9.63,9.69,3323
2024-03-07,9.61,10.0,9.51,9.65,75968
2024-03-08,9.65,9.93,9.5,9.86,18959
2024-03-11,9.86,9.9,9.61,9.86,27648
2024-03-12,9.86,9.94,9.8,9.89,41299
2024-03-13,9.88,10.2,9.71,10.2,71872
2024-03-14,10.3,10.55,10.0,10.05,166515
2024-03-15,10.3,10.6,9.96,10.1,98842
2024-03-18,10.5,10.6,10.2,10.3,74619
2024-03-19,10.5,10.5,10.15,10.4,66381
2024-03-20,10.45,10.45,10.05,10.45,40065
2024-03-21,10.2,10.5,10.2,10.3,46748
2024-03-22,10.3,10.3,10.1,10.1,32864
2024-03-25,10.1,10.2,10.1,10.1,23923
2024-03-26,10.1,10.2,10.0,10.0,32273
2024-03-27,10.2,10.2,10.0,10.0,11201
2024-03-28,10.0,10.2,9.86,10.2,178566
2024-03-29,10.2,10.2,10.0,10.1,28730
2024-04-01,10.1,10.2,9.96,10.1,35673
2024-04-02,10.1,10.1,10.0,10.0,28381
2024-04-03,9.86,10.15,9.86,10.05,80383
2024-04-04,10.1,10.1,9.9,9.91,25939
2024-04-05,9.86,10.0,9.86,9.87,51436
