quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,2048,3.361,7.107,-1139,908,-230,678,2.771,6.479,0,505,393,398,5.393,4.65,678.0
3,2024,253,-0.59,-0.608,-95,158,-67,91,-0.71,-0.786,0,74,66,70,-0.661,-0.747,94.0
2,2024,645,0.107,0.93,-145,500,-77,423,-0.057,2.591,0,371,280,279,0.128,3.396,426.0
1,2024,334,-0.215,-0.289,-160,174,-56,118,-0.553,-0.345,0,102,64,63,-0.684,0.019,120.0
4,2023,469,-0.62,-0.238,-178,292,-112,180,-0.094,-0.424,0,116,63,62,-0.477,-0.7,183.0
3,2023,616,-0.232,0.059,-184,433,-120,312,-0.249,-0.303,0,256,210,208,-0.41,-0.16,316.0
2,2023,582,-0.205,0.369,-66,516,-68,448,0.017,0.702,-1,413,256,247,-0.257,0.233,453.0
1,2023,425,1.98,-0.655,-93,332,-69,263,49.72,0.326,-1,287,201,200,-0.331,0.685,266.0
4,2022,1234,1.092,0.537,-936,298,-100,199,-0.387,-0.522,0,180,111,119,-0.713,-0.662,-66.0
3,2022,803,-0.331,0.096,-293,509,-94,416,-0.038,-0.057,0,483,345,352,0.111,0.059,688.0
2,2022,733,-0.341,4.132,-235,498,-57,441,0.205,83.907,1,436,326,332,0.247,0.109,175.0
1,2022,143,-0.829,-0.758,-65,77,-72,5,-0.982,-0.984,-1,310,300,299,0.46,-0.277,8.0
4,2021,590,-0.543,-0.508,-105,485,-161,324,-0.332,-0.25,0,533,415,414,0.083,0.309,327.0
3,2021,1199,-0.317,0.078,-722,477,-45,432,-0.107,0.181,0,401,317,317,-0.124,0.188,434.0
2,2021,1112,0.417,0.329,-640,472,-107,366,0.071,0.274,-14,338,267,266,0.05,0.299,368.0
1,2021,836,0.193,-0.352,-478,358,-71,287,0.208,-0.408,-2,268,207,205,0.328,-0.464,289.0
4,2020,1291,0.356,-0.264,-623,668,-183,485,-0.053,0.002,0,460,383,383,-0.055,0.058,489.0
3,2020,1755,1.872,1.236,-1211,544,-60,484,0.298,0.417,0,470,362,362,0.223,0.425,485.0
2,2020,785,0.922,0.119,-368,417,-75,341,1.029,0.438,0,323,254,254,1.256,0.643,344.0
1,2020,701,-0.167,-0.264,-366,335,-98,237,0.395,-0.536,0,205,155,154,0.511,-0.618,240.0
4,2019,952,-0.397,0.558,-367,585,-73,512,-0.142,0.374,0,523,405,405,0.0,0.369,515.0
3,2019,611,0.498,0.497,-194,418,-45,373,0.877,1.215,-3,371,296,296,0.761,1.629,375.0
2,2019,408,-0.211,-0.515,-173,235,-67,168,1.438,-0.012,0,149,113,112,-0.136,0.1,170.0
1,2019,841,1.048,-0.467,-578,264,-93,170,0.362,-0.715,-8,147,102,102,-0.033,-0.748,172.0
4,2018,1580,0.838,2.871,-897,683,-86,597,1.469,2.005,-14,545,405,405,2.034,1.411,599.0
3,2018,408,-0.13,-0.212,-169,239,-41,199,0.113,1.878,-9,225,169,168,0.2,0.29,203.0
