quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-1546,-2393,3362,4433,698
3,2024,-933,-5121,-2392,2578,270
2,2024,-223,-1640,8758,2550,1057
1,2024,-397,-1540,-56,-35,1629
4,2023,-463,998,1568,-1875,684
3,2023,-386,-3775,2520,1800,1027
2,2023,-532,-2464,-5821,917,1704
1,2023,-849,-2582,5279,-342,3021
4,2022,-1096,-4837,14145,-1493,7558
3,2022,-933,-6784,4866,-1748,11010
2,2022,-1293,-6480,2588,1260,9415
1,2022,-843,-8346,198,-1808,13341
4,2021,-679,4444,8327,-2764,13709
3,2021,-808,-694,-926,2376,2223
2,2021,-644,4718,-1520,1226,2540
1,2021,-675,-2122,1214,305,1917
4,2020,-1065,-7254,9241,118,2621
3,2020,-1453,-5128,5050,1002,2351
2,2020,-206,-9871,10895,-44,5490
1,2020,-955,-11505,8145,276,4529
4,2019,103,-4153,-170,3763,6626
3,2019,-991,185,1616,752,6632
2,2019,-1246,-545,496,1772,2905
1,2019,-1044,-1499,1175,-1182,6756
4,2018,-745,-87,-1614,1331,5277
3,2018,-754,-1713,-647,1792,4844
2,2018,-464,292,137,702,6405
1,2018,-676,-2359,-1233,566,4210
4,2017,-455,5651,-4436,1438,3942
3,2017,-442,-2412,-766,1907,1653
2,2017,-688,341,-2357,1000,1289
1,2017,-526,-446,-4076,-1578,5102
4,2016,-709,-1230,701,1957,2698
3,2016,-689,-1005,3816,372,3931
2,2016,-710,1195,722,1933,1197
1,2016,-813,-18124,14632,-144,2208
4,2015,-1250,-2170,284,2883,-2182
3,2015,-1432,-1893,-1245,904,508
2,2015,-1134,-6230,9578,1455,795
1,2015,-492,1881,-1169,-1129,1341
4,2014,-1347,-3549,4445,1377,844
3,2014,-437,-2965,1024,-322,1362
2,2014,77,2086,-1278,-259,-448
1,2014,-1002,-248,-379,-463,-2196
4,2013,-822,-2834,1269,1146,-283
3,2013,-929,-496,97,207,-224
2,2013,-880,-719,781,-609,535
1,2013,-1449,-327,2306,-839,-4563
4,2012,-2259,-4485,695,2049,190
4,2012,-2259,-4485,695,2049,190
3,2012,-2019,-4041,2382,198,1487
2,2012,-845,-884,-4121,459,1145
1,2012,-1169,-1216,5237,-128,53
4,2011,-1026,-392,858,1171,2914
4,2011,-1026,-392,858,1171,2914
3,2011,-521,-1780,2473,-4,1783
2,2011,-371,-617,3041,1105,3929
1,2011,-164,-842,2080,-954,1338
4,2010,-677,-1425,1837,1845,2635
4,2010,-677,-1425,1837,1845,1608
3,2010,-164,-375,1052,-504,-134
2,2010,-55,454,-198,238,-134
1,2010,-125,-586,22,-74,-134
4,2009,-142,94,-244,216,382
