quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,22702,0.092,0.057,-15639,7063,-4510,2552,1.782,0.582,-1526,2657,1547,691,12.791,-0.014,3526.0
3,2024,21487,0.066,0.067,-15066,6421,-4808,1613,0.187,0.236,-1707,1566,1301,701,13.492,0.395,2788.0
2,2024,20134,0.082,0.068,-14217,5918,-4613,1305,0.315,0.855,-1549,1169,946,503,3.773,3.816,2245.0
1,2024,18855,0.008,-0.093,-13600,5255,-4551,703,-0.227,-0.233,-1622,634,479,104,-0.514,1.083,1747.0
4,2023,20782,0.007,0.031,-15014,5768,-4850,917,-0.336,-0.325,-1669,948,517,50,-0.888,0.036,1979.0
3,2023,20155,0.032,0.083,-14215,5940,-4580,1359,0.177,0.37,-1745,583,485,48,-0.911,-0.541,2389.0
2,2023,18609,0.043,-0.005,-13281,5327,-4335,992,-0.016,0.091,-1786,451,429,105,-0.893,-0.51,1939.0
1,2023,18706,0.028,-0.094,-13620,5086,-4176,910,-0.191,-0.341,-1747,581,439,215,-0.865,-0.519,1995.0
4,2022,20643,-0.134,0.057,-15089,5554,-4173,1381,-0.445,0.196,-1486,903,804,447,-0.931,-0.177,2515.0
3,2022,19523,-0.173,0.095,-14099,5424,-4269,1155,-0.373,0.145,-1126,909,841,543,-0.527,-0.446,2223.0
2,2022,17834,-0.16,-0.02,-12867,4967,-3958,1009,-0.206,-0.102,-1074,1261,1215,981,0.24,-0.385,2136.0
1,2022,18189,-0.089,-0.237,-13100,5089,-3965,1124,0.645,-0.548,-1161,2074,1895,1596,7.517,-0.752,2201.0
4,2021,23828,0.103,0.009,-16951,6877,-4390,2487,1.148,0.35,-1138,7997,7119,6437,23.269,4.61,3605.0
3,2021,23605,0.168,0.112,-17509,6096,-4254,1843,1.826,0.45,-1157,1863,1586,1147,0.348,0.45,2993.0
2,2021,21219,0.194,0.062,-16372,4847,-3577,1271,,0.86,-1180,1142,1053,791,3.05,3.223,2411.0
1,2021,19977,0.133,-0.075,-15663,4314,-3631,683,11.791,-0.41,-1194,487,343,187,,-0.294,1906.0
4,2020,21600,0.968,0.069,-16385,5215,-4057,1158,-0.258,0.776,-1138,973,584,265,-0.817,-0.689,3299.0
3,2020,20214,1.254,0.138,-15396,4818,-4166,652,-0.272,,-1091,1100,973,852,-0.618,3.359,984.0
2,2020,17766,0.921,0.007,-13872,3895,-4076,-182,,,-863,311,54,195,-0.808,,867.0
1,2020,17638,1.161,0.607,-13676,3962,-3908,53,-0.954,-0.966,-678,-60,-216,-78,,,1116.0
4,2019,10976,-0.05,0.224,-7596,3379,-1818,1561,0.04,0.742,-469,2021,1748,1448,0.273,-0.35,2244.0
3,2019,8968,-0.022,-0.031,-6536,2432,-1536,896,-0.354,-0.269,-492,2667,2425,2228,1.978,1.192,1583.0
2,2019,9250,0.007,0.134,-6583,2667,-1442,1226,-0.064,0.056,-451,1275,1192,1016,-0.541,0.174,1923.0
1,2019,8160,-0.014,-0.294,-5697,2463,-1303,1160,-0.142,-0.227,-454,1141,1000,865,0.06,-0.239,1841.0
4,2018,11558,0.137,0.26,-8019,3539,-2037,1501,-0.047,0.082,-539,1439,1285,1138,-0.398,0.521,2201.0
3,2018,9171,-0.028,-0.001,-6398,2774,-1386,1388,0.123,0.06,-757,1097,918,748,-0.013,-0.662,2050.0
2,2018,9184,-0.031,0.11,-6377,2808,-1498,1310,0.641,-0.031,-743,2535,2396,2215,9.157,1.714,1993.0
1,2018,8274,-0.031,-0.186,-5512,2762,-1409,1352,0.653,-0.142,-757,1172,1022,816,2.443,-0.568,2013.0
4,2017,10169,-0.227,0.078,-6776,3393,-1817,1576,-0.173,0.275,-913,2342,2141,1890,1.002,1.494,2265.0
3,2017,9433,-0.143,-0.005,-6526,2906,-1670,1236,-0.232,0.549,-735,1092,948,758,-0.068,2.474,1892.0
2,2017,9479,-0.086,0.11,-6616,2863,-2065,798,-0.505,-0.024,-895,353,255,218,-0.721,-0.08,1425.0
1,2017,8540,-0.026,-0.351,-6070,2470,-1652,818,-0.086,-0.571,-892,351,263,237,-0.064,-0.749,1457.0
4,2016,13149,0.143,0.195,-9075,4074,-2167,1906,0.077,0.184,-872,1427,1239,944,0.056,0.161,2554.0
3,2016,11007,0.263,0.061,-7725,3282,-1671,1610,0.528,-0.001,-842,1227,1054,813,2.687,0.041,2234.0
2,2016,10373,0.519,0.183,-7210,3162,-1551,1612,0.908,0.801,-709,1277,1087,781,1.173,2.083,2187.0
1,2016,8769,1.446,-0.237,-6356,2412,-1517,895,1.073,-0.494,-688,515,393,253,57.186,-0.717,1428.0
4,2015,11500,1.188,0.32,-7811,3688,-1919,1770,0.508,0.68,-726,1635,1361,894,-0.355,3.053,2291.0
3,2015,8715,1.182,0.276,-6119,2596,-1542,1054,0.441,0.247,0,683,493,221,6.87,-0.386,1564.0
2,2015,6829,0.656,0.905,-4488,2341,-1497,845,0.492,0.957,-971,752,615,359,,81.561,1289.0
1,2015,3584,0.32,-0.318,-2401,1183,-751,432,1.001,-0.632,-400,158,57,4,,-0.997,779.0
4,2014,5256,0.184,0.316,-2915,2341,-1167,1173,0.17,0.605,0,2158,1848,1385,6.757,48.439,1193.0
3,2014,3994,0.235,-0.032,-2363,1631,-900,731,0.247,0.291,0,346,233,28,-0.756,,1125.0
2,2014,4124,0.507,0.519,-2579,1545,-979,566,0.112,1.625,-484,98,-67,-227,,,990.0
1,2014,2715,0.77,-0.388,-1632,1083,-867,216,,-0.785,-256,138,23,-107,,,500.0
4,2013,4437,0.214,0.372,-2450,1987,-984,1003,0.122,0.711,0,941,687,179,0.31,0.558,1150.0
3,2013,3235,0.21,0.182,-1841,1394,-808,586,0.151,0.151,0,493,309,115,-0.638,-0.156,745.0
2,2013,2736,0.084,0.784,-1625,1111,-602,509,-0.06,,-51,464,266,136,-0.728,218.48,618.0
1,2013,1534,-0.002,-0.58,-1027,507,-522,-15,,,-65,117,35,1,-0.998,-0.995,90.0
4,2012,3654,0.3,0.367,-2124,1530,-636,894,0.284,0.754,-52,599,413,136,-0.848,-0.57,993.0
3,2012,2673,0.899,0.059,-1589,1085,-575,510,0.644,-0.059,-66,620,481,317,-0.249,-0.365,579.0
2,2012,2524,0.669,0.642,-1486,1038,-496,542,0.771,1.442,-48,770,674,499,0.584,0.427,638.0
