quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-63,-7218,3034,128,3108
3,2024,-193,2873,181,921,3822
2,2024,-25,-1745,-675,2626,1923
1,2024,-23,-4853,217,4842,-1633
4,2023,84,-253,2100,1167,1161
3,2023,-170,99,-42,-1147,3331
2,2023,-128,-3698,5017,-659,3279
1,2023,-310,-6978,624,4074,-696
4,2022,-1619,-1698,-6238,5932,2359
3,2022,-885,2663,478,1027,5838
2,2022,-1245,-1832,-2875,4347,2218
1,2022,-662,2469,29,-3382,10641
4,2021,-1301,-2588,6580,-2262,9840
3,2021,-1322,225,-3271,1642,3707
2,2021,-1452,-2683,2597,2500,2947
1,2021,-890,-5256,1971,-1859,7581
4,2020,-1243,1399,3065,293,-2949
3,2020,-1008,-2862,1289,1997,2703
2,2020,-992,-5875,95,4673,-46
1,2020,-668,-1236,-2435,3829,1771
4,2019,-1309,7,4203,-4730,8680
3,2019,-872,1111,-175,-532,4881
2,2019,-529,-2841,-242,3537,1069
1,2019,-357,-4095,2745,440,4062
4,2018,-449,196,-1506,-10,4574
3,2018,-278,-264,595,1834,1924
2,2018,-224,-928,-658,2145,1618
1,2018,-532,-1336,1990,-1721,5229
4,2017,-840,-903,2927,-1544,1076
4,2017,-840,-903,2927,-1544,3858
3,2017,-416,-409,-18,1840,671
2,2017,-517,-517,-1561,2771,-636
1,2017,-314,-314,519,-376,2657
4,2016,-457,-457,1995,-1115,3219
3,2016,-407,-406,1003,-619,2385
2,2016,-235,-234,-428,829,980
1,2016,-161,-161,-54,300,1303
4,2015,-184,-184,1169,-1110,2743
3,2015,-152,-224,214,83,1129
2,2015,-143,-143,-114,418,564
1,2015,-107,-107,161,-33,975
4,2014,-174,-171,204,-239,1227
3,2014,-33,-31,172,-26,374
2,2014,-54,-103,-297,529,374
1,2014,-5,-3,37,-165,295
