quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,34574,0.1,0.013,-27987,6587,-6039,548,0.967,-0.491,-323,1035,852,847,8.384,0.059,1354
3,2024,34147,0.127,0.0,-27255,6892,-5817,1075,46.519,-0.252,-304,1068,806,800,19.655,-0.317,1785
2,2024,34134,0.158,0.084,-26826,7308,-5870,1438,1637.303,0.406,-243,1516,1172,1172,66.35,0.299,2116
1,2024,31486,0.162,0.002,-24774,6713,-5690,1023,8.73,2.674,-267,1206,903,902,41.434,8.998,1742
4,2023,31421,0.027,0.037,-25235,6186,-5908,278,-0.731,11.303,-329,219,90,90,-0.854,1.33,980
3,2023,30288,-0.054,0.028,-24609,5678,-5656,23,-0.987,24.783,-438,182,39,39,-0.957,1.226,1029
2,2023,29465,-0.142,0.087,-24024,5441,-5440,1,-1.0,-0.992,-385,130,17,17,-0.985,-0.182,797
1,2023,27106,-0.257,-0.114,-21891,5214,-5109,105,-0.943,-0.898,-296,159,21,21,-0.985,-0.966,981
4,2022,30588,-0.154,-0.044,-22659,7930,-6896,1034,-0.443,-0.403,-361,933,619,619,-0.604,-0.317,2031
3,2022,32012,0.316,-0.068,-24620,7392,-5659,1733,1.056,-0.145,-435,1418,907,906,0.154,-0.198,2599
2,2022,34338,0.085,-0.058,-27001,7336,-5308,2028,0.354,0.097,-366,1702,1131,1130,-0.068,-0.218,2890
1,2022,36467,0.183,0.009,-28342,8124,-6275,1849,0.093,-0.004,-200,2003,1445,1444,0.08,-0.076,2707
4,2021,36138,0.329,0.485,-28763,7375,-5519,1856,0.507,1.201,-187,2050,1563,1562,0.659,0.989,2653
3,2021,24333,-0.054,-0.231,-18245,6089,-5246,843,-0.271,-0.437,-164,968,786,785,-0.174,-0.353,1591
2,2021,31658,0.204,0.027,-24515,7144,-5646,1498,0.217,-0.115,-170,1626,1214,1213,0.357,-0.093,2217
1,2021,30828,0.05,0.134,-23803,7025,-5333,1691,0.059,0.373,-153,1828,1339,1338,0.182,0.421,2347
4,2020,27194,0.07,0.058,-20919,6275,-5043,1232,0.07,0.066,-144,1334,942,942,0.096,-0.009,1841
3,2020,25714,0.023,-0.022,-19964,5750,-4594,1156,0.045,-0.061,-132,1278,951,951,0.112,0.063,1758
2,2020,26286,-0.012,-0.105,-20515,5770,-4539,1231,-0.099,-0.229,-137,1254,894,894,-0.172,-0.21,1745
1,2020,29353,0.173,0.155,-23193,6160,-4563,1597,0.179,0.388,-178,1544,1132,1132,0.088,0.316,2068
4,2019,25411,0.208,0.011,-20046,5365,-4214,1151,0.253,0.041,-156,1180,860,860,0.242,0.005,1586
3,2019,25142,0.203,-0.055,-20202,4941,-3835,1106,0.263,-0.19,-145,1137,856,855,0.321,-0.208,1475
2,2019,26604,0.22,0.063,-21855,4748,-3383,1366,0.366,0.008,-134,1396,1080,1079,0.474,0.037,1693
1,2019,25017,0.099,0.189,-20584,4434,-3079,1355,0.257,0.475,-133,1341,1041,1040,0.289,0.503,1666
4,2018,21038,0.124,0.006,-17285,3753,-2835,918,0.319,0.049,-111,919,693,692,0.21,0.069,1255
3,2018,20908,0.276,-0.041,-17205,3703,-2827,875,0.234,-0.124,-107,856,648,647,0.146,-0.116,1198
2,2018,21807,0.393,-0.042,-17945,3862,-2862,1000,0.536,-0.072,-105,968,732,732,0.432,-0.093,1288
1,2018,22764,0.461,0.216,-18789,3975,-2897,1077,0.493,0.548,-113,1043,807,807,0.447,0.412,1353
4,2017,18719,0.353,0.143,-15674,3044,-2348,696,0.629,-0.019,-61,734,572,572,0.608,0.013,905
3,2017,16381,0.472,0.046,-13557,2824,-2114,709,0.365,0.09,-46,719,565,565,0.458,0.105,889
2,2017,15654,0.562,0.004,-13032,2622,-1971,651,0.241,-0.098,-56,650,511,511,0.227,-0.084,809
1,2017,15586,0.619,0.126,-12934,2652,-1930,722,0.387,0.689,-65,706,558,558,0.335,0.569,865
4,2016,13837,0.786,0.244,-11641,2196,-1769,427,0.044,-0.178,-39,457,356,356,0.072,-0.082,538
3,2016,11126,0.674,0.11,-9292,1834,-1315,520,0.515,-0.009,-25,499,388,387,0.348,-0.07,626
2,2016,10023,0.869,0.041,-8428,1595,-1070,524,0.897,0.008,-26,525,417,417,0.884,-0.003,607
1,2016,9627,0.751,0.243,-8038,1589,-1069,520,0.773,0.272,-30,525,418,418,0.804,0.259,590
4,2015,7746,0.602,0.165,-6462,1285,-875,409,0.897,0.192,-12,428,332,332,0.799,0.155,470
3,2015,6647,0.685,0.239,-5623,1024,-681,343,0.664,0.241,-6,371,288,287,0.64,0.299,395
2,2015,5363,0.538,-0.024,-4550,813,-537,276,0.58,-0.058,-9,287,223,221,0.556,-0.045,322
1,2015,5496,0.576,0.136,-4695,801,-508,293,0.4,0.36,-12,300,233,232,0.393,0.255,332
4,2014,4837,,0.226,-4146,691,-475,216,,0.046,-5,241,186,184,,0.053,250
3,2014,3945,,0.131,-3311,634,-428,206,,0.179,-5,227,176,175,,0.232,237
2,2014,3487,,0.0,-2960,527,-352,175,,-0.165,-6,185,143,142,,-0.145,203
1,2014,3488,,,-2943,545,-335,210,,,-5,215,169,166,,,232
