quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
4,2024,23.7,3.2,14.7,0.146,0.057,61,75,29,1.7,2546,18992,0.395,0.7,1.6,1.0,0.255,4783,0.191,0.016,0.024,1.0,0.4,3.7,,2.5,23677,0.203,0.065,107,6.0,-0.06,2.1,0.8,0.016,1.9,1.5,0.056,0.031
3,2024,33.6,3.7,15.5,0.118,0.047,67,78,34,3.5,2028,18416,0.402,0.7,1.8,1.2,0.346,4528,0.202,0.031,0.023,0.9,0.4,3.5,2.9,2.5,27604,0.358,0.111,111,5.5,-0.027,2.1,0.7,0.031,1.0,1.5,0.129,0.03
2,2024,41.4,3.5,19.6,0.089,0.035,66,78,35,5.9,1507,17873,0.397,0.7,1.8,1.2,1.101,4012,0.214,0.042,0.034,0.9,0.3,3.9,2.8,2.5,26428,0.218,0.059,109,5.5,-0.02,2.0,0.8,0.042,1.1,1.5,0.291,0.033
1,2024,70.6,2.9,24.4,0.043,0.018,66,77,31,3.8,717,17298,0.398,0.7,1.8,1.1,5.255,3108,0.213,0.032,0.029,0.9,0.4,4.5,2.9,2.5,24838,0.214,0.06,111,5.6,-0.032,2.1,0.7,0.032,1.2,1.4,0.201,0.083
4,2023,370.1,2.7,26.6,0.007,0.003,61,91,33,0.8,114,15974,0.388,0.6,1.7,1.0,-0.759,2588,0.197,0.009,0.003,1.1,0.4,5.5,3.2,2.6,21185,0.23,0.067,119,5.9,-0.065,2.0,0.4,0.009,0.8,1.6,-0.217,0.004
3,2023,109.5,3.3,18.0,0.03,0.012,60,101,40,0.1,476,15913,0.397,0.7,1.7,0.9,-0.555,3305,0.187,0.001,0.001,1.0,0.4,4.7,2.9,2.5,20350,0.101,0.035,121,6.1,-0.265,2.0,0.2,0.001,8.0,1.5,-0.245,0.002
2,2023,39.8,2.7,12.2,0.069,0.026,47,99,39,0.0,1070,15887,0.391,0.6,1.6,0.9,-0.416,4378,0.185,0.0,0.001,1.0,0.4,3.5,2.8,2.6,19623,0.148,0.058,107,7.7,-0.332,2.0,0.1,0.0,147.9,1.6,-0.439,-0.03
1,2023,20.7,2.3,11.1,0.117,0.046,44,102,39,0.4,1831,16379,0.444,0.8,1.8,0.9,-0.347,7810,0.192,0.004,0.001,0.7,0.3,2.5,1.9,2.3,19295,0.116,0.035,107,8.2,-0.435,2.1,0.1,0.004,1.5,1.3,-0.169,0.001
4,2022,15.0,2.6,7.2,0.185,0.069,42,98,39,2.9,2805,16365,0.428,0.8,1.7,0.7,-0.187,9395,0.259,0.034,0.02,0.7,0.3,2.0,1.8,2.3,18631,0.211,0.088,101,8.7,-0.456,2.2,0.7,0.034,0.9,1.3,-0.057,0.027
3,2022,18.2,3.9,7.7,0.24,0.091,34,84,27,4.0,3450,15941,0.38,0.6,1.6,0.7,0.025,9968,0.231,0.054,0.028,1.0,0.4,1.9,2.8,2.6,18121,0.303,0.105,91,10.8,-0.453,2.5,0.6,0.054,0.8,1.6,-0.018,0.041
