quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,6369,2.893,16.186,-3655,2714,-901,1813,4.37,,-51,1733,1333,502,0.734,,1825.0
3,2024,371,0.038,0.469,-242,128,-164,-36,,,-60,-39,-40,-52,,,-23.0
2,2024,252,-0.735,0.233,-124,129,-184,-55,,,-70,177,160,145,0.198,,-43.0
1,2024,205,-0.13,-0.875,-118,87,-145,-58,,,-48,-47,-65,-77,,,-45.0
4,2023,1636,0.004,3.583,-944,692,-354,338,-0.213,,-45,611,482,290,-0.337,3.371,351.0
3,2023,357,-0.595,-0.626,-207,150,-197,-48,,,-66,3,71,66,7.387,-0.451,-34.0
2,2023,953,-0.232,3.055,-393,561,-250,311,0.226,,-75,320,231,121,0.092,16.741,322.0
1,2023,235,-0.6,-0.856,-75,160,-178,-19,,,-77,34,16,7,9.802,-0.984,-7.0
4,2022,1629,-0.631,0.848,-815,814,-385,429,-0.545,3.728,-28,705,590,437,0.209,54.281,443.0
3,2022,882,4.841,-0.289,-524,358,-267,91,,-0.642,-39,79,51,8,-0.973,-0.929,99.0
2,2022,1241,2.096,1.112,-679,561,-308,253,,3.492,-47,242,192,111,1.354,174.537,261.0
1,2022,587,1.492,-0.867,-337,250,-194,56,,-0.94,-34,44,33,1,-0.998,-0.998,62.0
4,2021,4418,3.81,28.27,-2873,1545,-603,943,10.871,,-43,950,769,361,-0.423,0.216,951.0
3,2021,151,-0.764,-0.623,-75,76,-137,-60,,,-19,294,295,297,9.155,5.322,-54.0
2,2021,401,0.657,0.7,-285,116,-120,-3,,,-20,48,48,47,-0.312,-0.871,5.0
1,2021,236,-0.434,-0.743,-196,40,-138,-98,,,-21,348,366,365,2.308,-0.417,-91.0
4,2020,918,-0.248,0.435,-668,250,-171,79,-0.768,1.22,-43,750,633,627,0.144,20.421,85.0
3,2020,640,0.644,1.646,-515,125,-89,36,-0.752,-0.104,-2,44,32,29,-0.8,-0.572,42.0
2,2020,242,-0.599,-0.419,-104,138,-99,40,-0.728,-0.509,-6,80,68,68,-0.433,-0.381,46.0
1,2020,416,0.253,-0.659,-259,157,-76,81,8.61,-0.763,-3,140,117,110,-0.24,-0.798,86.0
4,2019,1221,0.501,2.136,-740,482,-140,342,1.441,1.373,-1,721,560,548,3.356,2.74,344.0
3,2019,389,-0.707,-0.354,-150,240,-95,144,-0.731,-0.018,-7,178,163,146,-0.651,0.216,150.0
2,2019,603,-0.308,0.815,-354,249,-103,147,-0.429,16.367,-21,172,133,121,-0.343,-0.17,151.0
1,2019,332,-0.384,-0.592,-237,96,-87,8,-0.888,-0.94,-14,155,151,145,3.58,0.155,12.0
4,2018,814,-0.466,-0.388,-495,318,-178,140,-0.579,-0.739,-6,174,136,126,-0.313,-0.701,143.0
3,2018,1330,2.547,0.527,-692,638,-101,537,6.963,1.088,-10,565,450,420,9.017,1.291,540.0
2,2018,871,-0.134,0.615,-508,363,-106,257,-0.444,2.395,-4,293,236,183,-0.365,4.782,261.0
1,2018,539,1.108,-0.646,-358,181,-105,76,3.198,-0.773,-4,93,63,32,0.503,-0.827,79.0
4,2017,1525,0.768,3.065,-985,540,-207,333,0.374,3.941,-6,358,291,183,0.002,3.366,336.0
3,2017,375,-0.379,-0.627,-235,140,-72,67,0.054,-0.854,-5,93,72,42,0.193,-0.855,71.0
2,2017,1006,0.451,2.931,-471,535,-72,463,2.964,24.651,-12,469,370,289,2.366,12.688,466.0
1,2017,256,-0.317,-0.703,-175,81,-63,18,-0.683,-0.926,-4,30,23,21,-0.492,-0.884,21.0
4,2016,862,0.416,0.428,-492,371,-128,242,1.971,2.788,-8,247,199,183,0.395,4.199,241.0
3,2016,604,1.553,-0.129,-461,143,-79,64,1.885,-0.452,-7,61,51,35,1.413,-0.59,68.0
2,2016,693,1.906,0.849,-486,207,-91,117,2.671,1.053,-3,120,95,86,2.284,1.064,121.0
1,2016,375,1.147,-0.385,-257,118,-61,57,5.223,-0.303,-3,56,42,42,0.203,-0.682,61.0
4,2015,609,0.218,1.576,-409,200,-118,82,-0.192,2.678,0,184,132,131,0.17,7.992,85.0
3,2015,236,0.753,-0.008,-157,80,-57,22,0.77,-0.303,-4,19,15,15,61.781,-0.443,26.0
2,2015,238,0.293,0.367,-158,80,-49,32,1.488,2.481,-2,37,27,26,4.395,-0.244,35.0
1,2015,175,2.673,-0.651,-117,58,-49,9,,-0.91,-4,36,35,35,,-0.691,13.0
4,2014,500,0.24,2.709,-308,192,-91,101,1.048,7.06,0,145,112,112,1.057,481.577,105.0
3,2014,135,-0.458,-0.269,-86,49,-36,13,-0.743,-0.02,-5,9,5,0,-0.991,-0.952,15.0
2,2014,184,1.187,2.881,-132,53,-40,13,,,-3,11,9,5,,,15.0
1,2014,48,1.339,-0.882,-37,10,-31,-20,,,-9,-25,-23,-22,,,-18.0
4,2013,403,0.44,0.621,-319,84,-35,49,-0.421,0.01,0,73,56,54,-0.392,1.109,52.0
3,2013,249,1.156,1.949,-168,81,-32,49,0.158,,-10,35,33,26,-0.651,,52.0
2,2013,84,-0.018,3.152,-58,27,-43,-16,,,-11,-25,-27,-28,,,-13.0
1,2013,20,-0.305,-0.927,-13,7,-32,-26,,,-11,-36,-36,-34,,,-23.0
4,2012,280,,1.428,-145,135,-50,85,,1.021,0,118,94,89,,0.212,
3,2012,115,,0.343,-52,63,-21,42,,,30,93,77,74,,,45.0
2,2012,86,,1.94,-64,22,-25,-3,,,152,-30,-29,-28,,,
1,2012,29,,,-21,8,-30,-22,,,-201,-38,-39,-39,,,
