quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
4,2024,25.5,1.4,13.0,0.054,0.018,830,1558,84,35.3,1344,25125,0.319,0.9,2.7,0.9,0.696,4454,0.426,0.285,0.079,0.5,0.2,3.8,0.7,3.1,17323,0.374,0.412,2305,0.4,-0.215,0.2,0.3,0.285,1.0,1.1,6.139,0.055
3,2024,52.4,1.7,93.0,0.033,0.011,2229,4741,85,-0.6,792,23820,0.308,0.8,2.3,0.6,-0.28,624,0.346,,,0.5,0.2,25.5,0.8,3.3,15387,0.116,0.116,6885,0.2,-0.197,0.1,,,1.1,1.3,0.046,-0.006
2,2024,37.6,1.7,102.6,0.046,0.015,2228,4626,90,-0.8,1101,23956,0.31,0.8,2.2,0.6,0.06,596,0.51,,0.574,0.5,0.2,25.3,1.2,3.2,14722,0.156,0.139,6763,0.2,-0.2,0.1,0.8,,-3.2,1.2,-0.614,-0.009
1,2024,41.3,1.8,39.7,0.044,0.014,1749,3696,75,-1.2,1038,24167,0.323,0.9,2.5,0.7,-0.173,1546,0.423,,,0.5,0.2,9.9,0.6,3.1,15236,0.185,0.157,5371,0.2,-0.149,0.1,,,0.8,1.2,-0.061,-0.008
4,2023,28.8,1.5,34.2,0.053,0.017,1724,3626,95,7.5,1256,24367,0.328,0.9,2.6,0.8,-0.233,1646,0.423,0.206,0.177,0.5,0.2,8.9,0.6,3.0,15422,0.188,0.174,5256,0.2,-0.18,0.1,0.5,0.206,1.8,1.1,-0.129,0.033
3,2023,21.1,1.5,30.7,0.071,0.024,1720,4031,133,-0.7,1638,23596,0.328,0.9,2.5,0.8,0.102,1890,0.42,,0.186,0.4,0.2,7.1,0.7,3.0,14706,0.204,0.176,5617,0.2,-0.863,0.1,21.1,,-0.1,1.1,-0.154,0.007
2,2023,21.9,1.4,22.2,0.065,0.022,1497,3251,149,4.2,1486,23424,0.336,1.0,2.8,0.9,0.018,2235,0.588,0.326,0.127,0.4,0.2,5.5,0.4,3.0,15181,0.176,0.191,4599,0.2,-0.823,0.1,0.4,0.326,1.0,1.0,0.076,0.009
1,2023,18.0,1.1,26.0,0.063,0.022,1363,2746,135,-0.2,1460,23226,0.328,0.9,2.7,0.9,0.011,2077,0.679,,0.029,0.4,0.2,5.5,0.5,3.0,14966,0.262,0.238,3974,0.3,-0.786,0.2,0.2,,-1.8,1.1,-0.079,-0.005
4,2022,21.1,1.3,19.1,0.062,0.022,1262,2350,169,15.4,1444,23346,0.332,1.0,2.7,1.0,0.158,2256,0.5,0.263,0.268,0.4,0.2,5.1,0.5,3.0,14638,0.283,0.326,3442,0.3,-0.964,0.2,0.6,0.263,1.6,1.0,-0.402,0.038
3,2022,23.6,1.3,11.4,0.055,0.019,783,1396,59,2.3,1248,22480,0.339,1.0,2.9,0.9,-0.376,3772,0.406,0.103,0.009,0.4,0.2,3.1,0.6,2.9,15205,0.302,0.366,2120,0.5,-0.472,0.3,0.1,0.103,0.9,1.0,0.032,0.001
2,2022,17.4,1.5,12.2,0.102,0.034,721,1371,70,5.4,1999,22460,0.348,1.1,3.0,0.9,0.09,3653,0.452,0.204,0.089,0.3,0.2,3.0,0.6,2.9,15156,0.291,0.369,2022,0.5,-0.571,0.3,0.5,0.204,1.0,0.9,0.266,-0.018
1,2022,29.5,2.4,19.6,0.092,0.033,833,1503,30,1.7,1833,22865,0.376,1.2,3.2,0.8,-0.341,2886,0.426,0.096,0.001,0.2,0.1,3.0,0.4,2.7,14805,0.223,0.2,2306,0.4,-0.586,0.3,0.0,0.096,0.8,0.8,0.188,-0.015
4,2021,22.4,2.7,30.8,0.147,0.058,711,1146,13,21.9,2782,23206,0.376,1.3,3.5,1.0,-0.199,2429,0.35,0.213,0.082,0.3,0.2,3.7,0.6,2.7,15354,0.229,0.176,1843,0.5,-0.241,0.3,0.4,0.213,1.0,0.7,-14.487,0.018
3,2021,10.7,1.6,-506.8,0.193,0.074,2171,3441,7,-3.2,3472,22789,0.364,1.2,3.3,0.7,0.251,-180,0.506,,1.969,0.3,0.2,-51.3,0.5,2.8,15394,0.069,0.044,5605,0.2,-0.477,0.1,1.0,,-4.9,0.9,-2.198,0.354
2,2021,12.4,2.0,575.1,0.185,0.067,1221,2047,34,-0.2,2776,16831,0.324,0.9,2.4,0.5,-0.02,150,0.29,,0.117,0.3,0.1,53.3,0.9,3.1,10120,0.118,0.061,3235,0.3,-0.52,0.1,1.0,,-14.0,1.1,-0.499,-0.02
1,2021,10.8,1.8,190.1,0.185,0.071,1378,2202,7,-4.7,2832,17181,0.335,1.0,2.6,0.5,0.303,300,0.17,,1.549,0.3,0.1,21.7,0.7,3.0,10547,0.137,0.122,3573,0.3,-0.567,0.1,1.0,,-3.6,1.0,-0.684,0.178
4,2020,11.9,1.8,45.0,0.157,0.069,807,1208,28,1.8,2173,14588,0.416,1.0,2.1,0.7,0.104,951,0.273,0.086,0.682,0.4,0.2,6.4,0.6,2.4,4914,0.163,0.111,1987,0.5,-0.586,0.2,0.8,0.086,9.4,1.0,-0.523,0.102
3,2020,11.3,1.7,20.8,0.156,0.068,713,1140,22,14.4,1968,13242,0.431,1.1,2.4,0.9,-0.134,1993,0.195,0.056,0.046,0.3,0.1,2.4,0.3,2.3,4898,0.158,0.109,1831,0.5,-2.91,0.2,0.7,0.056,1.2,0.9,-0.206,0.005
2,2020,8.5,1.5,14.0,0.184,0.079,763,1376,36,6.6,2273,13173,0.428,1.1,2.2,0.9,-0.056,2511,0.572,0.165,0.283,0.3,0.1,2.0,0.4,2.3,4572,0.224,0.186,2102,0.5,-4.422,0.2,0.8,0.165,2.0,0.9,-0.144,-0.02
1,2020,6.4,1.1,9.4,0.187,0.087,678,1124,69,26.3,2409,13447,0.473,1.4,2.6,1.2,-0.039,2933,0.377,0.195,0.265,0.1,0.1,1.2,0.1,2.1,4826,0.226,0.226,1733,0.5,-4.388,0.2,0.8,0.195,1.7,0.7,0.113,0.019
4,2019,9.5,1.8,9.0,0.199,0.094,53,915,33,296.6,2507,13198,0.469,1.4,2.7,1.2,0.784,2635,0.394,0.28,0.449,0.1,0.1,1.4,0.1,2.1,4882,0.306,0.353,935,6.9,-4.888,0.3,1.3,0.28,2.1,0.7,0.36,0.093
3,2019,16.9,2.0,16.3,0.124,0.055,53,1159,22,21.4,1404,12070,0.448,1.3,2.9,1.1,-0.337,1938,0.615,0.37,0.376,0.2,0.1,2.7,0.2,2.2,4953,0.265,0.222,1190,6.9,-1.914,0.2,1.2,0.37,1.2,0.8,-0.486,0.038
2,2019,10.9,2.0,8.8,0.202,0.087,38,841,19,6.9,2119,11627,0.432,1.2,2.8,1.1,-0.072,3770,0.414,0.243,0.2,0.2,0.1,1.4,0.2,2.3,4908,0.323,0.253,860,9.5,-0.214,0.3,1.4,0.243,1.2,0.8,-0.218,-0.062
1,2019,9.4,1.7,7.3,0.227,0.098,30,817,24,0.6,2283,12393,0.464,1.3,2.8,1.0,0.036,4824,0.288,0.025,0.437,0.1,0.1,0.9,0.3,2.2,4943,0.276,0.236,822,12.4,-0.272,0.4,1.1,0.025,18.4,0.8,-0.066,-0.069
4,2018,9.2,1.5,5.6,0.202,0.087,25,630,74,21.8,2203,13316,0.48,1.2,2.7,1.5,-0.07,5163,0.391,0.172,0.155,0.2,0.1,0.9,0.2,2.1,4623,0.395,0.307,582,14.3,-0.282,0.4,1.4,0.172,1.2,0.8,-0.217,0.139
3,2018,10.7,2.2,3.5,0.24,0.096,19,494,31,54.8,2369,11688,0.432,1.0,2.9,1.6,0.859,6595,0.48,0.403,0.316,0.3,0.2,1.0,0.2,2.3,4733,0.596,0.468,482,19.2,-0.142,0.5,1.3,0.403,1.1,1.0,0.554,0.12
2,2018,17.1,2.1,10.3,0.139,0.055,59,642,21,61.9,1274,10432,0.433,1.1,3.2,1.6,-0.193,4243,0.417,0.295,0.211,0.3,0.2,1.7,0.1,2.3,4928,0.584,0.395,679,6.2,-0.14,0.4,1.6,0.295,1.1,0.9,-0.333,0.22
1,2018,16.2,3.0,5.3,0.201,0.079,26,675,28,19.6,1580,8548,0.391,0.9,2.3,1.0,0.02,6364,0.336,0.14,0.059,0.3,0.1,1.1,0.3,2.6,3641,0.495,0.28,673,14.0,-0.081,0.5,2.9,0.14,1.2,1.1,0.064,0.011
