quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,1844,26.088,700.726,-1147,697,-123,574,,,-72,448,369,369,0.306,6.205,578.0
3,2024,3,-0.993,-0.682,-1,1,-48,-47,,,-74,79,51,51,-0.496,0.03,-43.0
2,2024,8,2.371,-0.949,-7,2,-46,-45,,,-73,87,50,50,-0.82,-0.054,-40.0
1,2024,162,-0.156,1.383,-1,161,-47,115,-0.087,,-66,76,53,53,1.186,-0.814,118.0
4,2023,68,3.652,-0.808,-9,59,-75,-16,,,-79,352,283,283,,1.779,-13.0
3,2023,355,30.923,143.881,-44,311,-48,263,,,-86,141,102,102,-0.858,-0.631,266.0
2,2023,2,-0.997,-0.987,-1,2,-45,-43,,,-93,366,276,276,-0.332,10.461,-40.0
1,2023,192,-0.693,12.138,-20,172,-46,126,-0.727,,-88,31,22,24,-0.915,,129.0
4,2022,15,-0.988,0.317,-29,-14,-77,-91,,,-140,-297,-229,-267,,,-88.0
3,2022,11,-0.991,-0.987,-5,6,-74,-68,,,-132,921,711,718,0.181,0.74,-64.0
2,2022,853,0.587,0.364,-95,758,-89,670,0.876,0.453,-131,516,409,413,0.64,0.463,673.0
1,2022,625,0.067,-0.491,-99,526,-65,461,0.364,-0.555,-101,354,279,282,0.12,-0.626,464.0
4,2021,1229,-0.13,-0.031,-112,1117,-82,1035,0.6,0.301,-71,947,751,754,0.503,0.24,1038.0
3,2021,1268,-0.037,1.357,-412,856,-61,795,0.395,1.229,-38,760,607,608,0.384,1.417,798.0
2,2021,538,-0.027,-0.083,-132,406,-49,357,1.255,0.057,-28,322,251,252,1.08,-0.001,359.0
1,2021,586,-0.069,-0.585,-201,385,-47,338,0.706,-0.478,-20,315,251,252,0.593,-0.498,340.0
4,2020,1412,0.363,0.073,-692,720,-73,647,0.088,0.134,-13,636,501,502,0.066,0.142,649.0
3,2020,1316,2.325,1.382,-678,638,-68,570,1.855,2.602,-10,553,439,439,1.735,2.632,572.0
2,2020,552,1.097,-0.122,-339,213,-55,158,0.38,-0.201,0,152,121,121,0.37,-0.235,164.0
1,2020,629,-0.631,-0.393,-380,249,-51,198,0.03,-0.667,0,198,158,158,0.032,-0.664,195.0
4,2019,1036,-0.39,1.618,-359,677,-83,594,0.632,1.977,0,593,471,471,0.577,1.931,598.0
3,2019,396,80.678,0.503,-145,251,-52,200,,0.742,0,201,161,161,0.531,0.819,201.0
2,2019,263,3.27,-0.846,-103,161,-46,115,3.085,-0.404,0,117,88,88,0.001,-0.424,116.0
1,2019,1705,3.466,0.003,-1476,229,-36,192,0.017,-0.472,0,191,153,153,0.004,-0.487,193.0
4,2018,1699,6.297,349.709,-1300,400,-36,364,4.656,,0,370,298,298,0.434,1.846,364.0
3,2018,5,-0.99,-0.921,-2,2,-23,-21,,,0,105,105,105,-0.083,0.189,-20.0
2,2018,62,-0.839,-0.838,-12,49,-21,28,-0.726,-0.852,0,94,88,88,0.089,-0.422,29.0
1,2018,382,0.865,0.639,-152,230,-41,189,2.477,1.935,0,191,153,153,2.408,-0.267,190.0
4,2017,233,-0.817,-0.539,-128,105,-41,64,-0.745,-0.541,0,258,208,208,0.196,0.82,64.0
3,2017,505,161.658,0.316,-317,188,-47,140,,0.372,0,144,114,114,9.845,0.412,141.0
2,2017,384,2.103,0.875,-238,146,-44,102,1.512,0.883,0,102,81,81,1.499,0.808,103.0
1,2017,205,1.067,-0.839,-124,81,-26,54,0.699,-0.785,-1,56,45,45,0.775,-0.743,55.0
4,2016,1271,23.802,408.215,-966,305,-52,253,140.297,,0,219,174,174,1.198,15.508,253.0
3,2016,3,-0.974,-0.975,-1,2,-20,-18,,,0,13,11,11,-0.549,-0.675,-18.0
2,2016,124,-0.048,0.249,-71,52,-12,41,0.03,0.274,-1,41,32,32,0.057,0.284,41.0
1,2016,99,-0.046,0.933,-55,44,-12,32,0.013,16.894,0,32,25,25,0.018,-0.681,32.0
4,2015,51,-0.84,-0.564,-38,13,-11,2,-0.959,-0.941,0,102,79,79,1.359,2.384,2.0
3,2015,118,1.254,-0.095,-74,43,-13,30,2.052,-0.237,0,30,23,23,2.011,-0.237,30.0
2,2015,130,4.521,0.252,-78,52,-12,40,113.56,0.253,0,39,31,31,86.391,0.237,40.0
1,2015,104,4.368,-0.676,-65,38,-7,32,449.523,-0.272,0,32,25,25,104.171,-0.262,32.0
4,2014,320,23.889,5.141,-270,50,-7,43,,3.388,0,43,34,34,21.917,3.32,44.0
3,2014,52,3.643,1.216,-36,16,-6,10,10.562,27.634,0,10,8,8,10.291,21.154,10.0
2,2014,24,1.716,0.217,-17,7,-6,0,-0.567,3.929,0,0,0,0,-0.383,0.489,1.0
1,2014,19,1.821,0.502,-14,6,-6,0,,,0,0,0,0,0.328,-0.839,0.0
4,2013,13,-0.646,0.146,-5,8,-8,0,,,0,2,1,1,-0.607,1.128,0.0
3,2013,11,-0.669,0.296,-4,7,-6,1,-0.569,0.073,0,1,1,1,0.155,0.21,1.0
2,2013,9,-0.488,0.265,-2,7,-6,1,-0.468,,0,1,1,1,0.406,2.207,1.0
1,2013,7,-0.603,-0.812,-1,5,-7,-2,,,0,0,0,0,-0.438,-0.952,-1.0
4,2012,36,3.746,0.071,-25,12,-10,2,,0.009,0,5,4,4,-0.442,5.252,2.0
3,2012,34,32.14,1.007,-23,11,-9,2,,0.324,-1,1,1,1,,0.473,2.0
2,2012,17,-0.854,-0.02,-7,10,-9,1,-0.942,0.06,-1,0,0,0,-0.982,0.283,2.0
1,2012,17,5.657,1.253,-7,10,-9,1,,,-1,0,0,0,,-0.953,2.0
4,2011,8,-0.984,6.48,-14,-6,-12,-18,,,-1,8,7,7,-0.959,,-17.0
3,2011,1,-0.992,-0.991,0,1,-9,-8,,,-2,-9,-7,-7,,,-7.0
2,2011,116,-0.855,43.724,-78,38,-12,26,-0.815,,-1,25,22,22,-0.804,,27.0
1,2011,3,-0.984,-0.995,-1,1,-14,-13,,,-1,-14,-14,-14,,,-12.0
4,2010,485,,2.907,-223,261,-42,220,,21.947,0,218,163,163,,26.315,
3,2010,124,272.612,-0.845,-101,23,-13,10,,-0.932,0,8,6,6,,-0.947,13.0
2,2010,801,,3.875,-651,149,-9,140,,0.883,0,150,112,112,,1.412,142.0
1,2010,164,,,-81,83,-9,75,,,0,62,46,46,,,76.0
3,2009,0,,,0,0,-5,-4,,,0,-3,-3,-3,,,
