time,open,high,low,close,volume
2024-01-25,25.12,25.21,24.89,25.03,3550872
2024-01-26,25.07,25.93,25.07,25.75,24485664
2024-01-29,25.93,25.93,25.48,25.48,5423355
2024-01-30,25.48,25.7,25.03,25.7,9843355
2024-01-31,25.8,25.88,25.3,25.3,12420979
2024-02-01,25.3,25.66,25.25,25.52,6033109
2024-02-02,25.66,27.29,25.66,26.65,32634070
2024-02-05,26.92,27.06,26.7,26.83,5148797
2024-02-06,27.02,27.42,26.83,27.06,8202897
2024-02-07,27.06,27.29,26.88,27.15,7661292
2024-02-15,27.24,27.29,26.65,26.83,11519385
2024-02-16,26.97,27.38,26.7,26.83,9595900
2024-02-19,26.92,26.92,26.29,26.52,12663505
2024-02-20,26.61,27.06,26.34,26.65,8317638
2024-02-21,26.7,27.02,26.47,26.65,6463977
2024-02-22,26.65,26.79,26.25,26.29,8799045
2024-02-23,26.29,26.38,25.21,25.3,24758053
2024-02-26,25.3,25.66,25.03,25.52,7824650
2024-02-27,25.61,26.2,25.52,26.07,12301475
2024-02-28,26.11,26.2,25.61,25.93,8799806
2024-02-29,25.93,26.65,25.75,26.2,16370857
2024-03-01,26.43,26.43,26.07,26.2,7279110
2024-03-04,26.65,27.24,26.47,26.52,16904695
2024-03-05,26.52,26.56,25.98,26.2,12115741
2024-03-06,26.11,26.11,25.48,25.61,11084807
2024-03-07,25.52,25.93,25.43,25.88,10101108
2024-03-08,25.93,26.02,25.3,25.3,13474974
2024-03-11,25.3,25.39,24.67,24.76,11167651
2024-03-12,24.58,25.03,24.58,24.8,8386992
2024-03-13,24.89,25.43,24.85,25.43,8293833
2024-03-14,25.57,25.75,25.16,25.39,12328992
2024-03-15,25.39,26.11,25.3,25.39,15817470
2024-03-18,25.48,26.61,24.44,26.29,27382420
2024-03-19,26.65,27.02,25.93,25.93,14121970
2024-03-20,25.93,26.2,25.61,25.98,9301518
2024-03-21,26.34,27.78,25.98,27.78,40209143
2024-03-22,28.28,28.46,27.87,28.46,18791582
2024-03-25,28.55,29.18,28.19,28.42,18305687
2024-03-26,28.46,29.18,28.1,28.91,12980416
2024-03-27,28.96,29.45,28.55,29.0,12118261
2024-03-28,29.36,29.45,28.91,29.0,8645323
2024-03-29,29.0,29.09,28.55,28.78,8917968
2024-04-01,28.69,30.0,28.46,29.68,15559636
2024-04-02,29.64,30.27,29.27,29.77,11963657
2024-04-03,29.64,29.82,28.91,29.14,11620757
2024-04-04,29.0,30.04,28.28,29.36,17136138
