quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,685,0.217,0.575,-653,32,-12,20,-0.158,0.866,-8,7,2,2,0.573,2.855,29.0
3,2024,435,2.79,0.08,-408,27,-16,11,7.827,0.432,-10,1,1,1,21.902,1.651,18.0
2,2024,403,0.665,3.213,-371,31,-24,7,-0.617,0.236,-14,1,0,0,-0.417,2.226,16.0
1,2024,96,-0.598,-0.83,-80,15,-9,6,-0.488,-0.745,-6,0,0,0,-0.869,-0.952,14.0
4,2023,563,-0.138,3.903,-521,42,-18,24,-0.117,18.567,-11,9,2,2,-0.839,55.125,27.0
3,2023,115,-0.632,-0.526,-101,14,-13,1,-0.908,-0.938,-12,0,0,0,-0.974,-0.933,8.0
2,2023,242,-0.166,0.017,-212,30,-10,20,0.125,0.653,-18,1,0,0,-0.899,-0.274,29.0
1,2023,238,0.045,-0.635,-212,26,-14,12,0.333,-0.56,-11,1,1,1,0.007,-0.941,20.0
4,2022,653,0.448,1.093,-591,61,-34,27,0.51,1.029,-14,15,10,10,-0.063,7.933,39.0
3,2022,312,0.066,0.074,-275,36,-23,13,0.58,-0.236,-9,1,1,1,1.778,-0.734,18.0
2,2022,290,0.425,0.275,-249,41,-23,17,0.373,0.958,-10,5,4,4,0.582,6.228,27.0
1,2022,228,0.437,-0.495,-202,26,-17,9,0.082,-0.502,-9,1,1,1,4.026,-0.946,18.0
4,2021,451,-0.044,0.541,-393,58,-40,18,-0.262,1.122,-8,14,10,10,-0.19,25.487,27.0
3,2021,293,0.26,0.437,-262,31,-22,8,-0.239,-0.337,-8,0,0,0,-0.845,-0.848,16.0
2,2021,204,-0.128,0.286,-172,32,-19,13,0.149,0.543,-9,3,3,3,0.268,21.959,22.0
1,2021,158,0.107,-0.664,-132,26,-18,8,-0.124,-0.66,-7,0,0,0,-0.8,-0.991,17.0
4,2020,471,-0.104,1.029,-412,59,-35,24,-0.07,1.189,-9,17,13,13,0.278,4.081,32.0
3,2020,232,0.137,-0.005,-202,30,-19,11,0.182,0.002,-9,2,2,2,2.885,0.238,19.0
2,2020,234,-0.026,0.632,-202,31,-20,11,-0.226,0.177,-11,2,2,2,-0.4,2.617,20.0
1,2020,143,-0.378,-0.728,-116,27,-18,9,-0.318,-0.639,-8,1,1,1,-0.872,-0.944,18.0
4,2019,526,0.031,1.576,-464,62,-36,26,0.533,1.781,-11,15,10,10,-0.042,14.448,30.0
3,2019,204,-0.665,-0.148,-170,34,-25,9,-0.673,-0.344,-9,1,1,1,-0.939,-0.809,12.0
2,2019,240,-0.212,0.042,-200,40,-26,14,-0.258,0.037,-11,4,3,3,-0.523,-0.228,18.0
1,2019,230,0.049,-0.549,-201,29,-15,14,0.04,-0.19,-9,5,4,4,-0.096,-0.58,17.0
4,2018,511,0.024,-0.163,-473,38,-21,17,0.007,-0.406,-9,17,10,10,0.398,-0.023,21.0
3,2018,610,0.209,1.006,-538,72,-44,29,0.634,0.488,-9,13,11,11,0.043,0.504,31.0
2,2018,304,-0.44,0.387,-253,51,-31,19,-0.048,0.453,-9,9,7,7,-0.284,0.463,22.0
1,2018,219,0.226,-0.56,-183,36,-23,13,0.457,-0.215,-8,6,5,5,0.06,-0.35,16.0
4,2017,499,0.893,-0.012,-427,71,-55,17,1.019,-0.036,-8,9,7,7,0.738,-0.271,20.0
3,2017,505,1.137,-0.07,-444,61,-43,17,0.73,-0.133,-6,13,10,10,1.386,0.034,20.0
2,2017,543,0.504,2.035,-481,62,-41,20,0.035,1.223,-5,12,10,10,0.193,1.164,24.0
