time,open,high,low,close,volume
2024-01-25,16.91,16.91,16.81,16.81,3700
2024-01-26,16.81,16.81,16.81,16.81,300
2024-01-29,16.81,16.81,16.81,16.81,1200
2024-01-30,17.11,17.11,17.11,17.11,104
2024-01-31,16.21,16.21,16.21,16.21,1000
2024-02-01,16.21,16.21,16.21,16.21,432
2024-02-02,16.31,16.31,16.31,16.31,100
2024-02-05,16.31,16.31,16.31,16.31,102
2024-02-06,16.31,16.31,16.31,16.31,200
2024-02-07,16.71,16.71,16.71,16.71,104
2024-02-15,16.71,16.71,16.71,16.71,600
2024-02-16,16.71,16.71,16.71,16.71,1
2024-02-19,16.71,16.71,16.71,16.71,0
2024-02-20,16.71,16.71,16.71,16.71,0
2024-02-21,16.71,16.71,16.71,16.71,10
2024-02-22,16.51,16.91,16.11,16.91,700
2024-02-23,16.91,16.91,16.91,16.91,20
2024-02-26,17.5,17.5,16.01,17.21,1442
2024-02-27,17.01,17.01,17.01,17.01,400
2024-02-28,16.91,16.91,16.91,16.91,200
2024-02-29,16.71,16.71,16.71,16.71,100
2024-03-01,16.71,16.71,16.71,16.71,0
2024-03-04,16.71,17.31,16.71,17.31,700
2024-03-05,16.41,17.8,16.41,17.8,803
2024-03-06,17.7,17.8,17.7,17.8,2416
2024-03-07,17.8,17.8,17.8,17.8,0
2024-03-08,17.8,17.9,17.8,17.9,1500
2024-03-11,17.9,17.9,17.9,17.9,98
2024-03-12,17.9,17.9,17.9,17.9,88
2024-03-13,17.9,18.0,17.9,18.0,2008
2024-03-14,17.9,17.9,17.9,17.9,3600
2024-03-15,17.9,18.6,17.9,17.9,3800
2024-03-18,17.9,17.9,17.9,17.9,3400
2024-03-19,17.9,18.2,17.11,18.2,300
2024-03-20,17.9,18.2,17.11,17.31,3101
2024-03-21,17.31,17.31,17.31,17.31,100
2024-03-22,18.2,18.8,17.9,17.9,2240
2024-03-25,17.21,17.9,17.21,17.9,379
2024-03-26,17.5,18.6,17.5,18.6,727
2024-03-27,17.9,18.8,17.9,18.1,313
2024-03-28,17.7,17.7,17.41,17.41,532
2024-03-29,17.9,18.3,17.9,18.3,300
2024-04-01,18.3,18.3,18.3,18.3,500
2024-04-02,18.8,18.8,18.8,18.8,100
2024-04-03,17.21,17.9,17.21,17.9,396
2024-04-04,18.1,18.4,18.1,18.4,409
2024-04-05,18.1,18.4,18.1,18.4,515
2024-04-08,18.4,18.4,18.4,18.4,0
2024-04-09,18.9,18.9,18.9,18.9,1000
2024-04-10,19.69,19.69,19.69,19.69,201
2024-04-11,19.79,19.79,19.2,19.2,1905
2024-04-12,19.49,19.49,19.49,19.49,6700
2024-04-15,18.1,18.6,18.1,18.6,302
2024-04-16,18.9,18.9,18.9,18.9,1006
2024-04-17,18.9,18.9,18.9,18.9,0
2024-04-19,17.9,17.9,17.9,17.9,100
2024-04-22,19.3,19.3,19.3,19.3,100
2024-04-23,19.3,19.3,19.3,19.3,13
2024-04-24,19.3,19.3,19.3,19.3,0
2024-04-25,18.4,18.4,18.4,18.4,300
2024-04-26,18.4,18.4,18.4,18.4,144
2024-05-02,17.5,17.6,17.5,17.5,301
2024-05-03,18.4,18.4,18.2,18.2,318
2024-05-06,18.8,18.8,18.8,18.8,100
2024-05-07,18.3,18.3,18.3,18.3,100
2024-05-08,18.3,18.3,18.3,18.3,0
2024-05-09,18.3,18.3,18.3,18.3,0
2024-05-10,18.3,18.3,18.3,18.3,100
2024-05-13,18.2,18.9,18.2,18.9,5529
2024-05-14,18.9,18.9,18.9,18.9,0
2024-05-15,18.9,19.59,18.9,19.59,601
2024-05-16,18.3,19.59,18.3,19.59,213
2024-05-17,19.59,19.59,19.59,19.59,0
2024-05-20,19.59,19.59,19.59,19.59,0
2024-05-21,21.38,21.38,18.3,18.3,400
2024-05-22,18.3,18.3,18.3,18.3,0
2024-05-23,18.3,18.3,18.3,18.3,308
2024-05-24,18.3,18.3,17.8,18.3,1500
2024-05-27,18.3,18.3,18.3,18.3,50
2024-05-28,18.2,18.2,17.8,17.8,200
2024-05-29,17.8,17.8,17.8,17.8,0
2024-05-30,17.01,17.8,17.01,17.21,300
2024-05-31,17.31,17.31,17.31,17.31,101
2024-06-03,18.7,18.7,18.7,18.7,100
2024-06-04,17.41,18.6,17.41,18.6,200
2024-06-05,18.7,18.7,18.7,18.7,100
2024-06-06,18.4,19.69,17.8,17.8,1000
2024-06-07,18.8,18.8,18.8,18.8,10000
2024-06-10,18.8,18.8,18.8,18.8,100
2024-06-11,18.8,18.8,18.8,18.8,0
2024-06-12,17.9,17.9,17.7,17.9,2100
2024-06-13,17.5,17.5,17.5,17.5,108
2024-06-14,17.7,17.7,17.6,17.6,800
2024-06-17,17.01,17.9,17.01,17.9,200
2024-06-18,16.91,16.91,16.91,16.91,300
2024-06-19,18.4,18.5,18.4,18.5,200
2024-06-20,17.9,17.9,17.6,17.6,1562
2024-06-21,17.9,19.2,17.9,18.1,754
2024-06-24,19.3,19.89,19.3,19.89,3303
2024-06-25,18.3,18.4,18.3,18.4,400
2024-06-26,19.1,19.4,18.4,18.4,2448
2024-06-27,18.4,18.4,18.4,18.4,27
2024-06-28,19.4,19.4,18.2,18.4,2718
2024-07-01,18.4,18.4,18.4,18.4,0
2024-07-02,18.4,18.4,18.4,18.4,0
2024-07-03,18.9,18.9,18.9,18.9,118
2024-07-04,18.2,18.2,18.2,18.2,100
2024-07-05,18.2,18.2,18.2,18.2,76
2024-07-08,18.2,19.1,18.2,19.1,324
2024-07-09,19.1,19.1,19.1,19.1,104
2024-07-10,19.1,19.1,19.1,19.1,0
2024-07-11,19.1,19.1,19.1,19.1,0
2024-07-12,17.7,17.7,17.6,17.6,305
2024-07-15,17.8,17.8,17.8,17.8,119
2024-07-16,17.8,17.8,17.8,17.8,0
2024-07-17,17.8,17.8,17.8,17.8,8
2024-07-18,17.6,17.6,17.6,17.6,2551
2024-07-19,17.6,17.6,17.6,17.6,0
2024-07-22,17.9,18.3,17.9,18.3,647
2024-07-23,18.3,18.3,18.3,18.3,1
2024-07-24,19.3,19.3,18.7,19.0,1701
2024-07-25,17.8,17.9,17.6,17.9,1900
2024-07-26,17.9,17.9,17.9,17.9,0
2024-07-29,18.8,18.8,18.8,18.8,113
2024-07-30,18.6,18.6,18.6,18.6,100
2024-07-31,18.6,18.6,18.6,18.6,0
2024-08-01,17.7,17.7,17.7,17.7,100
2024-08-02,17.7,17.7,17.7,17.7,0
2024-08-05,17.2,18.1,17.2,18.1,1118
2024-08-06,17.1,18.1,17.1,18.1,200
2024-08-07,18.1,18.1,18.1,18.1,0
2024-08-08,18.1,18.1,18.1,18.1,24
2024-08-09,18.4,18.4,18.4,18.4,101
2024-08-12,17.2,17.2,17.2,17.2,100
2024-08-13,16.2,17.2,16.2,17.2,204
2024-08-14,17.2,17.2,17.2,17.2,0
2024-08-15,17.9,17.9,17.9,17.9,222
2024-08-16,18.4,18.4,18.4,18.4,109
2024-08-19,17.6,17.6,17.6,17.6,510
2024-08-20,17.6,17.6,17.6,17.6,0
2024-08-21,17.6,17.6,17.6,17.6,0
2024-08-22,17.6,17.6,17.6,17.6,0
2024-08-23,18.9,18.9,18.9,18.9,522
2024-08-26,18.0,18.0,18.0,18.0,1002
2024-08-27,18.0,18.0,18.0,18.0,0
2024-08-28,18.0,18.0,18.0,18.0,700
2024-08-29,18.0,18.0,18.0,18.0,1
2024-08-30,17.2,17.2,16.7,16.7,811
2024-09-04,17.5,17.6,17.5,17.6,1100
2024-09-05,17.6,17.6,17.6,17.6,1
2024-09-06,18.9,18.9,18.9,18.9,109
2024-09-09,18.9,18.9,18.9,18.9,7
2024-09-10,18.9,18.9,18.9,18.9,0
2024-09-11,18.9,18.9,18.9,18.9,0
