quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,56,-0.624,1.608,-63,-6,-7,-13,,,0,-11,-6,-6,,,-12.0
3,2024,22,-0.483,-0.662,-28,-7,-5,-11,,,0,-9,-7,-7,,,-10.0
2,2024,64,0.222,-0.481,-51,13,-6,7,,-0.712,0,8,6,6,1.763,-0.685,9.0
1,2024,123,207.4,-0.177,-89,34,-8,25,,1.016,-1,26,21,21,,0.864,27.0
4,2023,150,13.967,2.581,-130,19,-7,13,,,-1,13,11,11,,,14.0
3,2023,42,1.67,-0.201,-41,1,-7,-6,,,0,-3,-3,-3,,,-4.0
2,2023,52,10.058,87.544,-49,3,-6,-3,,,0,1,2,2,,,-1.0
1,2023,1,-0.851,-0.941,-6,-6,-5,-10,,,0,-7,-7,-7,,,-9.0
4,2022,10,5.86,-0.361,-15,-5,-8,-13,,,0,-12,-12,-12,,,-11.0
3,2022,16,0.624,2.307,-21,-5,-5,-10,,,0,-3,-2,-2,,,-8.0
2,2022,5,-0.717,0.193,-14,-9,-6,-15,,,0,-2,-1,-1,,,-13.0
1,2022,4,-0.638,1.722,-12,-8,-8,-16,,,0,5,4,4,,-0.801,-14.0
4,2021,1,-0.921,-0.849,-8,-6,-7,-13,,,0,21,21,21,,,-11.0
3,2021,10,-0.804,-0.424,-13,-3,-5,-8,,,0,-5,-5,-5,,,-5.0
2,2021,17,-0.931,0.527,-19,-2,-5,-8,,,0,-5,-5,-5,,,-4.0
1,2021,11,-0.971,-0.403,-18,-7,-5,-12,,,0,-10,-10,-10,,,-9.0
4,2020,18,-0.948,-0.627,-33,-15,-14,-29,,,0,-27,-20,-20,,,-26.0
3,2020,49,4.332,-0.798,-51,-1,-6,-7,,,-1,-7,-6,-6,,,-4.0
2,2020,244,15.219,-0.364,-191,53,-12,41,,-0.337,-2,47,38,38,,-0.224,44.0
1,2020,384,58.997,0.09,-310,73,-11,62,,-0.291,-2,61,49,49,,-0.369,65.0
4,2019,352,22.737,37.125,-253,99,-11,88,,,-2,89,77,77,,,91.0
3,2019,9,-0.82,-0.386,-12,-3,-6,-8,,,0,-7,-7,-7,,,-5.0
2,2019,15,-0.78,1.353,-22,-7,-7,-14,,,0,-17,-20,-20,,,-11.0
1,2019,6,-0.906,-0.569,-14,-8,-7,-15,,,0,-12,-12,-12,,,-11.0
4,2018,15,0.645,-0.711,-29,-15,-2,-17,,,0,-9,-7,-7,,,-13.0
3,2018,51,3.389,-0.25,-40,11,-5,6,,-0.441,0,4,3,3,-0.834,-0.685,10.0
2,2018,68,3.447,0.003,-46,23,-11,11,,-0.481,0,11,9,9,0.515,-0.498,15.0
1,2018,68,0.449,6.557,-43,26,-4,21,,,0,23,18,18,,-0.515,25.0
4,2017,9,2.869,-0.228,-27,-18,-20,-39,,,0,38,37,37,,1.169,-34.0
3,2017,12,7.136,-0.241,-21,-9,-7,-16,,,0,17,17,17,,1.87,-12.0
2,2017,15,11.811,-0.673,-18,-3,-6,-8,,,0,6,6,6,1.118,,-4.0
1,2017,47,31.155,19.176,-52,-5,-6,-11,,,0,-6,-6,-6,,,-7.0
4,2016,2,-0.956,0.624,-8,-6,-9,-15,,,0,-1,-1,-1,,,-19.0
3,2016,1,-0.994,0.196,-34,-32,-6,-38,,,0,-38,-38,-38,,,-31.0
2,2016,1,-0.996,-0.179,-17,-16,-8,-24,,,0,3,3,3,-0.958,,-16.0
1,2016,1,-0.996,-0.972,-19,-17,-7,-24,,,0,-18,-18,-18,,,-16.0
4,2015,53,-0.783,-0.773,-97,-44,-16,-60,,,-1,-22,-17,-17,,,-52.0
3,2015,233,0.011,-0.165,-178,55,-12,44,0.367,-0.541,-1,45,35,35,0.503,-0.477,51.0
2,2015,279,-0.197,-0.305,-172,107,-13,95,-0.184,0.796,-2,88,67,67,-0.245,0.684,104.0
1,2015,402,1.242,0.652,-341,61,-8,53,0.927,1.32,-2,51,40,40,0.999,1.607,112.0
4,2014,243,4.209,0.055,-198,45,-22,23,0.251,-0.286,-2,21,15,15,0.496,-0.346,83.0
3,2014,231,1.03,-0.337,-192,38,-7,32,0.088,-0.726,-3,30,23,23,0.221,-0.737,99.0
2,2014,348,,0.941,-206,142,-26,116,,3.243,-3,114,89,89,,3.458,133.0
1,2014,179,0.554,2.838,-146,33,-6,27,0.54,0.506,-3,26,20,20,1.278,0.952,42.0
4,2013,47,-0.763,-0.589,-24,22,-4,18,-0.711,-0.379,-4,14,10,10,-0.786,-0.466,106.0
3,2013,114,,,-79,35,-5,29,,,-4,26,19,19,,,
1,2013,115,,-0.415,-94,22,-4,18,,-0.718,-5,12,9,9,,-0.817,
4,2012,197,,,-130,68,-5,63,,,-6,56,48,48,,,
