quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,1019,0.008,0.359,-947,72,-61,11,6.259,,0,15,9,3,,,17.0
3,2024,750,-0.114,-0.059,-711,38,-41,-2,,,-1,3,1,-2,,,3.0
2,2024,797,0.128,1.002,-735,61,-61,0,,,-1,7,5,2,58.72,30.973,5.0
1,2024,398,-0.396,-0.606,-365,33,-37,-4,,,-1,3,1,0,-0.994,,1.0
4,2023,1010,0.061,0.194,-954,57,-55,1,-0.917,-0.939,-1,6,1,0,,,6.0
3,2023,846,0.275,0.199,-772,74,-49,25,0.477,,-1,21,17,13,12.527,475.288,30.0
2,2023,706,-0.159,0.072,-660,46,-50,-4,,,-1,13,6,0,-0.993,-0.997,1.0
1,2023,658,0.377,-0.309,-612,46,-43,4,1.045,-0.802,-2,14,12,8,,-0.165,9.0
4,2022,953,-0.116,0.435,-882,70,-52,18,0.241,0.08,-1,22,16,10,0.964,9.011,23.0
3,2022,664,-0.102,-0.21,-603,61,-44,17,,0.059,-1,5,4,1,-0.487,-0.742,22.0
2,2022,840,0.277,0.756,-787,53,-37,16,2.766,8.012,2,9,7,4,-0.507,,22.0
1,2022,478,0.582,-0.556,-435,43,-41,2,5.403,-0.88,-3,2,0,-3,,,8.0
4,2021,1077,0.434,0.457,-1018,59,-44,15,2.72,,-1,14,10,5,1.472,1.615,21.0
3,2021,739,0.344,0.124,-692,47,-49,-2,,,0,9,6,2,-0.517,-0.752,4.0
2,2021,657,0.388,1.175,-611,46,-42,4,0.685,14.323,0,8,6,8,,156.564,10.0
1,2021,302,-0.229,-0.598,-273,30,-29,0,-0.977,-0.93,0,4,2,0,-0.988,-0.976,7.0
4,2020,751,0.18,0.365,-712,39,-35,4,-0.768,-0.689,-1,8,5,2,2.56,-0.489,10.0
3,2020,550,-0.109,0.162,-495,56,-43,13,-0.16,4.044,0,13,9,4,-0.296,,19.0
2,2020,474,0.146,0.208,-432,42,-39,2,-0.87,-0.795,-1,8,5,-1,,,9.0
1,2020,392,-0.317,-0.384,-346,46,-34,12,0.31,-0.28,0,7,6,4,0.396,6.351,19.0
4,2019,637,-0.133,0.032,-571,65,-49,17,1.07,0.129,-12,5,5,1,-0.975,-0.899,24.0
3,2019,617,0.132,0.493,-557,60,-45,15,1.069,-0.22,-4,11,10,5,,-0.451,22.0
2,2019,413,-0.336,-0.28,-351,62,-43,19,0.544,1.067,-3,19,16,10,1.669,2.428,27.0
1,2019,574,0.116,-0.219,-525,48,-39,9,,0.138,-4,6,5,3,,-0.87,17.0
4,2018,734,0.197,0.347,-673,61,-53,8,1.284,0.128,-11,26,26,22,,,16.0
3,2018,545,-0.492,-0.124,-499,46,-39,7,-0.641,-0.418,-4,-1,-8,-8,,,15.0
2,2018,623,-0.423,0.211,-571,52,-39,12,-0.679,,32,5,8,4,-0.858,,20.0
1,2018,514,-0.09,-0.162,-482,32,-42,-10,,,-43,-14,-15,-13,,,-1.0
4,2017,613,-0.168,-0.428,-567,46,-43,4,187.017,-0.823,-1,-1,-1,-5,,,12.0
3,2017,1073,0.189,-0.005,-1000,73,-53,20,,-0.48,-6,12,3,1,,-0.953,29.0
2,2017,1078,0.164,0.908,-995,83,-45,39,2.764,,-10,26,27,26,,,47.0
1,2017,565,0.221,-0.234,-526,39,-50,-11,,,-3,-17,-17,-17,,,-2.0
4,2016,737,-0.083,-0.183,-678,59,-59,0,-1.0,,-4,2,-4,-7,,,7.0
3,2016,902,-0.16,-0.026,-859,43,-60,-17,,,-9,-22,-24,-28,,,-8.0
2,2016,926,0.038,1.001,-839,87,-77,10,-0.825,0.015,-4,-5,-11,-19,,,20.0
1,2016,463,-0.485,-0.424,-401,62,-52,10,-0.89,-0.744,-3,8,5,0,-0.995,-0.985,19.0
4,2015,804,-0.318,-0.251,-695,109,-70,39,-0.529,-0.009,-4,21,19,14,-0.367,0.14,48.0
3,2015,1074,0.067,0.203,-970,104,-64,40,-0.609,-0.321,-4,32,22,13,-0.705,-0.696,47.0
