quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,2807,0.607,0.151,-2431,376,-190,186,-0.204,-0.33,-48,263,237,220,0.125,0.208,421.0
3,2024,2438,0.765,0.068,-1989,449,-172,277,0.559,-0.141,-51,249,180,182,0.207,0.315,492.0
2,2024,2282,0.618,0.3,-1805,478,-155,323,0.507,-0.031,-69,209,132,138,-0.155,-0.125,556.0
1,2024,1756,0.431,0.005,-1305,450,-118,333,1.656,0.426,-70,215,149,158,1.399,-0.191,532.0
4,2023,1747,0.198,0.265,-1349,398,-165,233,2.217,0.313,-62,220,194,195,2.621,0.296,448.0
3,2023,1381,0.112,-0.021,-1085,296,-118,178,7.156,-0.17,-62,153,133,151,,-0.08,392.0
2,2023,1410,-0.068,0.15,-1052,358,-144,214,,0.708,-55,215,158,164,,1.485,417.0
1,2023,1227,0.07,-0.159,-989,238,-113,125,,0.728,-69,63,52,66,,0.222,350.0
4,2022,1458,0.094,0.175,-1198,261,-188,73,0.935,2.33,-61,36,53,54,0.087,,249.0
3,2022,1242,0.228,-0.18,-1125,117,-95,22,-0.372,,-45,-44,-52,-34,,,243.0
2,2022,1514,0.371,0.321,-1389,125,-133,-8,,,-34,-59,-74,-60,,,221.0
1,2022,1146,1.084,-0.141,-1076,70,-88,-18,,,-27,-65,-75,-56,,,137.0
4,2021,1334,0.619,0.319,-1198,136,-98,37,,0.08,-27,54,50,50,-0.168,-0.26,159.0
3,2021,1011,-0.204,-0.084,-892,119,-85,35,1.933,1.757,-27,69,56,67,0.726,9.92,180.0
2,2021,1104,-0.248,1.009,-959,145,-133,13,,,-28,46,41,6,-0.901,,199.0
1,2021,550,-0.672,-0.333,-578,-28,-85,-113,,,-28,-107,-110,-104,,,-31.0
4,2020,824,-0.407,-0.352,-788,36,-104,-68,,,-28,52,71,60,-0.576,0.535,54.0
3,2020,1271,0.188,-0.135,-1192,79,-67,12,-0.711,,-29,54,38,39,0.433,-0.374,111.0
2,2020,1469,0.463,-0.123,-1412,57,-68,-11,,,-29,69,56,62,-0.431,1.553,95.0
1,2020,1675,0.842,0.205,-1518,157,-94,63,,1.614,-33,26,16,24,,-0.827,225.0
4,2019,1390,-0.013,0.3,-1245,145,-120,24,-0.915,-0.406,-36,139,150,140,-0.636,4.183,173.0
3,2019,1069,-0.198,0.065,-968,101,-61,41,-0.564,0.021,-39,30,17,27,-0.759,-0.751,188.0
2,2019,1004,-0.38,0.104,-852,152,-112,40,,,-42,111,103,109,,,187.0
1,2019,910,-0.177,-0.354,-858,51,-121,-70,,,-42,-85,-93,-87,,,76.0
4,2018,1408,0.185,0.056,-1094,314,-29,285,,2.039,-40,439,402,386,0.521,2.432,254.0
3,2018,1333,0.054,-0.177,-1257,76,18,94,,,-42,116,97,112,3.447,,323.0
2,2018,1620,0.714,0.465,-1570,50,-122,-72,,,-42,-78,-79,-68,,,146.0
1,2018,1106,1.198,-0.07,-1150,-45,-172,-217,,,-44,-248,-253,-239,,,-25.0
4,2017,1188,0.465,-0.061,-1164,25,-138,-114,,,-47,336,276,254,6.424,9.035,108.0
3,2017,1265,0.064,0.338,-1171,94,-137,-43,,,-50,75,16,25,1.548,,202.0
2,2017,945,-0.467,0.879,-874,71,-128,-56,,,-50,-53,-66,-52,,,150.0
1,2017,503,-0.681,-0.38,-511,-8,-182,-190,,,-47,-212,-214,-201,,,-74.0
4,2016,811,-0.653,-0.318,-742,69,-100,-31,,,-58,54,25,34,-0.554,2.445,126.0
3,2016,1189,-0.677,-0.33,-972,218,-220,-3,,,-46,40,33,10,-0.982,-0.499,225.0
2,2016,1775,-0.54,0.125,-1484,290,-210,80,-0.89,-0.274,-50,64,34,20,-0.963,-0.647,289.0
1,2016,1577,-0.641,-0.324,-1334,244,-133,111,-0.835,-0.237,-47,103,82,56,-0.884,-0.266,262.0
4,2015,2334,-0.56,-0.366,-1935,399,-254,145,-0.748,-0.742,-51,92,69,77,-0.829,-0.863,536.0
3,2015,3679,-0.334,-0.046,-2858,822,-259,562,-0.258,-0.232,-52,652,580,559,-0.054,0.056,914.0
2,2015,3858,-0.313,-0.122,-2827,1031,-298,733,-0.088,0.092,-56,715,572,529,-0.276,0.098,1096.0
1,2015,4395,0.017,-0.171,-3506,889,-218,671,-0.15,0.167,-26,629,503,482,-0.192,0.074,961.0
4,2014,5300,0.197,-0.04,-4398,902,-327,575,0.132,-0.242,-31,589,480,449,-0.065,-0.241,842.0
3,2014,5521,0.428,-0.017,-4445,1076,-318,758,0.071,-0.056,-3,845,625,591,0.137,-0.191,1028.0
2,2014,5615,0.676,0.299,-4499,1116,-313,803,0.299,0.018,-38,915,761,731,0.619,0.224,1068.0
1,2014,4322,0.36,-0.024,-3317,1005,-216,790,0.322,0.554,-41,775,624,597,0.418,0.244,1055.0
4,2013,4429,0.253,0.146,-3551,878,-370,508,0.313,-0.283,-47,581,509,480,1.242,-0.078,767.0
3,2013,3866,0.161,0.154,-2946,920,-212,708,0.448,0.145,-55,640,540,520,0.058,0.152,1031.0
2,2013,3351,0.272,0.054,-2533,818,-199,619,0.593,0.036,-60,560,487,451,0.586,0.072,873.0
1,2013,3179,0.347,-0.101,-2392,787,-190,597,0.144,0.544,-62,517,453,421,0.113,0.968,862.0
4,2012,3535,0.309,0.062,-2965,570,-183,387,0.275,-0.209,-70,320,254,214,0.042,-0.565,680.0
3,2012,3329,0.398,0.264,-2637,692,-203,489,0.265,0.26,-73,587,523,492,0.561,0.727,783.0
2,2012,2635,0.243,0.116,-2006,629,-241,388,0.121,-0.257,-88,329,287,285,0.247,-0.248,625.0
1,2012,2360,0.162,-0.126,-1724,636,-114,522,0.314,0.721,-71,449,380,378,0.284,0.843,730.0
4,2011,2701,0.279,0.134,-2212,488,-185,303,0.012,-0.216,-62,238,206,205,-0.036,-0.348,484.0
3,2011,2381,0.103,0.124,-1798,583,-196,387,0.003,0.117,-52,362,317,315,0.079,0.379,565.0
2,2011,2119,0.04,0.043,-1592,527,-180,346,-0.218,-0.129,-78,261,231,228,-0.294,-0.225,531.0
1,2011,2032,0.679,-0.038,-1553,479,-81,398,1.159,0.326,-73,335,296,295,2.188,0.384,565.0
4,2010,2112,0.709,-0.022,-1628,484,-184,300,0.963,-0.223,-74,259,214,213,6.813,-0.271,
3,2010,2159,1.044,0.06,-1690,469,-83,386,0.407,-0.129,-78,325,293,292,0.443,-0.097,827.0
2,2010,2037,1.515,0.683,-1502,535,-92,443,0.786,1.407,-81,361,325,323,0.192,2.499,734.0
1,2010,1210,0.216,-0.021,-959,251,-67,184,-0.404,0.205,-76,114,93,92,-0.679,2.392,328.0
4,2009,1236,0.135,0.17,-970,266,-113,153,-0.255,-0.443,0,39,28,27,-0.844,-0.865,
3,2009,1056,0.11,0.304,-731,325,-50,274,0.122,0.105,-8,289,207,202,-0.184,-0.255,
2,2009,810,-0.113,-0.186,-509,301,-53,248,-0.067,-0.197,-10,307,273,271,0.003,-0.056,
1,2009,995,0.298,-0.086,-638,357,-48,309,0.268,0.507,-14,320,291,288,0.233,0.643,355.0
4,2008,1089,0.21,0.145,-776,313,-108,205,0.152,-0.161,-21,167,178,175,0.031,-0.293,
3,2008,951,0.03,0.041,-657,294,-49,244,0.194,-0.081,-20,254,251,248,0.323,-0.085,
2,2008,914,0.349,0.192,-603,311,-45,266,0.498,0.091,-19,274,273,271,0.521,0.161,
1,2008,766,2.184,-0.148,-487,279,-36,244,5.801,0.368,0,236,235,233,5.416,0.374,288.0
4,2007,900,0.642,-0.026,-680,220,-42,178,1.2,-0.13,0,176,173,170,1.79,-0.094,
3,2007,923,1.043,0.364,-693,230,-26,205,4.854,0.153,0,189,188,187,5.9,0.052,
2,2007,677,,1.813,-434,243,-66,178,,3.954,0,178,178,178,,3.896,
1,2007,241,,-0.561,-189,52,-16,36,,-0.557,0,36,36,36,,-0.402,
4,2006,548,,0.212,-450,97,-16,81,,1.315,0,84,61,61,,1.241,
3,2006,452,,,-405,47,-12,35,,,0,38,27,27,,,
2,2006,0,,,0,0,0,0,,,0,0,0,0,,,
1,2006,0,,,0,0,0,0,,,0,0,0,0,,,
4,2005,0,,,0,0,0,0,,,0,0,0,0,,,
