time,open,high,low,close,volume
2024-01-25,27.65,27.8,27.35,27.55,2062804
2024-01-26,27.8,27.9,27.65,27.65,2423744
2024-01-29,27.8,27.9,27.55,27.6,1618460
2024-01-30,28.1,28.3,27.95,27.95,5457131
2024-01-31,28.05,28.05,27.35,27.55,3897463
2024-02-01,27.65,27.9,27.4,27.55,2253939
2024-02-02,27.6,27.85,27.45,27.8,3316980
2024-02-05,27.8,28.45,27.7,28.25,6726505
2024-02-06,28.35,28.8,28.3,28.75,4911335
2024-02-07,28.75,29.0,28.6,28.75,3087924
2024-02-15,28.85,28.95,28.4,28.6,4523158
2024-02-16,28.7,28.85,28.4,28.5,4168515
2024-02-19,28.5,29.25,28.5,28.75,7264645
2024-02-20,28.95,29.1,28.6,28.7,3269645
2024-02-21,28.7,28.95,28.4,28.5,3495585
2024-02-22,28.55,29.85,28.55,29.3,10437743
2024-02-23,29.4,29.45,28.1,28.35,6009927
2024-02-26,28.4,28.45,27.6,28.1,6086246
2024-02-27,28.3,28.85,28.0,28.8,6461368
2024-02-28,29.15,30.8,29.1,30.8,22296198
2024-02-29,30.9,31.2,30.35,30.9,6366817
2024-03-01,30.9,31.9,30.6,31.8,7440210
2024-03-04,32.0,32.2,31.15,31.5,8862754
2024-03-05,31.35,32.0,31.15,31.75,5331089
2024-03-06,31.7,31.9,30.5,31.2,7316454
2024-03-07,31.5,32.2,31.2,31.6,6194312
2024-03-08,31.7,32.0,30.8,30.8,6985343
2024-03-11,30.8,30.8,29.9,30.05,8493681
2024-03-12,30.2,30.65,30.05,30.3,5786702
2024-03-13,30.5,31.4,30.25,31.35,7368810
2024-03-14,31.8,33.5,31.7,32.9,16362208
2024-03-15,33.3,33.6,32.25,32.8,5095830
2024-03-18,33.0,33.25,30.75,31.25,14290781
2024-03-19,31.5,32.4,30.95,31.45,7497952
2024-03-20,31.75,32.25,31.5,32.25,4753972
2024-03-21,32.4,32.6,31.75,32.35,8500287
2024-03-22,32.35,32.5,31.85,31.95,7425941
2024-03-25,32.35,32.9,31.6,31.75,7723644
2024-03-26,31.8,32.7,31.75,32.7,4069041
2024-03-27,33.4,33.4,32.35,32.5,5075569
2024-03-28,32.6,32.6,32.15,32.2,3871004
2024-03-29,32.6,33.3,32.3,32.35,6653822
2024-04-01,32.4,33.2,32.3,32.85,6563171
2024-04-02,32.9,34.9,32.3,34.9,15207564
2024-04-03,34.9,34.9,33.9,33.9,5741844
2024-04-04,34.05,34.45,33.55,33.55,7516205
2024-04-05,33.55,34.3,32.8,32.9,11498738
2024-04-08,33.0,33.5,32.6,32.9,5209209
2024-04-09,33.0,33.4,32.7,33.2,4378068
2024-04-10,33.25,33.3,31.8,31.8,10034303
2024-04-11,31.6,32.25,31.4,31.95,5665387
2024-04-12,32.1,32.8,31.85,32.8,3335193
2024-04-15,33.25,33.45,30.55,30.55,13393875
2024-04-16,30.65,30.9,29.55,30.8,9198838
2024-04-17,31.0,31.0,29.35,29.35,4593222
2024-04-19,29.1,30.3,28.8,29.3,7170231
2024-04-22,29.55,29.75,29.15,29.6,3090660
2024-04-23,29.7,29.7,28.55,29.1,5209536
