quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-200,-356,-11,3477,-1819
3,2024,-101,-82,116,1367,-167
2,2024,-348,985,349,11,872
1,2024,-194,561,-256,-566,1498
4,2023,-398,721,-2,185,1539
3,2023,-284,-128,15,-725,1429
2,2023,-60,215,-63,221,797
1,2023,-160,34,21,9,848
4,2022,-172,-208,-374,593,-55
3,2022,-239,-1617,125,-140,567
2,2022,-64,-40,-56,389,99
1,2022,-40,156,-17,668,105
4,2021,-103,-274,-417,599,1277
3,2021,-29,602,-48,911,-108
2,2021,-94,493,-49,-367,984
1,2021,-22,449,27,-1356,2225
4,2020,-229,-622,-546,19,1759
3,2020,-91,71,-42,663,347
2,2020,-57,-251,-60,323,620
1,2020,-83,412,-25,-1761,2379
4,2019,-303,580,-118,-864,-601
3,2019,-299,-911,86,292,877
2,2019,-158,-658,25,3145,-1444
1,2019,-111,-240,80,-767,2247
4,2018,-80,702,-301,-763,2128
3,2018,-59,603,-28,597,493
2,2018,-47,180,-198,225,632
1,2018,-169,-243,-238,90,982
4,2017,-222,-174,-347,-46,583
3,2017,-85,-84,-73,179,836
2,2017,-1,-108,-182,1057,188
1,2017,-128,-294,-108,39,1051
4,2016,-115,-144,-331,-53,2600
3,2016,-116,-108,-679,364,919
2,2016,-104,-271,-209,360,1381
1,2016,-113,-43,-250,-748,2738
4,2015,-142,-472,-32,71,2144
3,2015,-88,-8,-796,574,2123
2,2015,-415,-387,-48,1069,1839
1,2015,-90,-48,-136,39,2355
4,2014,-119,-67,-116,165,1438
3,2014,-71,-24,-669,1375,537
2,2014,-105,-109,-302,2081,1817
1,2014,-60,-3,-173,207,2587
4,2013,-59,-5,-481,-518,851
3,2013,-141,-241,-428,1311,1180
2,2013,-45,-297,-669,499,984
1,2013,-74,-546,722,792,3231
4,2012,-191,-184,-160,-403,1361
4,2012,-191,-184,-160,-403,1361
3,2012,-57,-78,-208,1019,2286
2,2012,-115,319,-559,-67,2525
1,2012,-61,-81,790,-610,684
4,2011,-320,2610,-549,-550,1414
4,2011,-320,2610,-549,-550,1414
3,2011,-94,-244,-94,43,-1143
2,2011,-403,-622,867,2278,1332
1,2011,-276,-215,105,-331,599
3,2010,-1626,-1607,-87,2914,-514
2,2010,-1105,-1025,20,1139,818
1,2010,-251,-250,13,-16,818
