quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,9777,0.447,1.028,-9477,300,-446,-146,,,-16,841,705,551,0.924,3.085,12.0
3,2024,4820,0.154,-0.135,-4486,334,-245,88,,,-18,209,193,135,-0.044,-0.31,240.0
2,2024,5571,0.182,0.502,-5331,240,-332,-92,,,-15,282,209,196,-0.127,-0.35,57.0
1,2024,3710,0.002,-0.451,-3451,258,-227,32,1.234,,-16,368,305,301,0.4,0.05,174.0
4,2023,6758,0.279,0.619,-6382,376,-413,-36,,,-17,328,293,286,-0.448,1.031,109.0
3,2023,4176,0.192,-0.114,-3995,181,-284,-103,,,-17,217,144,141,-0.266,-0.37,20.0
2,2023,4712,0.237,0.272,-4524,187,-249,-62,,,-20,291,235,224,32.183,0.043,59.0
1,2023,3704,-0.017,-0.299,-3500,204,-190,14,-0.477,-0.952,-20,267,228,215,-0.007,-0.586,132.0
4,2022,5284,0.156,0.509,-4809,475,-184,291,3.759,20.482,-16,604,542,519,5.147,1.701,399.0
3,2022,3502,-0.12,-0.081,-3301,201,-188,14,,,-13,298,193,192,-0.131,27.474,127.0
2,2022,3810,0.246,0.011,-3666,145,-369,-225,,,-10,63,10,7,-0.956,-0.969,-106.0
1,2022,3769,0.442,-0.175,-3577,193,-166,27,,-0.559,-11,311,250,216,0.495,1.56,153.0
4,2021,4570,-0.105,0.148,-4316,254,-193,61,,,-11,118,102,84,0.143,-0.618,186.0
3,2021,3980,-0.333,0.302,-3776,204,-210,-6,,,-11,281,240,221,0.122,0.457,117.0
2,2021,3057,-0.446,0.17,-2818,239,-254,-16,,,-11,196,171,152,-0.43,0.05,111.0
1,2021,2614,-0.194,-0.488,-2435,179,-213,-35,,,-12,221,164,145,0.3,0.956,92.0
4,2020,5107,0.586,-0.144,-5265,-158,-374,-532,,,-12,152,100,74,-0.807,-0.625,-415.0
3,2020,5966,0.284,0.081,-5533,433,-183,250,3.594,1.192,-14,284,223,197,2.165,-0.26,386.0
2,2020,5518,0.143,0.702,-5272,245,-132,114,0.643,1.647,-15,429,292,266,0.221,1.395,250.0
1,2020,3241,-0.208,0.007,-3050,192,-149,43,-0.838,,-14,177,121,111,-0.698,-0.71,179.0
4,2019,3220,-0.024,-0.307,-3109,111,-126,-15,,,-12,481,358,384,0.149,5.162,107.0
3,2019,4648,0.255,-0.037,-4425,223,-169,54,-0.355,-0.216,-7,139,84,62,-0.72,-0.715,171.0
2,2019,4826,0.113,0.179,-4450,376,-307,69,,-0.74,-7,235,169,218,-0.073,-0.408,185.0
1,2019,4095,0.23,0.241,-3671,424,-157,266,0.484,0.853,-7,481,385,369,0.456,0.105,380.0
4,2018,3299,-0.437,-0.109,-2869,430,-286,144,,0.705,-6,168,3,334,1.677,0.503,287.0
3,2018,3703,0.163,-0.146,-3461,242,-158,84,,,-6,243,190,222,1.007,-0.056,224.0
2,2018,4337,0.006,0.303,-4251,86,-189,-103,,,-8,251,188,235,-0.24,-0.071,41.0
1,2018,3328,-0.014,-0.432,-3008,320,-141,179,0.263,,-7,297,189,253,-0.01,1.032,320.0
4,2017,5856,0.219,0.838,-5839,17,-221,-204,,,-9,96,68,125,-0.272,0.127,-59.0
3,2017,3185,-0.332,-0.261,-3087,99,-206,-108,,,-9,125,71,111,-0.112,-0.643,61.0
2,2017,4313,-0.083,0.278,-3911,402,-208,194,0.107,0.366,-10,437,367,310,-0.242,0.21,377.0
1,2017,3375,-0.24,-0.297,-3088,287,-145,142,0.584,,-11,344,275,256,-0.096,0.493,334.0
4,2016,4802,0.189,0.006,-4785,17,-175,-158,,,-12,239,109,171,-0.288,0.375,42.0
3,2016,4772,-0.3,0.015,-4577,195,-202,-7,,,-13,148,61,125,-0.665,-0.695,206.0
2,2016,4703,-0.377,0.059,-4371,332,-157,175,-0.694,0.954,-14,537,443,409,-0.257,0.444,403.0
1,2016,4443,-0.103,0.1,-4212,230,-141,90,-0.535,-0.26,-16,315,245,283,-0.138,0.175,319.0
4,2015,4039,-0.522,-0.408,-3580,459,-338,121,-0.768,-0.586,-17,299,176,241,-0.594,-0.353,318.0
3,2015,6819,-0.284,-0.097,-6268,550,-258,292,0.247,-0.489,-17,570,409,372,0.01,-0.324,542.0
2,2015,7551,-0.017,0.524,-6771,779,-208,572,-0.075,1.966,-18,765,607,550,0.032,0.676,813.0
1,2015,4955,-0.133,-0.414,-4602,353,-160,193,-0.133,-0.631,-18,370,276,328,0.233,-0.446,437.0
4,2014,8451,0.386,-0.113,-7667,784,-262,522,-0.245,1.227,-21,726,580,592,0.205,0.609,772.0
3,2014,9526,0.243,0.24,-9094,432,-197,234,-0.565,-0.621,-22,435,301,368,-0.237,-0.31,481.0
2,2014,7684,0.125,0.345,-6876,808,-190,618,1.185,1.782,-26,805,646,533,0.906,1.002,862.0
1,2014,5713,0.192,-0.063,-5334,379,-157,222,-0.401,-0.679,-27,325,238,266,0.015,-0.458,465.0
4,2013,6096,-0.046,-0.205,-5174,922,-231,692,,0.282,-32,744,533,492,1.423,0.02,935.0
3,2013,7665,0.141,0.122,-6953,712,-173,540,0.247,0.906,-34,665,502,482,0.371,0.723,781.0
2,2013,6830,0.122,0.425,-6336,494,-211,283,-0.303,-0.238,-40,420,291,280,-0.213,0.066,528.0
1,2013,4795,-0.103,-0.25,-4272,523,-151,371,0.822,,-43,407,301,262,0.12,0.293,619.0
4,2012,6389,-0.064,-0.049,-6248,141,-207,-66,,,-47,423,230,203,-0.63,-0.423,267.0
3,2012,6721,0.054,0.104,-6098,622,-190,433,0.266,0.065,-50,479,352,352,0.27,-0.011,772.0
2,2012,6087,-0.224,0.139,-5519,568,-162,406,-0.137,0.993,-65,453,399,356,0.045,0.518,746.0
1,2012,5342,0.641,-0.217,-4983,359,-156,204,0.905,-0.363,-52,340,236,234,1.791,-0.572,510.0
4,2011,6823,0.358,0.07,-6195,628,-308,320,0.137,-0.064,-83,823,564,548,0.894,0.978,737.0
3,2011,6378,0.502,-0.187,-5879,499,-158,342,0.544,-0.274,-59,363,290,277,0.334,-0.186,541.0
2,2011,7842,0.453,1.409,-7222,620,-150,470,1.93,3.397,-28,413,354,340,0.466,3.054,672.0
1,2011,3255,0.499,-0.352,-3048,208,-101,107,0.395,-0.62,-100,122,80,84,-0.513,-0.71,297.0
4,2010,5023,0.513,0.183,-4589,435,-154,281,-0.1,0.271,-63,359,299,289,0.105,0.393,
3,2010,4245,0.377,-0.214,-3914,331,-110,221,0.654,0.378,-3,259,211,208,0.386,-0.105,667.0
2,2010,5399,1.218,1.486,-5129,270,-109,161,-0.056,1.093,-46,265,227,232,0.653,0.346,432.0
1,2010,2171,0.175,-0.346,-2038,133,-56,77,-0.002,-0.754,-29,227,170,173,1.024,-0.341,186.0
4,2009,3320,0.161,0.077,-2903,417,-105,312,1.11,1.335,-48,372,261,262,0.106,0.749,
3,2009,3084,0.167,0.267,-2864,220,-86,134,-0.199,-0.213,-17,183,149,150,0.29,0.067,
