time,open,high,low,close,volume
2024-01-25,36.21,36.51,36.02,36.12,2252073
2024-01-26,36.02,36.61,35.92,36.21,3149562
2024-01-29,36.31,36.51,36.12,36.21,2022985
2024-01-30,36.31,36.9,36.31,36.51,4401841
2024-01-31,36.41,36.7,36.02,36.02,4084740
2024-02-01,36.12,36.61,35.82,36.21,2435168
2024-02-02,36.31,36.31,36.02,36.02,3280993
2024-02-05,36.21,36.41,35.92,36.02,3791399
2024-02-06,36.21,37.0,36.02,36.9,9564654
2024-02-07,37.1,37.1,36.51,36.9,3967554
2024-02-15,38.28,38.37,36.31,36.7,4739310
2024-02-16,36.02,37.0,36.02,36.51,4798817
2024-02-19,36.51,37.29,36.41,36.8,6052533
2024-02-20,33.17,37.29,33.17,36.61,5285602
2024-02-21,36.51,36.8,36.21,36.21,5085745
2024-02-22,32.68,37.0,32.68,36.31,5245630
2024-02-23,35.92,36.61,35.33,35.33,8056844
2024-02-26,35.33,35.62,34.94,35.43,4443302
2024-02-27,35.82,35.92,35.33,35.82,4760324
2024-02-28,35.82,37.78,35.82,36.51,12576757
2024-02-29,36.8,36.9,36.02,36.12,5190256
2024-03-01,36.31,36.61,35.92,36.21,5830248
2024-03-04,36.21,37.0,36.21,36.61,7209237
2024-03-05,36.61,36.8,36.31,36.61,3643722
2024-03-06,36.61,37.39,36.41,36.8,11295552
2024-03-07,36.8,37.78,36.8,37.2,11763285
2024-03-08,37.29,37.49,36.51,36.51,6460239
2024-03-11,36.51,36.61,35.53,35.62,9243475
2024-03-12,35.53,35.92,35.43,35.62,5277063
2024-03-13,35.33,36.21,32.88,36.21,5190132
2024-03-14,36.41,38.18,36.31,37.2,18212087
2024-03-15,37.29,37.88,36.7,37.2,5382266
2024-03-18,37.2,37.59,35.82,36.12,8899297
2024-03-19,36.31,36.9,36.21,36.51,3315437
2024-03-20,36.51,36.9,36.31,36.9,4227071
2024-03-21,36.7,38.08,36.7,37.69,14453784
2024-03-22,37.88,38.18,37.29,37.78,7400223
2024-03-25,37.78,39.55,37.69,38.18,14048229
2024-03-26,34.74,38.67,34.74,38.37,6538530
2024-03-27,38.76,39.55,38.47,38.47,6957774
2024-03-28,38.67,38.86,37.78,38.28,6702297
2024-03-29,38.76,39.26,38.47,38.47,6754269
2024-04-01,38.57,40.43,38.57,39.94,15239975
2024-04-02,39.55,42.98,39.35,42.89,16911545
