date,symbol,asset_on_equity,atr,bbands_lower,bbands_middle,bbands_upper,book_value_per_share,book_value_per_share_change,cci_12,cci_20,change,close,cumulative_return,earning_per_share,ema_12,ema_26,ema_6,eps_change,equity_on_liability,equity_on_total_asset,free_cash_flow,from_financial,from_invest,from_sale,high,high_minus_close,invest_cost,liquidity_day,liquidity_month,liquidity_week,low,low_minus_open,mfi_14,mom_1,mom_3,mom_7,obv,open,operation_expense,operation_profit,out_macd,out_macd_hist,out_macd_signal,payable_on_equity,post_tax_profit,pre_tax_profit,price_to_book,price_to_earning,quarter_operation_profit_growth,quarter_revenue_growth,quarter_share_holder_income_growth,return_day,return_month,return_week,revenue,roa,rocr_12,rocr_3,roe,rsi_12,rsi_14,rsi_6,share_holder_income,sma_100,sma_14,sma_21,sma_3,sma_50,sma_7,stochastic_osc,stochrsi_12,stochrsi_14,stochrsi_6,trix,volatility_day,volatility_month,volatility_week,volume,willr,wma_100,wma_14,wma_21,wma_3,wma_50,wma_7,year_operation_profit_growth,year_revenue_growth,year_share_holder_income_growth
2018-01-01,CMG_RRV,3.2,1189.0999999999983,18696.0,18696.0,18696.0,9880,0.071,100.0,100.0,-2.41,18696.0,0.0,1728,18696.0,18696.0,18696.0,0.048,0.7,0.317,151,208,-50,74,19488.8,0.041097736721512,-67,494480.0,494480.0,494480.0,18299.7,-0.0513669870299523,100.0,0.0,1057.0999999999983,-198.09999999999857,0.0,19290.6,-154,64,0.0,0.0,0.0,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,0.0,-0.0942251461988304,0.0106029810298102,1417,0.062,1.0176722293538725,1.0565415062045356,0.184,100.0,100.0,100.0,51,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,33.32772685224117,0.0,0.0,0.0,0.0,0.032484703378323,0.032484703378323,0.032484703378323,494480.0,-66.67227314775883,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,0.119,0.218,0.185
2018-01-02,CMG_RRV,3.2,1189.0999999999983,18696.0,18696.0,18696.0,9880,0.071,100.0,100.0,-2.41,18696.0,0.0,1728,18696.0,18696.0,18696.0,0.048,0.7,0.317,151,208,-50,74,19488.8,0.041097736721512,-67,494480.0,494480.0,494480.0,18299.7,-0.0513669870299523,100.0,0.0,1057.0999999999983,-198.09999999999857,0.0,19290.6,-154,64,0.0,0.0,0.0,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,0.0,-0.0942251461988304,0.0106029810298102,1417,0.062,1.0176722293538725,1.0565415062045356,0.184,100.0,100.0,100.0,51,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,33.32772685224117,0.0,0.0,0.0,0.0,0.032484703378323,0.032484703378323,0.032484703378323,494480.0,-66.67227314775883,18696.0,18696.0,18696.0,18696.0,18696.0,18696.0,0.119,0.218,0.185
2018-01-03,CMG_RRV,3.2,1222.1666666666654,17990.527707586058,18982.3,19974.07229241394,9880,0.071,100.0,100.0,4.59,19554.9,0.0459403080872915,1728,18828.138461538463,18759.622222222224,18941.4,0.048,0.7,0.317,151,208,-50,74,19984.3,0.0229674796747966,-67,632080.0,632080.0,632080.0,18696.0,0.0,100.0,858.9000000000015,1057.0999999999983,-198.09999999999857,907280.0,18696.0,-154,64,68.51623931623908,54.81299145299126,13.703247863247816,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,0.0459403080872915,-0.0942251461988304,0.0106029810298102,1417,0.062,1.0176722293538725,1.0565415062045356,0.184,100.0,100.0,100.0,51,18982.3,18982.3,18982.3,18982.3,18982.3,18982.3,74.5102695001782,0.0,0.0,0.0,0.0089727164233055,0.032484703378323,0.032484703378323,0.032484703378323,907280.0,-25.48973049982181,19125.45,19125.45,19125.45,19125.45,19125.45,19125.45,0.119,0.218,0.185
2018-01-04,CMG_RRV,3.2,1131.3249999999998,18057.022290025423,19175.0,20292.977709974577,9880,0.071,92.11440544142212,92.11440544142212,1.01,19753.1,0.0565415062045355,1728,18970.44023668639,18833.21316872428,19173.314285714285,0.048,0.7,0.317,151,208,-50,74,20083.4,0.0168909071383644,-67,571627.5,571627.5,571627.5,19224.6,-0.0168909071383644,100.0,198.1999999999971,1057.0999999999983,-198.09999999999857,1297550.0,19554.9,-154,64,137.2270679621106,98.81905607909022,38.40801188302037,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,0.0101355670445768,-0.0942251461988304,0.0106029810298102,1417,0.062,1.0176722293538725,1.0565415062045356,0.184,100.0,100.0,100.0,51,19175.0,19175.0,19175.0,19334.666666666668,19175.0,19175.0,81.48231204798998,0.0,0.0,0.0,0.0256216281623977,0.0241358001994486,0.0241358001994486,0.0241358001994486,390270.0,-18.51768795201002,19376.51,19376.51,19376.51,19510.85,19376.51,19376.51,0.119,0.218,0.185
2018-01-05,CMG_RRV,3.2,1037.1999999999994,18187.468245179287,19158.48,20129.491754820712,9880,0.071,15.98581385525204,15.98581385525204,-3.34,19092.4,0.0212023962344887,1728,18989.20327719618,18852.412193263222,19150.195918367343,0.048,0.7,0.317,151,208,-50,74,19654.0,0.0288165510447025,-67,516876.0,516876.0,516876.0,19092.4,-0.0203398875251425,81.49744302184193,-660.6999999999971,396.4000000000015,-198.09999999999857,999680.0,19488.8,-154,64,136.7910839329561,78.70645763994858,58.08462629300752,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,-0.0334479145045586,-0.0942251461988304,0.0106029810298102,1417,0.062,1.0176722293538725,1.0212023962344887,0.184,54.22485669940046,55.28567896466536,46.73860469401392,51,19158.48,19158.48,19158.48,19466.8,19158.48,19158.48,44.44132982003703,0.0,0.0,0.0,0.0397376828306095,0.0326802614261109,0.0326802614261109,0.0326802614261109,297870.0,-55.558670179962974,19281.806666666664,19281.806666666664,19281.806666666664,19389.716666666667,19281.806666666664,19281.806666666664,0.119,0.218,0.185
2018-01-06,CMG_RRV,3.2,968.938888888888,18219.54116868304,19114.43888888889,20009.336609094746,9880,0.071,-29.5795825898685,-29.5795825898685,-3.263333333333333,18894.233333333337,0.0106029810298102,1728,18974.592516601893,18855.51005549064,19077.06375121477,0.048,0.7,0.317,151,208,-50,74,19455.8,0.0292109388004216,-67,496548.0,496203.3333333333,496203.3333333333,18828.166666666668,-0.0206177523164844,65.65859834129765,-198.16666666666788,-660.6666666666679,-198.09999999999857,606840.0,19224.533333333333,-154,64,119.08246111125482,48.79826785459784,70.28419325665698,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,-0.0103793481524935,-0.0942251461988304,0.0106029810298102,1417,0.062,1.0176722293538725,0.9662147765180764,0.184,46.65474185835918,47.87689661716178,38.196089257536144,51,19114.43888888889,19114.43888888889,19114.43888888889,19246.57777777778,19114.43888888889,19114.43888888889,33.33146455868883,0.0,0.0,0.0,0.0493966433543713,0.0291964457500123,0.0291964457500123,0.0291964457500123,392840.0,-66.66853544131118,19171.071428571428,19171.071428571428,19171.071428571428,19103.43333333333,19171.071428571428,19171.071428571428,0.119,0.218,0.185
2018-01-07,CMG_RRV,3.2,929.6142857142852,18178.664319325315,19054.67142857143,19930.678537817545,9880,0.071,-70.14650053538345,-70.14650053538345,-3.1866666666666665,18696.06666666667,3.5658251320569434e-06,1728,18931.742385842623,18843.69943409627,18968.20744134388,0.048,0.7,0.317,151,208,-50,74,19257.6,0.0296163204455633,-67,495214.0,495004.28571428574,495004.28571428574,18563.93333333333,-0.0209033628219011,53.01274741154382,-198.16666666666424,-1057.0333333333292,-198.09999999999857,119030.0,18960.266666666663,-154,64,88.04295174635627,14.207006791759426,73.83594495459684,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,-0.0104882089244159,-0.0942251461988304,3.5658251320569434e-06,1417,0.062,1.0176722293538725,0.9464877242896896,0.184,40.04737035143848,41.46529084027929,30.41378028638492,51,19054.67142857143,19054.67142857143,19054.67142857143,18894.233333333337,19054.67142857143,19054.67142857143,22.22159929734083,0.0,0.0,0.0,0.0534881482659788,0.0297872380456608,0.026642903378739,0.026642903378739,487810.0,-77.77840070265916,19052.320238095243,19052.320238095243,19052.320238095243,18828.17777777778,19052.320238095243,19052.320238095243,0.119,0.218,0.185
2018-01-08,CMG_RRV,3.2,908.3749999999995,18083.543666612542,18985.075,19886.60633338745,9880,0.071,-102.46281585622212,-102.46281585622212,-3.11,18497.9,-0.0105958493795463,1728,18864.997403405298,18818.08466120025,18833.8338866742,0.048,0.7,0.317,151,208,-50,74,19059.4,0.030033162173727,-67,430314.0,505976.25,505976.25,18299.7,-0.0211970474967907,43.19083814363158,-198.16666666666788,-594.5,-198.09999999999857,-463750.0,18696.0,-154,64,46.91274220504784,-21.5385621996392,68.45130440468704,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,-0.010599377409152,-0.0942251461988304,-0.0540529483658827,1417,0.062,1.0176722293538725,0.9688619555425196,0.184,34.30556824816266,35.915566104274006,23.66380499601996,51,18985.075,18985.075,18985.075,18696.06666666667,18985.075,19026.37142857143,11.111734035992637,0.0,0.0,0.0,0.0515067321277706,0.0154225399487978,0.0246675351477587,0.0246675351477587,582780.0,-88.88826596400736,18929.115740740745,18929.115740740745,18929.115740740745,18630.011111111115,18929.115740740745,18913.12738095238,0.119,0.218,0.185
2018-01-09,CMG_RRV,3.2,866.1666666666663,18069.72343684675,18945.622222222224,19821.521007597697,9880,0.071,-71.02620105748751,-71.02620105748751,0.71,18630.0,-0.0035301668806161,1728,18828.84395672756,18804.152464074305,18775.595633338715,0.048,0.7,0.317,151,208,-50,74,19026.4,0.0212775093934515,-67,446226.0,501960.0,501960.0,18497.9,-0.007090713902308,50.60764330695663,132.09999999999854,-264.2333333333336,-66.0,6080.0,18630.0,-154,64,24.69149265325541,-35.00784940114531,59.69934205440072,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,0.0071413511804041,-0.0942251461988304,-0.0568568984108822,1417,0.062,1.0176722293538725,0.9860151333652066,0.184,40.972851419710125,41.89700120203005,36.76196757598058,51,18945.622222222224,18945.622222222224,18945.622222222224,18607.988888888893,18945.622222222224,19016.94285714285,18.51768795200982,0.1014893194712959,0.0933367860826958,0.1715852169377542,0.0468265853541316,0.0144246894898575,0.0230301772944179,0.0230301772944179,469830.0,-81.48231204799018,18869.2925925926,18869.2925925926,18869.2925925926,18596.97777777777,18869.2925925926,18814.034523809525,0.119,0.218,0.185
2018-01-10,CMG_RRV,3.2,819.1899999999994,18027.84572767015,18900.85,19773.85427232985,9880,0.071,-96.7998519347637,-96.7998519347637,-0.71,18497.9,-0.0105958493795463,1728,18777.9295018464,18781.467096365097,18696.25402381337,0.048,0.7,0.317,151,208,-50,74,18762.1,0.0140815793541233,-67,473146.0,495011.0,495011.0,18365.7,-0.0211276989249603,45.22401222574752,-132.09999999999854,-198.16666666666788,-1057.0,-426390.0,18762.1,-154,64,-3.537594518700644,-50.58954925848109,47.05195473978045,1.5,62,71,2.4,13.7,-0.349,0.036,-0.29,-0.0070907139023079,-0.0942251461988304,-0.0311380444574804,1417,0.062,1.0176722293538725,0.989400622590848,0.184,36.5848001381481,37.82354560403097,29.64150571267997,51,18900.85,18900.85,18900.85,18541.93333333333,18900.85,18865.94285714285,11.111734035992637,0.0346944456205254,0.0297729009022924,0.2590575344053664,0.0390762900226882,0.0076478848423749,0.0216644301690017,0.0216644301690017,432470.0,-88.88826596400736,18801.766666666663,18801.766666666663,18801.766666666663,18541.93333333333,18801.766666666663,18684.27380952381,0.119,0.218,0.185
