date,symbol,asset_on_equity,atr,bbands_lower,bbands_middle,bbands_upper,book_value_per_share,book_value_per_share_change,cci_12,cci_20,change,close,cumulative_return,earning_per_share,ema_12,ema_26,ema_6,eps_change,equity_on_liability,equity_on_total_asset,free_cash_flow,from_financial,from_invest,from_sale,high,high_minus_close,invest_cost,liquidity_day,liquidity_month,liquidity_week,low,low_minus_open,mfi_14,mom_1,mom_3,mom_7,obv,open,operation_expense,operation_profit,out_macd,out_macd_hist,out_macd_signal,payable_on_equity,post_tax_profit,pre_tax_profit,price_to_book,price_to_earning,quarter_operation_profit_growth,quarter_revenue_growth,quarter_share_holder_income_growth,return_day,return_month,return_week,revenue,roa,rocr_12,rocr_3,roe,rsi_12,rsi_14,rsi_6,share_holder_income,sma_100,sma_14,sma_21,sma_3,sma_50,sma_7,stochastic_osc,stochrsi_12,stochrsi_14,stochrsi_6,trix,volatility_day,volatility_month,volatility_week,volume,willr,wma_100,wma_14,wma_21,wma_3,wma_50,wma_7,year_operation_profit_growth,year_revenue_growth,year_share_holder_income_growth
2018-01-01,ITD_RRC,1.9,154.39999999999964,11883.513950741408,8703.8,12868.867001639546,14213,-0.018,-77.65567765567694,-118.87254901960796,1.44,8703.8,0.0,1702,8703.8,8703.8,8703.8,-0.524,1.7,0.515,-93.0,-22,8,48,8703.8,0.0,-2,51330.0,51330.0,51330.0,8549.4,-0.0036012726827732,46.13151757791934,50.0,50.0,-700.0,0.0,8580.3,-24,14,0.0,0.0,0.0,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0041666666666666,-0.0436507936507936,-0.036,113,0.049,0.9757085020242916,1.0041666666666669,0.111,33.847078950100695,35.764594113779765,31.34753333666044,6,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,100.0,0.1129362576775425,0.1003856644369524,0.6662451813744398,0.1476801299349572,0.0184428546838305,0.0159001208047848,0.0122607726185405,51330.0,-0.0,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,-0.785,-0.749,-0.848
2018-01-02,ITD_RRC,1.9,154.39999999999964,8703.8,8703.8,8703.8,14213,-0.018,-77.65567765567694,-118.87254901960796,1.44,8703.8,0.0,1702,8703.8,8703.8,8703.8,-0.524,1.7,0.515,-93.0,-22,8,48,8703.8,0.0,-2,51330.0,51330.0,51330.0,8549.4,-0.0036012726827732,46.13151757791934,0.0,50.0,-700.0,0.0,8580.3,-24,14,0.0,0.0,0.0,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0,-0.0436507936507936,-0.036,113,0.049,0.9757085020242916,1.0041666666666669,0.111,33.847078950100695,35.764594113779765,31.34753333666044,6,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,100.0,0.1129362576775425,0.1003856644369524,0.6662451813744398,0.0,0.0184428546838305,0.0159001208047848,0.0122607726185405,51330.0,-0.0,8703.8,8703.8,8703.8,8703.8,8703.8,8703.8,-0.785,-0.749,-0.848
2018-01-03,ITD_RRC,1.9,246.96666666666653,8602.44328689733,8744.933333333332,8887.423379769334,14213,-0.018,100.0,100.0,1.42,8827.2,0.0141777154805948,1702,8722.784615384615,8712.94074074074,8739.057142857142,-0.524,1.7,0.515,-93.0,-22,8,48,9135.9,0.0352176145114367,-2,48480.0,48480.0,48480.0,8703.8,-0.0070389595573556,100.0,123.40000000000146,50.0,-700.0,42780.0,8765.5,-24,14,9.843874643875097,7.875099715100077,1.9687749287750191,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0141777154805948,-0.0436507936507936,-0.036,113,0.049,0.9757085020242916,1.0041666666666669,0.111,100.0,100.0,100.0,6,8744.933333333332,8744.933333333332,8744.933333333332,8744.933333333332,8744.933333333332,8744.933333333332,47.36572890025594,0.1129362576775425,0.1003856644369524,0.6662451813744398,0.0027690850548101,0.0100251587580621,0.0100251587580621,0.0100251587580621,42780.0,-52.63427109974406,8765.5,8765.5,8765.5,8765.5,8765.5,8765.5,-0.785,-0.749,-0.848
2018-01-04,ITD_RRC,1.9,254.67499999999973,8540.44761776009,8804.075,9067.702382239911,14213,-0.018,86.41145645825888,86.41145645825888,1.75,8981.5,0.0319056044486316,1702,8762.58698224852,8732.834019204389,8808.326530612245,-0.524,1.7,0.515,-93.0,-22,8,48,9105.0,0.0139908464745332,-2,50342.5,50342.5,50342.5,8827.2,0.0,100.0,154.29999999999927,277.7000000000007,-700.0,98710.0,8827.2,-24,14,29.75296304413132,22.22735049228504,7.52561255184628,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0174800616276962,-0.0436507936507936,-0.036,113,0.049,0.9757085020242916,1.0319056044486317,0.111,100.0,100.0,100.0,6,8804.075,8804.075,8804.075,8837.5,8804.075,8804.075,73.67433930093783,0.1129362576775425,0.1003856644369524,0.6662451813744398,0.0107310294315876,0.0092867796789489,0.0092867796789489,0.0092867796789489,55930.0,-26.325660699062173,8851.9,8851.9,8851.9,8883.783333333333,8851.9,8851.9,-0.785,-0.749,-0.848
2018-01-05,ITD_RRC,1.9,265.45999999999987,8538.727097534396,8784.02,9029.312902465605,14213,-0.018,7.254883546206201,7.254883546206201,-3.09,8703.8,0.0,1702,8753.542831133364,8730.683351115174,8778.461807580175,-0.524,1.7,0.515,-93.0,-22,8,48,9012.4,0.0343595167845015,-2,54366.0,54366.0,54366.0,8703.8,-0.0309191115069866,58.70232433268203,-277.7000000000007,0.0,-700.0,28250.0,8981.5,-24,14,22.85948001818906,12.267093973074225,10.592386045114836,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,-0.0309191115069866,-0.0436507936507936,-0.036,113,0.049,0.9757085020242916,1.0,0.111,44.081208088876586,44.913229464953226,38.40844075898028,6,8784.02,8784.02,8784.02,8837.5,8784.02,8784.02,26.32566069906217,0.0,0.0,0.0,0.0155758238757242,0.02207876219674,0.02207876219674,0.02207876219674,70460.0,-73.67433930093783,8802.533333333333,8802.533333333333,8802.533333333333,8816.933333333332,8802.533333333333,8802.533333333333,-0.785,-0.749,-0.848
2018-01-06,ITD_RRC,1.9,260.6499999999999,8545.651607642547,8772.361111111111,8999.070614579676,14213,-0.018,-4.754741240758853,-4.754741240758853,-1.9433333333333327,8714.066666666666,0.0011795614176184,1702,8747.469575061565,8729.45248560047,8760.063195890601,-0.524,1.7,0.515,-93.0,-22,8,48,8940.4,0.0254329977226418,-2,55347.333333333336,54677.77777777778,54677.77777777778,8703.8,-0.0219570298453795,44.17556634812798,10.266666666666424,-113.13333333333505,-700.0,84486.66666666666,8899.2,-24,14,18.017089461094656,5.939762732783855,12.0773267283108,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0011795614176184,-0.0436507936507936,0.0011795614176184,113,0.049,0.9757085020242916,0.9871835538638148,0.111,45.41484191329263,46.17799116183933,40.31125020616656,6,8772.361111111111,8772.361111111111,8772.361111111111,8799.788888888888,8772.361111111111,8772.361111111111,28.076157999431555,0.0238494749052466,0.0229594453369062,0.0308939970124838,0.0183236673028552,0.0191259449001673,0.0191259449001673,0.0191259449001673,56236.66666666666,-71.92384200056844,8777.257142857143,8777.257142857143,8777.257142857143,8755.216666666665,8777.257142857143,8777.257142857143,-0.785,-0.749,-0.848
2018-01-07,ITD_RRC,1.9,246.92857142857144,8555.383140098622,8765.5,8975.616859901378,14213,-0.018,-18.29556685020457,-18.29556685020457,-0.7966666666666664,8724.333333333334,0.0023591228352368,1702,8743.910153257222,8729.073289136237,8749.854663731381,-0.524,1.7,0.515,-93.0,-22,8,48,8868.4,0.0163398322161605,-2,53484.0,52868.57142857143,52868.57142857143,8703.8,-0.012827637831891,37.29648388779511,10.266666666668243,-257.16666666666606,-700.0,126500.0,8816.9,-24,14,14.83686412098541,2.207629914139688,12.629234206845725,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0011781716917476,-0.0436507936507936,0.0023591228352368,113,0.049,0.9757085020242916,0.9713670693462488,0.111,46.91118948631488,47.56702803156364,42.78585335202701,6,8765.5,8765.5,8765.5,8714.066666666666,8765.5,8765.5,29.82665529980125,0.0506087721268412,0.0481748801179411,0.0710716313564503,0.0197432366810135,0.0191272942664162,0.0171098400536971,0.0171098400536971,42013.33333333333,-70.17334470019875,8764.02619047619,8764.02619047619,8764.02619047619,8717.488888888889,8764.02619047619,8764.02619047619,-0.785,-0.749,-0.848
2018-01-08,ITD_RRC,1.9,227.63750000000005,8565.883863329207,8761.6375,8957.391136670794,14213,-0.018,-32.25446817405905,-32.25446817405905,0.35,8734.6,0.0035386842528553,1702,8742.47782198688,8729.482675126144,8745.496188379559,-0.524,1.7,0.515,-93.0,-22,8,48,8796.4,0.0070753096879077,-2,50486.0,49733.75,49733.75,8703.8,-0.0035262061227762,33.820998405474825,10.266666666666424,30.80000000000109,30.80000000000109,154290.0,8734.6,-24,14,12.995146860735986,0.292730123112209,12.702416737623777,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0011767852366941,-0.0436507936507936,-0.0104903027007432,113,0.049,0.9757085020242916,1.0035386842528553,0.111,48.5771500649745,49.08324887183476,45.92449475746897,6,8761.6375,8761.6375,8761.6375,8724.333333333334,8761.6375,8769.9,31.577152600170628,0.0804012716019278,0.0756991082682641,0.1220305848903242,0.0204038277641815,0.0176499882370885,0.0156210718712508,0.0156210718712508,27790.0,-68.42284739982938,8757.487037037037,8757.487037037037,8757.487037037037,8727.755555555557,8757.487037037037,8756.301190476192,-0.785,-0.749,-0.848
2018-01-09,ITD_RRC,1.9,233.21111111111108,8472.585535765862,8731.2,8989.81446423414,14213,-0.018,-130.94843866071187,-130.94843866071187,-2.83,8487.7,-0.0248282359429212,1702,8703.281233988899,8711.572847339023,8671.840134556827,-0.524,1.7,0.515,-93.0,-22,8,48,8765.5,0.0318045474320517,-2,73002.0,62931.11111111111,62931.11111111111,8487.7,-0.0282668925880978,21.75810021940655,-246.89999999999964,-226.36666666666497,-216.09999999999857,-14220.0,8734.6,-24,14,-8.291613350123953,-16.795224070198184,8.503610720074231,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,-0.0282668925880978,-0.0436507936507936,-0.054979680454267,113,0.049,0.9757085020242916,0.9740228442900752,0.111,25.67672201010285,27.23197775740964,16.131053463099434,6,8731.2,8731.2,8731.2,8648.877777777778,8731.2,8739.028571428571,0.0,0.0,0.0,0.0,0.01495225999808,0.0168801316413723,0.0177029895138796,0.0177029895138796,168510.0,-100.0,8703.52962962963,8703.52962962963,8703.52962962963,8609.438888888888,8703.52962962963,8685.75119047619,-0.785,-0.749,-0.848
2018-01-10,ITD_RRC,1.9,228.41000000000005,8418.462985943295,8706.85,8995.237014056705,14213,-0.018,-160.8159213029275,-160.8159213029275,0.0,8487.7,-0.0248282359429212,1702,8670.114890298299,8694.989673462058,8619.22866754059,-0.524,1.7,0.515,-93.0,-22,8,48,8518.6,0.0036273566078932,-2,79444.0,66905.0,66905.0,8333.4,-0.0217406616110629,17.92376481268424,0.0,-236.6333333333332,-339.5,-14220.0,8518.6,-24,14,-24.874783163759275,-26.702715107066805,1.8279319433075305,0.6,12,15,0.7,5.6,-0.402,0.065,-0.669,0.0,-0.0436507936507936,-0.0248282359429212,113,0.049,0.9757085020242916,0.9728766285867116,0.111,25.67672201010285,27.23197775740964,16.131053463099434,6,8706.85,8706.85,8706.85,8570.000000000002,8706.85,8690.528571428573,19.227414330218203,0.0,0.0,0.0,0.0056144791320544,0.0130464882882702,0.0165897810052225,0.0165897810052225,102670.0,-80.77258566978179,8664.287878787878,8664.287878787878,8664.287878787878,8528.85,8664.287878787878,8622.919047619047,-0.785,-0.749,-0.848
