date,symbol,asset_on_equity,atr,bbands_lower,bbands_middle,bbands_upper,book_value_per_share,book_value_per_share_change,cci_12,cci_20,change,close,cumulative_return,earning_per_share,ema_12,ema_26,ema_6,eps_change,equity_on_liability,equity_on_total_asset,free_cash_flow,from_financial,from_invest,from_sale,high,high_minus_close,invest_cost,liquidity_day,liquidity_month,liquidity_week,low,low_minus_open,mfi_14,mom_1,mom_3,mom_7,obv,open,operation_expense,operation_profit,out_macd,out_macd_hist,out_macd_signal,payable_on_equity,post_tax_profit,pre_tax_profit,price_to_book,price_to_earning,quarter_operation_profit_growth,quarter_revenue_growth,quarter_share_holder_income_growth,return_day,return_month,return_week,revenue,roa,rocr_12,rocr_3,roe,rsi_12,rsi_14,rsi_6,share_holder_income,sma_100,sma_14,sma_21,sma_3,sma_50,sma_7,stochastic_osc,stochrsi_12,stochrsi_14,stochrsi_6,trix,volatility_day,volatility_month,volatility_week,volume,willr,wma_100,wma_14,wma_21,wma_3,wma_50,wma_7,year_operation_profit_growth,year_revenue_growth,year_share_holder_income_growth
2018-01-01,NLG_RRV,2.7,401.5,59731.19746146084,17665.5,62011.659681396304,8457,0.049,-33.855799373040746,12.73885350318427,2.33,17665.5,0.0,1549,17665.5,17665.5,17665.5,0.001,0.9,0.369,-1126.0,-164,-14,736,17665.5,0.0,-1,228890.0,228890.0,228890.0,17264.0,0.0,38.63730074908111,0.0,-266.66666666666424,-300.0,0.0,17264.0,-207,333,0.0,0.0,0.0,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0,-0.0016366612111292,-0.008130081300813,1525,0.076,1.020066889632107,0.9956474428726876,0.198,46.65170779439551,48.265433084834015,33.17451419700389,183,17665.5,17665.5,17665.5,17665.5,17665.5,17665.5,100.0,0.0,0.3130070628988481,0.0,0.0375881013072953,0.0009423692635291,0.012495875509366,0.0077635453521814,228890.0,-0.0,17665.5,17665.5,17665.5,17665.5,17665.5,17665.5,0.374,0.768,0.002
2018-01-02,NLG_RRV,2.7,401.5,17665.5,17665.5,17665.5,8457,0.049,-33.855799373040746,12.73885350318427,2.33,17665.5,0.0,1549,17665.5,17665.5,17665.5,0.001,0.9,0.369,-1126.0,-164,-14,736,17665.5,0.0,-1,228890.0,228890.0,228890.0,17264.0,0.0,38.63730074908111,0.0,-266.66666666666424,-300.0,0.0,17264.0,-207,333,0.0,0.0,0.0,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0,-0.0016366612111292,-0.008130081300813,1525,0.076,1.020066889632107,0.9956474428726876,0.198,46.65170779439551,48.265433084834015,33.17451419700389,183,17665.5,17665.5,17665.5,17665.5,17665.5,17665.5,100.0,0.0,0.3130070628988481,0.0,0.0,0.0009423692635291,0.012495875509366,0.0077635453521814,228890.0,-0.0,17665.5,17665.5,17665.5,17665.5,17665.5,17665.5,0.374,0.768,0.002
2018-01-03,NLG_RRV,2.7,353.69999999999953,17665.5,17665.5,17665.5,8457,0.049,100.0,100.0,0.0,17665.5,0.0,1549,17665.5,17665.5,17665.5,0.001,0.9,0.369,-1126.0,-164,-14,736,17923.6,0.0144695164681148,-1,352433.3333333333,352433.3333333333,352433.3333333333,17665.5,-0.0096426068675543,100.0,0.0,-266.66666666666424,-300.0,0.0,17837.5,-207,333,0.0,0.0,0.0,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0,-0.0016366612111292,-0.008130081300813,1525,0.076,1.020066889632107,0.9956474428726876,0.198,46.65170779439551,48.265433084834015,33.17451419700389,183,17665.5,17665.5,17665.5,17665.5,17665.5,17665.5,60.870224378411294,0.0,0.3130070628988481,0.0,0.0,0.0,0.0,0.0,599520.0,-39.12977562158871,17665.5,17665.5,17665.5,17665.5,17665.5,17665.5,0.374,0.768,0.002
2018-01-04,NLG_RRV,2.7,379.9999999999991,17407.425000000003,17751.525,18095.625,8457,0.049,92.38707045987664,92.38707045987664,1.95,18009.6,0.019478644816167,1549,17718.438461538462,17690.98888888889,17763.814285714285,0.001,0.9,0.369,-1126.0,-164,-14,736,18009.6,0.0,-1,415067.5,415067.5,415067.5,17550.7,-0.0064985423565706,100.0,344.09999999999854,344.09999999999854,-300.0,602970.0,17665.5,-207,333,27.449572649573383,21.959658119658705,5.489914529914677,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.019478644816167,-0.0016366612111292,-0.008130081300813,1525,0.076,1.020066889632107,1.019478644816167,0.198,100.0,100.0,100.0,183,17751.525,17751.525,17751.525,17780.2,17751.525,17751.525,100.0,0.0,0.3130070628988481,0.0,0.0038044228156453,0.0112460008280631,0.0112460008280631,0.0112460008280631,602970.0,-0.0,17803.14,17803.14,17803.14,17837.55,17803.14,17803.14,0.374,0.768,0.002
2018-01-05,NLG_RRV,2.7,407.2399999999987,17426.54760357693,17734.32,18042.092396423068,8457,0.049,24.89054951690646,24.89054951690646,-1.91,17665.5,0.0,1549,17710.29408284024,17689.100823045268,17735.724489795917,0.001,0.9,0.369,-1126.0,-164,-14,736,18009.6,0.0191064765458421,-1,408536.0,408536.0,408536.0,17493.4,-0.0286624911158491,75.95545370301772,-344.09999999999854,0.0,-300.0,220560.0,18009.6,-207,333,21.1932597949708,12.562676212044895,8.630583582925903,1.1,291,358,2.3,12.4,3.941,3.065,3.366,-0.0191064765458421,-0.0016366612111292,-0.008130081300813,1525,0.076,1.020066889632107,1.0,0.198,45.833333333333336,46.42857142857143,41.66666666666666,183,17734.32,17734.32,17734.32,17780.2,17734.32,17734.32,53.84924892703873,0.0,0.0,0.0,0.0061819518878625,0.0157526762019013,0.0157526762019013,0.0157526762019013,382410.0,-46.15075107296127,17757.260000000002,17757.260000000002,17757.260000000002,17780.2,17757.260000000002,17757.260000000002,0.374,0.768,0.002
2018-01-06,NLG_RRV,2.7,412.6555555555539,17452.81170411823,17729.222222222223,18005.632740326215,8457,0.049,17.072103817830236,17.072103817830236,-1.0566666666666666,17703.733333333334,0.0021642938684629,1549,17709.284736762253,17690.184712696235,17726.584159378035,0.001,0.9,0.369,-1126.0,-164,-14,736,17933.13333333333,0.0128192948828994,-1,444306.6666666667,408403.8888888889,408403.8888888889,17493.4,-0.0224365601372456,60.46495110986981,38.233333333333576,38.233333333333576,-300.0,628303.3333333333,17894.899999999998,-207,333,19.100024066017795,8.375552386473514,10.724471679544282,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0021642938684629,-0.0016366612111292,0.0021642938684629,1525,0.076,1.020066889632107,1.002164293868463,0.198,49.430255402750525,49.871465295629854,46.51952461799666,183,17729.222222222223,17729.222222222223,17729.222222222223,17792.94444444444,17729.222222222223,17729.222222222223,58.97711015736782,0.0664047151277019,0.0642673521850905,0.0831918505942284,0.0079118809358291,0.0136736287226907,0.0136736287226907,0.0136736287226907,407743.3333333333,-41.02288984263218,17741.966666666667,17741.966666666667,17741.966666666667,17741.966666666664,17741.966666666667,17741.966666666667,0.374,0.768,0.002
2018-01-07,NLG_RRV,2.7,405.59999999999854,17478.531885722146,17731.042857142857,17983.553828563567,8457,0.049,8.60276997671552,8.60276997671552,-0.2033333333333331,17741.966666666667,0.0043285877369261,1549,17714.312725978318,17694.02041299034,17730.979161460502,0.001,0.9,0.369,-1126.0,-164,-14,736,17856.666666666668,0.0064509960517879,-1,485144.0,411928.5714285714,411928.5714285714,17493.4,-0.0161303022463189,49.70578194450916,38.233333333333576,-267.6333333333314,-300.0,1061380.0,17780.2,-207,333,20.29231298797822,7.65427304674715,12.63803994123107,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0021596198165358,-0.0016366612111292,0.0043285877369261,1525,0.076,1.020066889632107,0.9851394071310116,0.198,53.11009538950722,53.33210603829168,52.0985401459855,183,17731.042857142857,17731.042857142857,17731.042857142857,17703.733333333334,17731.042857142857,17731.042857142857,64.10497138769689,0.1343402225755179,0.1288659793814446,0.1788321167883229,0.0095407225968235,0.0136877001211491,0.0122486541678427,0.0122486541678427,433076.6666666667,-35.8950286123031,17741.966666666667,17741.966666666667,17741.966666666667,17716.477777777778,17741.966666666667,17741.966666666667,0.374,0.768,0.002
2018-01-08,NLG_RRV,2.7,390.7499999999986,17500.837810358466,17737.1875,17973.537189641534,8457,0.049,-1.0304882701155276,-1.0304882701155276,0.65,17780.2,0.006492881605389,1549,17724.449229673963,17700.404086102168,17745.042258186073,0.001,0.9,0.369,-1126.0,-164,-14,736,17780.2,0.0,-1,456922.0,417738.75,417738.75,17493.4,-0.0097421527836743,41.83235534815739,38.233333333333576,114.70000000000071,114.70000000000071,1519790.0,17665.5,-207,333,24.04514357179505,9.125682904451184,14.919460667343868,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0021549659094539,-0.0016366612111292,0.006492881605389,1525,0.076,1.020066889632107,1.006492881605389,0.198,56.8232165978602,56.77522592830638,58.202855474762615,183,17737.1875,17737.1875,17737.1875,17741.966666666667,17737.1875,17747.428571428572,69.23283261802598,0.2028901525758806,0.193137550661719,0.2834775224245019,0.011435621105571,0.0136846600457781,0.0111934637801078,0.0111934637801078,458410.0,-30.767167381974016,17750.462962962964,17750.462962962964,17750.462962962964,17754.71111111111,17750.462962962964,17754.255952380954,0.374,0.768,0.002
2018-01-09,NLG_RRV,2.7,391.9444444444432,17428.81451179871,17783.38888888889,18137.96326597907,8457,0.049,204.6090667156104,204.6090667156104,2.1,18153.0,0.0275961620106988,1549,17790.38011741643,17733.92970935386,17861.601612990053,0.001,0.9,0.369,-1126.0,-164,-14,736,18181.7,0.0015885403694048,-1,492848.0,458278.8888888889,458278.8888888889,17837.5,-0.0126972529875076,54.41846604096122,372.7999999999993,449.2666666666664,487.5,2302390.0,18066.9,-207,333,56.450408062570204,33.22475791618107,23.22565014638913,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0209671432267353,-0.0016366612111292,0.007962420042644,1525,0.076,1.020066889632107,1.0253769449758243,0.198,77.42418465793774,76.38082985416477,84.74335355105617,183,17783.38888888889,17783.38888888889,17783.38888888889,17891.722222222223,17783.38888888889,17817.071428571428,96.87261632341716,0.5832157167619275,0.5591088239444091,0.7384574894466773,0.0175247655366916,0.0141841543495151,0.0125433914261261,0.0125433914261261,782600.0,-3.1273836765828382,17830.97037037037,17830.97037037037,17830.97037037037,17960.227777777778,17830.97037037037,17855.648809523813,0.374,0.768,0.002
2018-01-10,NLG_RRV,2.7,455.98999999999904,17100.806462201777,17897.78,18694.75353779822,8457,0.049,264.2844572878749,264.2844572878749,4.27,18927.3,0.071427358410461,1549,17965.29086858313,17822.32750866098,18166.086866421465,0.001,0.9,0.369,-1126.0,-164,-14,736,19185.4,0.0141509951203466,-1,768366.0,588451.0,588451.0,18239.0,0.0,69.73719240385262,774.2999999999993,1185.333333333332,1261.7999999999993,4062390.0,18239.0,-207,333,142.96335992215245,95.79016782061063,47.1731921015418,1.1,291,358,2.3,12.4,3.941,3.065,3.366,0.0426541067592132,-0.0016366612111292,0.071427358410461,1525,0.076,1.020066889632107,1.0668095795467996,0.198,89.60202318558687,88.68270603980588,94.64000465346427,183,17897.78,17897.78,17897.78,18286.83333333333,17897.78,17997.32857142857,86.56708649942739,0.8080373511185269,0.7887438460763764,1.0,0.0346808945602239,0.0179595398663978,0.0175557856817592,0.0175557856817592,1760000.0,-13.432913500572605,18030.303030303032,18030.303030303032,18030.303030303032,18478.016666666663,18030.303030303032,18133.20595238095,0.374,0.768,0.002
