date,symbol,asset_on_equity,atr,bbands_lower,bbands_middle,bbands_upper,book_value_per_share,book_value_per_share_change,cci_12,cci_20,change,close,cumulative_return,earning_per_share,ema_12,ema_26,ema_6,eps_change,equity_on_liability,equity_on_total_asset,free_cash_flow,from_financial,from_invest,from_sale,high,high_minus_close,invest_cost,liquidity_day,liquidity_month,liquidity_week,low,low_minus_open,mfi_14,mom_1,mom_3,mom_7,obv,open,operation_expense,operation_profit,out_macd,out_macd_hist,out_macd_signal,payable_on_equity,post_tax_profit,pre_tax_profit,price_to_book,price_to_earning,quarter_operation_profit_growth,quarter_revenue_growth,quarter_share_holder_income_growth,return_day,return_month,return_week,revenue,roa,rocr_12,rocr_3,roe,rsi_12,rsi_14,rsi_6,share_holder_income,sma_100,sma_14,sma_21,sma_3,sma_50,sma_7,stochastic_osc,stochrsi_12,stochrsi_14,stochrsi_6,trix,volatility_day,volatility_month,volatility_week,volume,willr,wma_100,wma_14,wma_21,wma_3,wma_50,wma_7,year_operation_profit_growth,year_revenue_growth,year_share_holder_income_growth
2018-01-01,POT_RRC,5.7,860.7000000000007,20179.20657692865,18075.3,21949.36485164278,16925,0.037,16.46746347941535,-47.15447154471577,-4.55,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18936.0,0.0454531051964512,-10,2810.0,2810.0,2810.0,18075.3,-0.0454531051964512,46.34576479786338,-300.0,-33.33333333333212,500.0,0.0,18936.0,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,-0.0142857142857142,-0.0675675675675675,-0.0024096385542168,499,0.021,0.9833729216152018,0.9983922829581994,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.6931344722103152,0.7059202696206748,0.0,-0.0870457557337167,0.0097394854385166,0.0146857152962697,0.0113131464143617,2810.0,-100.0,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,1.019,0.893,0.738
2018-01-02,POT_RRC,5.7,860.7000000000007,18075.3,18075.3,18075.3,16925,0.037,16.46746347941535,-47.15447154471577,-4.55,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18936.0,0.0454531051964512,-10,2810.0,2810.0,2810.0,18075.3,-0.0454531051964512,46.34576479786338,0.0,-33.33333333333212,500.0,0.0,18936.0,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0,-0.0675675675675675,-0.0024096385542168,499,0.021,0.9833729216152018,0.9983922829581994,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,0.0,0.6931344722103152,0.7059202696206748,0.0,0.0,0.0097394854385166,0.0146857152962697,0.0113131464143617,2810.0,-100.0,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,1.019,0.893,0.738
2018-01-03,POT_RRC,5.7,860.700000000002,18075.3,18075.3,18075.3,16925,0.037,-99.99999999999906,-99.99999999999906,-2.275,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18505.65,0.0238087334650048,-10,2425.0,2425.0,2425.0,17644.949999999997,-0.0238087334650048,0.0,0.0,-33.33333333333212,500.0,0.0,18075.3,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0,-0.0675675675675675,-0.0024096385542168,499,0.021,0.9833729216152018,0.9983922829581994,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,33.33333333333343,0.6931344722103152,0.7059202696206748,0.0,0.0,0.0,0.0,0.0,1655.0,-66.66666666666657,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,1.019,0.893,0.738
2018-01-04,POT_RRC,5.7,860.7000000000016,18075.3,18075.3,18075.3,16925,0.037,-111.11111111111168,-111.11111111111168,0.0,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18075.3,0.0,-10,1943.75,1943.75,1943.75,17214.6,0.0,0.0,0.0,0.0,500.0,0.0,17214.6,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0,-0.0675675675675675,-0.0024096385542168,499,0.021,0.9833729216152018,1.0,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,50.0,0.6931344722103152,0.7059202696206748,0.0,0.0,0.0,0.0,0.0,500.0,-50.0,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,1.019,0.893,0.738
2018-01-05,POT_RRC,5.7,817.6650000000016,18075.3,18075.3,18075.3,16925,0.037,-70.17543859649129,-70.17543859649129,0.0,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18075.3,0.0,-10,1631.0,1631.0,1631.0,17429.774999999998,0.0,14.884851234445096,0.0,0.0,500.0,0.0,17429.774999999998,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0,-0.0675675675675675,-0.0024096385542168,499,0.021,0.9833729216152018,1.0,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,50.0,0.6931344722103152,0.7059202696206748,0.0,0.0,0.0,0.0,0.0,380.0,-50.0,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,1.019,0.893,0.738
2018-01-06,POT_RRC,5.7,753.1125000000017,18075.3,18075.3,18075.3,16925,0.037,-43.137254901959885,-43.137254901959885,0.0,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18075.3,0.0,-10,1121.0,1402.5,1402.5,17644.949999999997,0.0,22.78073120769948,0.0,0.0,500.0,0.0,17644.949999999997,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0,-0.0675675675675675,0.0,499,0.021,0.9833729216152018,1.0,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,50.0,0.6931344722103152,0.7059202696206748,0.0,0.0,0.0,0.0,0.0,260.0,-50.0,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,1.019,0.893,0.738
2018-01-07,POT_RRC,5.7,676.2642857142871,18075.3,18075.3,18075.3,16925,0.037,-18.81720430107471,-18.81720430107471,0.0,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18075.3,0.0,-10,587.0,1222.142857142857,1222.142857142857,17860.125,0.0,26.468433361832023,0.0,0.0,500.0,0.0,17860.125,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0,-0.0675675675675675,0.0,499,0.021,0.9833729216152018,1.0,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,50.0,0.6931344722103152,0.7059202696206748,0.0,0.0,0.0,0.0,0.0,140.0,-50.0,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,1.019,0.893,0.738
2018-01-08,POT_RRC,5.7,591.7312500000012,18075.3,18075.3,18075.3,16925,0.037,7.40740740740651,7.40740740740651,0.0,18075.3,0.0,1634,18075.3,18075.3,18075.3,0.109,0.2,0.176,76,94,-10,-45,18075.3,0.0,-10,260.0,1071.875,1071.875,18075.3,0.0,26.968661519322097,0.0,0.0,0.0,0.0,18075.3,-55,17,0.0,0.0,0.0,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0,-0.0675675675675675,0.0,499,0.021,0.9833729216152018,1.0,0.098,43.49607469033288,43.339718018952176,42.07620594348039,7,18075.3,18075.3,18075.3,18075.3,18075.3,18075.3,50.0,0.6931344722103152,0.7059202696206748,0.0,0.0,0.0,0.0,0.0,20.0,-50.0,18075.300000000003,18075.300000000003,18075.300000000003,18075.3,18075.300000000003,18075.3,1.019,0.893,0.738
2018-01-09,POT_RRC,5.7,621.6166666666678,17405.86666666667,17979.666666666668,18553.466666666667,16925,0.037,-212.03007518797023,-212.03007518797023,-4.76,17214.6,-0.0476174669300094,1634,17942.884615384613,18011.544444444444,17829.385714285712,0.109,0.2,0.176,76,94,-10,-45,17214.6,0.0,-10,380.0,1075.0,1075.0,17214.6,0.0,19.88336161724476,-860.7000000000007,-860.7000000000007,-860.7000000000007,-1100.0,17214.6,-55,17,-68.65982905983037,-54.927863247864295,-13.731965811966075,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,-0.0476174669300094,-0.0675675675675675,-0.0476174669300094,499,0.021,0.9833729216152018,0.9523825330699904,0.098,0.0,0.0,0.0,7,17979.666666666668,17979.666666666668,17979.666666666668,17788.399999999998,17979.666666666668,17952.342857142856,0.0,0.6931344722103152,0.7059202696206748,0.0,-0.0093002865097613,0.0212951785943698,0.0168353168845679,0.0168353168845679,1100.0,-100.0,17903.16,17903.16,17903.16,17644.949999999997,17903.16,17860.124999999996,1.019,0.893,0.738
2018-01-10,POT_RRC,5.7,645.5250000000011,17391.41953648829,17954.8,18518.180463511708,16925,0.037,-116.34890365853448,-116.34890365853448,3.0,17731.0,-0.0190480932543304,1634,17910.28698224852,17990.763374485596,17801.27551020408,0.109,0.2,0.176,76,94,-10,-45,17731.0,0.0,-10,424.0,1027.5,1027.5,16870.3,0.0,30.04222316978823,516.4000000000015,-344.2999999999993,-344.2999999999993,-500.0,16870.3,-55,17,-80.47639223707665,-53.39554114008845,-27.08085109698819,4.7,7,9,1.1,11.6,-0.036,-0.012,-0.271,0.0299977925714221,-0.0675675675675675,-0.0190480932543304,499,0.021,0.9833729216152018,0.9809519067456696,0.098,41.488421534030905,40.90815469683291,45.65121301289423,7,17954.8,17954.8,17954.8,17673.63333333333,17954.8,17903.157142857144,41.66626325216636,1.0,1.0,1.0,-0.0188350480055388,0.027862161308341,0.0197888729675271,0.0197888729675271,600.0,-58.33373674783364,17871.85818181818,17871.85818181818,17871.85818181818,17616.25,17871.85818181818,17804.789285714283,1.019,0.893,0.738
