date,symbol,asset_on_equity,atr,bbands_lower,bbands_middle,bbands_upper,book_value_per_share,book_value_per_share_change,cci_12,cci_20,change,close,cumulative_return,earning_per_share,ema_12,ema_26,ema_6,eps_change,equity_on_liability,equity_on_total_asset,free_cash_flow,from_financial,from_invest,from_sale,high,high_minus_close,invest_cost,liquidity_day,liquidity_month,liquidity_week,low,low_minus_open,mfi_14,mom_1,mom_3,mom_7,obv,open,operation_expense,operation_profit,out_macd,out_macd_hist,out_macd_signal,payable_on_equity,post_tax_profit,pre_tax_profit,price_to_book,price_to_earning,quarter_operation_profit_growth,quarter_revenue_growth,quarter_share_holder_income_growth,return_day,return_month,return_week,revenue,roa,rocr_12,rocr_3,roe,rsi_12,rsi_14,rsi_6,share_holder_income,sma_100,sma_14,sma_21,sma_3,sma_50,sma_7,stochastic_osc,stochrsi_12,stochrsi_14,stochrsi_6,trix,volatility_day,volatility_month,volatility_week,volume,willr,wma_100,wma_14,wma_21,wma_3,wma_50,wma_7,year_operation_profit_growth,year_revenue_growth,year_share_holder_income_growth
2018-01-01,PVB_RRC,1.1,863.7000000000007,14913.803268348329,17101.7,16671.91101736596,18649,0.102,-149.2857142857143,-164.6423751686908,-2.94,17101.7,0.0,2551,17101.7,17101.7,17101.7,2.24,11.3,0.919,163,0,29,-33,17792.7,0.0394100469954829,-4,398340.0,398340.0,398340.0,16929.0,-0.0344823652872198,40.03104746531504,200.0,-350.0,-1400.0,0.0,17533.6,-20,-39,0.0,0.0,0.0,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.0132450331125828,-0.1257142857142856,-0.0555555555555555,9,0.125,0.9708121827411168,0.977635782747604,0.147,36.0295134847029,36.88159035437326,33.55759025538524,37,17101.7,17101.7,17101.7,17101.7,17101.7,17101.7,19.99536876230179,0.1874196298602657,0.1821360478161452,0.5057371121903993,-0.2154102990388651,0.0137204595784156,0.0297719881860682,0.0312601159745652,398340.0,-80.0046312376982,17101.7,17101.7,17101.7,17101.7,17101.7,17101.7,1.278,2.869,0.515
2018-01-02,PVB_RRC,1.1,863.7000000000007,17101.7,17101.7,17101.7,18649,0.102,-149.2857142857143,-164.6423751686908,-2.94,17101.7,0.0,2551,17101.7,17101.7,17101.7,2.24,11.3,0.919,163,0,29,-33,17792.7,0.0394100469954829,-4,398340.0,398340.0,398340.0,16929.0,-0.0344823652872198,40.03104746531504,0.0,-350.0,-1400.0,0.0,17533.6,-20,-39,0.0,0.0,0.0,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.0,-0.1257142857142856,-0.0555555555555555,9,0.125,0.9708121827411168,0.977635782747604,0.147,36.0295134847029,36.88159035437326,33.55759025538524,37,17101.7,17101.7,17101.7,17101.7,17101.7,17101.7,19.99536876230179,0.1874196298602657,0.1821360478161452,0.5057371121903993,0.0,0.0137204595784156,0.0297719881860682,0.0312601159745652,398340.0,-80.0046312376982,17101.7,17101.7,17101.7,17101.7,17101.7,17101.7,1.278,2.869,0.515
2018-01-03,PVB_RRC,1.1,1065.2333333333347,16392.285145001842,17389.600000000002,18386.91485499816,18649,0.102,100.0,100.0,5.05,17965.4,0.0505037510890731,2551,17234.576923076926,17165.67777777778,17348.47142857143,2.24,11.3,0.919,163,0,29,-33,18310.9,0.0204087660228011,-4,368710.0,368710.0,368710.0,16842.6,-0.005103668261563,100.0,863.7000000000007,-350.0,-1400.0,309450.0,16929.0,-20,-39,68.89914529914677,55.11931623931741,13.779829059829352,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.0505037510890731,-0.1257142857142856,-0.0555555555555555,9,0.125,0.9708121827411168,0.977635782747604,0.147,100.0,100.0,100.0,37,17389.600000000002,17389.600000000002,17389.600000000002,17389.600000000002,17389.600000000002,17389.600000000002,76.46938636518428,0.1874196298602657,0.1821360478161452,0.5057371121903993,0.0098640138845862,0.035711544870441,0.035711544870441,0.035711544870441,309450.0,-23.53061363481573,17533.550000000003,17533.550000000003,17533.550000000003,17533.550000000003,17533.550000000003,17533.550000000003,1.278,2.869,0.515
2018-01-04,PVB_RRC,1.1,971.6750000000012,16345.936110729956,17641.525,18937.113889270047,18649,0.102,127.27476861110524,127.27476861110524,2.4,18397.3,0.0757585503195588,2551,17413.457396449707,17256.909053497944,17648.13673469388,2.24,11.3,0.919,163,0,29,-33,18656.4,0.0140835883526388,-4,399660.0,399660.0,399660.0,18224.5,-0.0093926826219064,100.0,431.8999999999978,1295.5999999999983,-1400.0,801960.0,18397.3,-20,-39,156.5483429517626,114.2148111135466,42.333531838216,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.024040655927505,-0.1257142857142856,-0.0555555555555555,9,0.125,0.9708121827411168,1.0757585503195588,0.147,100.0,100.0,100.0,37,17641.525,17641.525,17641.525,17821.46666666667,17641.525,17641.525,85.71507332671729,0.1874196298602657,0.1821360478161452,0.5057371121903993,0.0308225740787593,0.0252615564874835,0.0252615564874835,0.0252615564874835,492510.0,-14.284926673282708,17879.05,17879.05,17879.05,18037.4,17879.05,17879.05,1.278,2.869,0.515
2018-01-05,PVB_RRC,1.1,932.8000000000008,16547.495037980938,17706.3,18865.10496201906,18649,0.102,57.43799400381573,57.43799400381573,-2.35,17965.4,0.0505037510890731,2551,17498.371643149752,17309.38986434995,17738.7833819242,2.24,11.3,0.919,163,0,29,-33,18570.0,0.0328635180162305,-4,372218.0,372218.0,372218.0,17792.7,-0.0328635180162305,75.38305559185767,-431.8999999999978,863.7000000000007,-1400.0,539510.0,18397.3,-20,-39,188.9817787998036,117.31859756927004,71.66318123053352,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,-0.023476270974545,-0.1257142857142856,-0.0555555555555555,9,0.125,0.9708121827411168,1.0505037510890731,0.147,69.49304210264552,70.3150902987599,63.431256166615775,37,17706.3,17706.3,17706.3,18109.36666666667,17706.3,17706.3,61.90318667989862,0.0,0.0,0.0,0.0533065627489559,0.0317685834363663,0.0317685834363663,0.0317685834363663,262450.0,-38.09681332010138,17907.833333333332,17907.833333333332,17907.833333333332,18109.36666666667,17907.833333333332,17907.833333333332,1.278,2.869,0.515
2018-01-06,PVB_RRC,1.1,902.0888888888894,16690.846899454267,17759.083333333332,18827.3197672124,18649,0.102,40.77199831591901,40.77199831591901,-1.2466666666666668,18023.0,0.0538718373027242,2551,17579.08369804979,17362.2498743981,17819.988129945858,2.24,11.3,0.919,163,0,29,-33,18426.066666666666,0.0221867895759519,-4,347663.3333333334,356109.44444444444,356109.44444444444,17677.533333333333,-0.0269408395090723,59.94610677501142,57.59999999999855,57.59999999999855,-1400.0,815076.6666666667,18166.966666666667,-20,-39,216.83382365169007,116.13651393692533,100.69730971476488,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.0032061629576851,-0.1257142857142856,0.0538718373027242,9,0.125,0.9708121827411168,1.0032061629576852,0.147,70.89260428651598,71.6118514389794,65.76849629574278,37,17759.083333333332,17759.083333333332,17759.083333333332,18128.566666666666,17759.083333333332,17759.083333333332,65.07884000441061,0.0458768189401089,0.0436841867895366,0.0639136017298274,0.0763782198081264,0.0278426690750504,0.0278426690750504,0.0278426690750504,275566.6666666667,-34.92115999558939,17940.738095238095,17940.738095238095,17940.738095238095,18066.18333333333,17940.738095238095,17940.738095238095,1.278,2.869,0.515
2018-01-07,PVB_RRC,1.1,876.0428571428575,16800.02116846707,17805.014285714286,18810.007402961503,18649,0.102,27.48361069087279,27.48361069087279,-0.1433333333333335,18080.6,0.0572399235163756,2551,17656.24005219598,17415.460994813056,17894.448664247044,2.24,11.3,0.919,163,0,29,-33,18282.13333333333,0.0112358506520175,-4,325732.0,346477.14285714284,346477.14285714284,17562.36666666667,-0.0208660488125788,49.390035671265686,57.60000000000218,-316.6999999999971,-1400.0,1103760.0,17936.63333333333,-20,-39,240.77905738292247,112.06539813452608,128.7136592483964,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.003195916329135,-0.1257142857142856,0.0572399235163756,9,0.125,0.9708121827411168,0.9827855174400592,0.147,72.38958726615945,72.97408796530402,68.57993373771997,37,17805.014285714286,17805.014285714286,17805.014285714286,18023.0,17805.014285714286,17805.014285714286,68.25449332892279,0.0949470338294569,0.0895740527192185,0.1407944881717233,0.0993322481576353,0.0275664902665678,0.0250987638372833,0.0250987638372833,288683.3333333333,-31.745506671077205,17975.703571428574,17975.703571428574,17975.703571428574,18042.2,17975.703571428574,17975.703571428574,1.278,2.869,0.515
2018-01-08,PVB_RRC,1.1,852.9125000000004,16886.855114933307,17846.662500000002,18806.469885066697,18649,0.102,14.43887721566771,14.43887721566771,0.96,18138.2,0.0606080097300267,2551,17730.38773647352,17468.997217419495,17964.0919030336,2.24,11.3,0.919,163,0,29,-33,18138.2,0.0,-4,324202.0,340892.5,340892.5,17447.2,-0.014633209648543,41.73550349418856,57.59999999999855,172.79999999999927,1036.5,1405560.0,17706.3,-20,-39,261.3905190540245,106.14148784450244,155.24903120952203,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.0031857349866706,-0.1257142857142856,0.0096184888730559,9,0.125,0.9708121827411168,1.009618488873056,0.147,73.9716057586825,74.39196823235832,71.82011763148498,37,17846.662500000002,17846.662500000002,17846.662500000002,18080.6,17846.662500000002,17953.085714285717,71.43014665343478,0.1468046624349049,0.1373383976784713,0.2293997711020871,0.1216506542171202,0.0168754057430303,0.0230389797798004,0.0230389797798004,301800.0,-28.569853346565218,18011.81388888889,18011.81388888889,18011.81388888889,18099.800000000003,18011.81388888889,18059.0,1.278,2.869,0.515
2018-01-09,PVB_RRC,1.1,969.2777777777782,16564.8600458933,18042.2,19519.5399541067,18649,0.102,177.9688068953636,177.9688068953636,8.1,19606.5,0.1464649713186407,2551,18019.02039240067,17627.330756869902,18433.35135930972,2.24,11.3,0.919,163,0,29,-33,19606.5,0.0,-4,341352.0,367266.6666666667,367266.6666666667,17706.3,-0.0238116240861828,55.679379328145394,1468.2999999999993,1583.5,2504.8,1983820.0,18138.2,-20,-39,391.689635530769,189.1524834569976,202.53715207377144,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.0809507007310537,-0.1257142857142856,0.0657270360324613,9,0.125,0.9708121827411168,1.0878599567219664,0.147,90.45236823403224,89.93046268747892,93.97904021115744,37,18042.2,18042.2,18042.2,18608.43333333333,18042.2,18310.914285714283,100.0,0.6870342890925968,0.660785988104238,0.8353522938530388,0.1590136154647092,0.0394820357958857,0.033288393679075,0.033288393679075,578260.0,-0.0,18330.75111111112,18330.75111111112,18330.75111111112,18862.75,18330.75111111112,18472.35357142857,1.278,2.869,0.515
2018-01-10,PVB_RRC,1.1,993.2700000000004,16243.316503279984,18276.36,20309.403496720017,18649,0.102,228.23122068592525,228.23122068592525,3.96,20383.8,0.1919165930872368,2551,18382.832639723645,17831.513663768426,18990.62239950694,2.24,11.3,0.919,163,0,29,-33,20815.7,0.021010283801796,-4,367834.0,370026.0,370026.0,19865.6,-0.0336145082357977,62.29061281489648,777.2999999999993,2303.199999999997,2418.399999999998,2378680.0,20556.6,-20,-39,551.3189759552188,279.02545910515784,272.29351685006094,0.1,37,38,0.9,6.9,-0.481,-0.228,1.169,0.0396450156835743,-0.1257142857142856,0.1346143141817046,9,0.125,0.9708121827411168,1.1273851531475725,0.147,93.1614337974172,92.65341493196092,96.1959808463234,37,18276.36,18276.36,18276.36,19376.166666666668,18276.36,18656.4,89.12939518260298,0.7758358527391607,0.7525144882710496,1.0,0.2132354683509252,0.0345175142297861,0.0319860556603467,0.0319860556603467,394860.0,-10.870604817397023,18704.032727272726,18704.032727272726,18704.032727272726,19750.43333333333,18704.032727272726,18990.575000000004,1.278,2.869,0.515
