date,symbol,asset_on_equity,atr,bbands_lower,bbands_middle,bbands_upper,book_value_per_share,book_value_per_share_change,cci_12,cci_20,change,close,cumulative_return,earning_per_share,ema_12,ema_26,ema_6,eps_change,equity_on_liability,equity_on_total_asset,free_cash_flow,from_financial,from_invest,from_sale,high,high_minus_close,invest_cost,liquidity_day,liquidity_month,liquidity_week,low,low_minus_open,mfi_14,mom_1,mom_3,mom_7,obv,open,operation_expense,operation_profit,out_macd,out_macd_hist,out_macd_signal,payable_on_equity,post_tax_profit,pre_tax_profit,price_to_book,price_to_earning,quarter_operation_profit_growth,quarter_revenue_growth,quarter_share_holder_income_growth,return_day,return_month,return_week,revenue,roa,rocr_12,rocr_3,roe,rsi_12,rsi_14,rsi_6,share_holder_income,sma_100,sma_14,sma_21,sma_3,sma_50,sma_7,stochastic_osc,stochrsi_12,stochrsi_14,stochrsi_6,trix,volatility_day,volatility_month,volatility_week,volume,willr,wma_100,wma_14,wma_21,wma_3,wma_50,wma_7,year_operation_profit_growth,year_revenue_growth,year_share_holder_income_growth
2018-01-01,VNM_RRV,1.5,2698.0,40252.33449775648,172881.0,41033.37978795781,11184,-0.026,-70.58823529411465,-76.01572739187432,1.39,172881.0,0.0,4926,172881.0,172881.0,172881.0,-0.008,2.2,0.674,10092.0,-307,-446,1046,173208.0,0.0018959599239296,-1015,447310.0,447310.0,447310.0,170510.0,-0.011375759543578,47.6791600594735,0.0,0.0,-50.0,0.0,172472.0,-3728,1876,0.0,0.0,0.0,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,0.0,-0.031063321385902,-0.0024600246002459,12350,0.322,1.006203473945409,1.0,0.452,40.46322977443814,41.28961062367794,33.821346499429026,1745,172881.0,172881.0,172881.0,172881.0,172881.0,172881.0,87.87991104521868,0.1732203572935015,0.6391788705758706,4.2539024931237564e-16,-0.0291481243004709,0.0011001564464938,0.0064147323309868,0.0031601115189273,447310.0,-12.12008895478132,172881.0,172881.0,172881.0,172881.0,172881.0,172881.0,-0.058,0.046,-0.046
2018-01-02,VNM_RRV,1.5,2698.0,172881.0,172881.0,172881.0,11184,-0.026,-70.58823529411465,-76.01572739187432,1.39,172881.0,0.0,4926,172881.0,172881.0,172881.0,-0.008,2.2,0.674,10092.0,-307,-446,1046,173208.0,0.0018959599239296,-1015,447310.0,447310.0,447310.0,170510.0,-0.011375759543578,47.6791600594735,0.0,0.0,-50.0,0.0,172472.0,-3728,1876,0.0,0.0,0.0,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,0.0,-0.031063321385902,-0.0024600246002459,12350,0.322,1.006203473945409,1.0,0.452,40.46322977443814,41.28961062367794,33.821346499429026,1745,172881.0,172881.0,172881.0,172881.0,172881.0,172881.0,87.87991104521868,0.1732203572935015,0.6391788705758706,4.2539024931237564e-16,0.0,0.0011001564464938,0.0064147323309868,0.0031601115189273,447310.0,-12.12008895478132,172881.0,172881.0,172881.0,172881.0,172881.0,172881.0,-0.058,0.046,-0.046
2018-01-03,VNM_RRV,1.5,2752.333333333333,171270.29891090494,173534.66666666666,175799.03442242838,11184,-0.026,99.99999999999912,99.99999999999912,1.13,174842.0,0.0113430625690504,4926,173182.6923076923,173026.25925925927,173441.2857142857,-0.008,2.2,0.674,10092.0,-307,-446,1046,175742.0,0.0051571202640445,-1015,521153.3333333333,521153.3333333333,521153.3333333333,173371.0,-0.00656100300259,100.0,1961.0,0.0,-50.0,668840.0,174516.0,-3728,1876,156.43304843304213,125.1464387464337,31.28660968660843,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,0.0113430625690504,-0.031063321385902,-0.0024600246002459,12350,0.322,1.006203473945409,1.0,0.452,100.0,100.0,100.0,1745,173534.66666666666,173534.66666666666,173534.66666666666,173534.66666666666,173534.66666666666,173534.66666666666,82.79816513761467,0.1732203572935015,0.6391788705758706,4.2539024931237564e-16,0.0022154419080155,0.0080207564619989,0.0080207564619989,0.0080207564619989,668840.0,-17.201834862385322,173861.5,173861.5,173861.5,173861.5,173861.5,173861.5,-0.058,0.046,-0.046
2018-01-04,VNM_RRV,1.5,2452.5,171289.87811011742,174045.5,176801.12188988258,11184,-0.026,79.4048936431821,79.4048936431821,0.42,175578.0,0.0156003262359658,4926,173551.20118343196,173215.27709190673,174051.77551020408,-0.008,2.2,0.674,10092.0,-307,-446,1046,175742.0,0.0009415060652509,-1015,602170.0,602170.0,602170.0,174189.0,0.0,100.0,736.0,2697.0,-50.0,1514060.0,174189.0,-3728,1876,335.9240915252303,243.70998547089752,92.2141060543328,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,0.0042095148762884,-0.031063321385902,-0.0024600246002459,12350,0.322,1.006203473945409,1.015600326235966,0.452,100.0,100.0,100.0,1745,174045.5,174045.5,174045.5,174433.66666666666,174045.5,174045.5,96.86544342507644,0.1732203572935015,0.6391788705758706,4.2539024931237564e-16,0.0066468845606237,0.0057340007357283,0.0057340007357283,0.0057340007357283,845220.0,-3.134556574923548,174548.1,174548.1,174548.1,174883.16666666666,174548.1,174548.1,-0.058,0.046,-0.046
2018-01-05,VNM_RRV,1.5,2370.8,171716.34078976267,174139.6,176562.85921023734,11184,-0.026,46.430738404662485,46.430738404662485,-0.6,174516.0,0.0094573724122373,4926,173699.63177059626,173311.62693695066,174184.4110787172,-0.008,2.2,0.674,10092.0,-307,-446,1046,175742.0,0.0070087580892273,-1015,606262.0,606262.0,606262.0,173698.0,-0.0070087580892273,70.89417717344674,-1062.0,1635.0,-50.0,891430.0,174924.0,-3728,1876,388.0048336455948,236.6325820730096,151.3722515725852,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,-0.0060485937873765,-0.031063321385902,-0.0024600246002459,12350,0.322,1.006203473945409,1.009457372412237,0.452,65.61770244460324,66.52794100961087,58.968010534366805,1745,174139.6,174139.6,174139.6,174978.66666666666,174139.6,174139.6,76.56727828746178,0.0,0.0,0.0,0.0111590807517547,0.0073118430052683,0.0073118430052683,0.0073118430052683,622630.0,-23.432721712538225,174537.4,174537.4,174537.4,174924.33333333334,174537.4,174537.4,-0.058,0.046,-0.046
2018-01-06,VNM_RRV,1.5,2407.111111111109,171825.30277026555,174043.3888888889,176261.47500751226,11184,-0.026,0.7760493102447766,0.7760493102447766,-0.9466666666666668,173562.33333333334,0.0039410538655684,4926,173678.50893409428,173330.19778112715,174006.6745800361,-0.008,2.2,0.674,10092.0,-307,-446,1046,175197.0,0.009359582406886,-1015,653801.3333333333,619386.1111111111,619386.1111111111,172608.33333333334,-0.0116994780086075,53.76329311330535,-953.666666666657,-1279.666666666657,-50.0,206423.33333333337,174651.66666666666,-3728,1876,348.3111529671296,157.5511211156355,190.7600318514941,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,-0.0054646374353449,-0.031063321385902,0.0039410538655684,12350,0.322,1.006203473945409,0.9926810110461636,0.452,48.075578746511255,49.3963622201109,38.90097611791662,1745,174043.3888888889,174043.3888888889,174043.3888888889,174552.11111111112,174043.3888888889,174043.3888888889,58.33970438328255,0.0,0.0,0.0,0.0144316592586735,0.0072382589319241,0.0072382589319241,0.0072382589319241,685006.6666666666,-41.66029561671745,174258.80952380953,174258.80952380953,174258.80952380953,174216.16666666666,174258.80952380953,174258.80952380953,-0.058,0.046,-0.046
2018-01-07,VNM_RRV,1.5,2510.8571428571427,171541.4378923238,173838.42857142858,176135.41925053336,11184,-0.026,-46.724450393340575,-46.724450393340575,-1.2933333333333334,172608.66666666666,-0.0015752646811005,4926,173513.9178160285,173276.75103190786,173607.24374764482,-0.008,2.2,0.674,10092.0,-307,-446,1046,174652.0,0.0117177494274933,-1015,713816.0,637671.4285714285,637671.4285714285,171518.66666666666,-0.0164048491984907,42.59034971231134,-953.666666666686,-2969.333333333343,-50.0,-540960.0,174379.33333333334,-3728,1876,237.1667841206363,37.12540181531375,200.04138230532257,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,-0.0054946637807359,-0.031063321385902,-0.0015752646811005,12350,0.322,1.006203473945409,0.9830882380860168,0.452,36.53311497501885,38.081379712429424,26.3480840325783,1745,173838.42857142858,173838.42857142858,173838.42857142858,173562.33333333334,173838.42857142858,173838.42857142858,40.11213047910277,0.0,0.0,0.0,0.015627606805757,0.0077878201903338,0.0069666515855809,0.0069666515855809,747383.3333333334,-59.887869520897226,173846.2738095238,173846.2738095238,173846.2738095238,173244.44444444447,173846.2738095238,173846.2738095238,-0.058,0.046,-0.046
2018-01-08,VNM_RRV,1.5,2656.75,170937.55245153935,173565.5,176193.44754846065,11184,-0.026,-83.71860051591567,-83.71860051591567,-1.64,171655.0,-0.0070915832277693,4926,173227.93045971642,173156.62132584062,173049.4598197463,-0.008,2.2,0.674,10092.0,-307,-446,1046,174107.0,0.014083293606805,-1015,742000.0,659182.5,659182.5,170429.0,-0.0211249404102075,34.79494652367695,-953.666666666657,-2861.0,-1226.0,-1350720.0,174107.0,-3728,1876,71.30913387579494,-102.9857987436221,174.29493261941704,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,-0.0055250219185594,-0.031063321385902,-0.0182278857482756,12350,0.322,1.006203473945409,0.9836060876939652,0.452,28.45828494206508,30.120384850745765,18.14901696857329,1745,173565.5,173565.5,173565.5,172608.66666666666,173565.5,173663.2857142857,23.075475249388298,0.0,0.0,0.0,0.0142740676137398,0.0044083882926804,0.0066656994648553,0.0066656994648553,809760.0,-76.92452475061171,173359.32407407404,173359.32407407404,173359.32407407404,172290.77777777778,173359.32407407404,173300.4166666667,-0.058,0.046,-0.046
2018-01-09,VNM_RRV,1.5,2861.111111111112,169272.10712560947,173080.66666666666,176889.22620772384,11184,-0.026,-139.637845004834,-139.637845004834,-1.43,169202.0,-0.0212805340089425,4926,172608.55654283697,172863.68641281538,171950.1855855331,-0.008,2.2,0.674,10092.0,-307,-446,1046,173290.0,0.0238039781990962,-1015,767498.0,694018.8888888889,694018.8888888889,168794.0,-0.0171309451716588,28.57255908167942,-2453.0,-4360.333333333343,-3679.0,-2323430.0,171736.0,-3728,1876,-255.1298699784093,-343.539842078261,88.40997209985179,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,-0.0142902915732137,-0.031063321385902,-0.0363143446217635,12350,0.322,1.006203473945409,0.9748774215603616,0.452,17.021623287863633,18.58772047109948,8.55849982737142,1745,173080.66666666666,173080.66666666666,173080.66666666666,171155.22222222222,173080.66666666666,173137.7142857143,5.872193436960276,0.0,0.0,0.0,0.0084744537765635,0.003879034765221,0.0077570934854799,0.0077570934854799,972710.0,-94.12780656303973,172527.85925925925,172527.85925925925,172527.85925925925,170587.44444444444,172527.85925925925,172185.09523809524,-0.058,0.046,-0.046
2018-01-10,VNM_RRV,1.5,3049.1,169408.47957939937,173019.8,176631.1204206006,11184,-0.026,-99.73725870486,-99.73725870486,1.93,172472.0,-0.0023657891844679,4926,172587.54784393898,172834.6726044587,172099.2754182379,-0.008,2.2,0.674,10092.0,-307,-446,1046,172472.0,0.0,-1015,858972.0,732617.0,732617.0,167731.0,0.0,40.43218885621475,3270.0,-136.66666666665697,-2370.0,-1243430.0,167731.0,-3728,1876,-247.1247605197132,-268.427786095652,21.3030255759388,0.5,1729,2086,11.3,25.7,-0.38,-0.071,-0.352,0.0193260126948853,-0.031063321385902,-0.0117123931330078,12350,0.322,1.006203473945409,0.999208228246554,0.452,49.190520229614606,48.762984235576326,53.961698601493296,1745,173019.8,173019.8,173019.8,171109.66666666666,173019.8,172799.14285714287,59.18112595181625,0.3876780700754051,0.3706475723206466,0.9006871548114674,0.0036221197853958,0.0126695753863707,0.0103128382312165,0.0103128382312165,1080000.0,-40.818874048183744,172517.70303030303,172517.70303030303,172517.70303030303,171245.83333333334,172517.70303030303,172018.66666666666,-0.058,0.046,-0.046
