quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-181,-222,-116,463,278
3,2024,-187,-170,209,49,331
2,2024,-139,-183,68,79,363
1,2024,-39,-42,-211,148,409
4,2023,-135,-229,57,396,-19
4,2023,-135,-229,57,396,122
3,2023,5,77,57,-2,523
2,2023,-670,-389,248,25,-129
1,2023,-66,9,-1,-3,230
4,2022,-211,-430,-98,594,217
3,2022,-88,-65,18,14,438
2,2022,-38,99,-187,69,362
1,2022,-289,-375,252,83,21
4,2021,-233,-258,145,172,-228
3,2021,-140,-157,-75,284,0
2,2021,-111,-87,121,87,139
1,2021,-127,-161,-47,4,185
4,2020,-60,-31,-63,87,-175
3,2020,-197,-16,-127,216,-100
2,2020,-83,-118,159,41,146
1,2020,-125,-162,1,105,43
4,2019,-23,4,-108,160,21
3,2019,-142,-862,857,-15,185
2,2019,-113,-294,76,19,82
1,2019,-160,-134,353,21,97
4,2018,-12,-51,-119,222,-32
3,2018,-160,-146,106,-28,86
2,2018,-54,-57,81,41,173
1,2018,-136,-149,-107,43,93
4,2017,-67,-50,208,74,151
4,2017,-67,-50,208,74,142
3,2017,-119,-45,-60,65,130
2,2017,-49,-33,55,18,133
1,2017,-27,-19,-47,31,153
4,2016,-61,-48,-65,143,96
3,2016,-38,-5,-39,42,110
2,2016,-38,-51,34,61,81
1,2016,-23,-24,10,-67,227
4,2015,-50,-42,-42,131,129
3,2015,-35,-261,43,-30,127
2,2015,-32,-42,177,156,122
1,2015,-2,1,-4,-24,46
4,2014,-38,-12,8,50,-57
3,2014,-9,-10,7,-13,13
2,2014,-27,-16,-91,86,-160
1,2014,-50,-44,29,-34,27
4,2013,0,-4,-46,142,-57
3,2013,-44,-42,-113,156,9
2,2013,-1,5,-34,32,-80
1,2013,-76,-27,-46,35,-95
4,2012,-2,-140,-27,208,-107
4,2012,-2,-140,-27,208,-107
3,2012,-11,46,122,-152,-112
2,2012,-1,-50,6,10,-96
1,2012,5,-14,-183,198,-88
4,2011,-29,-25,130,-84,14
4,2011,-29,-25,130,-84,14
3,2011,2,10,-189,146,5
2,2011,-17,-27,-38,76,37
1,2011,-27,121,-281,94,70
3,2010,-86,-84,-28,117,-34
2,2010,-70,-65,306,-325,-34
1,2010,-7,-14,187,-252,-34
