time,open,high,low,close,volume
2024-01-25,35.36,35.36,35.04,35.32,73148
2024-01-26,35.14,35.99,35.14,35.95,122548
2024-01-29,35.95,35.99,35.59,35.81,58821
2024-01-30,35.49,36.04,35.32,36.04,64292
2024-01-31,35.32,35.99,35.32,35.95,120937
2024-02-01,35.4,37.12,35.4,36.85,121471
2024-02-02,36.85,37.84,36.35,37.84,144750
2024-02-05,37.66,37.79,37.12,37.7,60103
2024-02-06,37.07,37.21,36.62,36.89,138115
2024-02-07,36.85,36.89,35.18,36.71,168383
2024-02-15,36.49,36.67,36.04,36.67,105807
2024-02-16,36.49,36.58,36.08,36.44,122531
2024-02-19,36.49,36.58,35.18,36.49,180877
2024-02-20,36.35,36.44,36.13,36.44,204243
2024-02-21,36.49,36.49,36.04,36.22,89448
2024-02-22,36.22,36.22,35.81,36.13,72791
2024-02-23,36.08,36.22,35.81,35.95,80812
2024-02-26,35.95,36.22,35.59,36.04,102410
2024-02-27,36.04,36.22,35.49,36.22,135538
2024-02-28,36.22,36.22,35.68,36.04,177409
2024-02-29,36.04,36.04,33.87,35.99,347923
2024-03-01,35.99,37.57,35.99,37.12,261379
2024-03-04,37.03,37.03,36.76,36.76,379701
2024-03-05,36.49,37.16,34.64,37.16,605413
2024-03-06,37.16,37.16,36.31,36.94,78154
2024-03-07,36.76,36.76,36.17,36.35,114610
2024-03-08,36.31,36.31,35.59,35.86,185186
2024-03-11,35.86,35.86,34.28,35.32,464222
2024-03-12,35.14,36.89,34.28,36.58,529211
2024-03-13,36.89,38.56,36.8,37.79,387480
2024-03-14,37.79,37.79,36.49,37.52,247783
2024-03-15,37.52,37.52,36.04,37.39,220250
2024-03-18,37.34,37.34,35.77,36.89,205589
2024-03-19,36.67,36.67,35.72,35.77,187953
2024-03-20,35.86,36.08,35.32,36.08,139485
2024-03-21,36.04,36.04,34.32,35.86,1094140
2024-03-22,35.68,36.4,34.68,36.04,292859
2024-03-25,36.04,36.4,35.32,35.4,112011
2024-03-26,35.4,36.58,35.04,36.17,1049669
2024-03-27,36.17,36.26,35.68,36.17,170110
2024-03-28,36.04,36.44,36.04,36.44,195428
2024-03-29,36.44,36.44,35.68,35.99,134125
2024-04-01,35.99,36.22,35.59,36.22,335230
2024-04-02,36.22,36.26,35.86,36.17,216259
2024-04-03,36.13,38.69,36.04,38.69,988936
2024-04-04,40.54,41.4,40.4,41.4,1959830
