quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-730,-723,0,1670,0.0
3,2024,-194,-179,0,16134,0.0
2,2024,-236,-227,2,48015,0.0
1,2024,-202,-201,0,36370,0.0
4,2023,-364,-344,0,7142,0.0
3,2023,-168,-125,0,19184,0.0
2,2023,-242,-240,0,14832,0.0
1,2023,-65,-30,0,-12354,0.0
4,2022,-192,-243,0,38532,0.0
3,2022,-161,-139,0,20512,0.0
2,2022,-124,-117,0,9975,0.0
1,2022,-77,-14,-3845,16376,0.0
4,2021,-215,-198,0,32547,0.0
3,2021,-270,-244,0,-53734,0.0
2,2021,-121,-88,-21,37158,0.0
1,2021,-57,-44,0,-10701,0.0
4,2020,-259,-240,-1862,15154,0.0
3,2020,-88,-14,0,819,0.0
2,2020,-92,-65,-20,-6309,0.0
1,2020,-276,-250,0,-1766,0.0
4,2019,-381,-337,0,3478,0.0
3,2019,88,129,-32,-2826,0.0
2,2019,101,749,593,7014,0.0
1,2019,-188,-184,0,-9140,0.0
4,2018,-309,-269,0,21923,0.0
3,2018,-328,-180,0,29737,0.0
2,2018,-321,-136,0,-14189,0.0
1,2018,-67,-72,0,-12398,0.0
4,2017,-736,-559,-2606,14870,0.0
3,2017,-275,-232,0,-5791,0.0
2,2017,-446,199,0,13573,0.0
1,2017,-327,-323,-2606,1266,0.0
4,2016,-1101,-795,0,-1868,0.0
3,2016,-308,-307,0,13189,0.0
2,2016,-291,-305,0,16125,0.0
1,2016,-524,-508,0,7362,0.0
4,2015,-732,-718,0,6163,0.0
3,2015,-573,-195,-3095,2221,0.0
2,2015,-299,-268,0,8500,0.0
1,2015,-411,-411,0,-18187,0.0
4,2014,-831,428,12,-13166,0.0
3,2014,-546,-556,-10,-6164,0.0
2,2014,-842,-814,-3723,22866,0.0
1,2014,-986,-984,0,14950,0.0
4,2013,-1658,-1654,4572,11680,0.0
3,2013,-981,-963,-4195,-1147,0.0
2,2013,-218,-116,15413,-3536,0.0
1,2013,-368,-442,0,-7385,0.0
4,2012,-1018,-1024,0,20409,0.0
4,2012,-1018,-1024,0,20409,0.0
3,2012,-1743,-1774,0,7037,0.0
2,2012,-1693,-1682,0,7911,0.0
1,2012,-1500,-1496,0,-45308,0.0
1,2011,-454,-386,3540,-5362,0.0
3,2010,-846,-780,-45,6786,0.0
2,2010,-670,-656,0,7008,0.0
1,2010,-72,-62,0,-7927,0.0
3,2009,-178,-184,4812,-21637,0.0
1,2009,-70,-95,7,-14301,
