quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-6,-6,-160,273,265
3,2024,0,0,1050,-1129,222
2,2024,-13,-13,881,-749,207
1,2024,0,0,-1695,1422,310
4,2023,-18,-18,769,-670,167
3,2023,0,0,897,-925,162
2,2023,-14,-14,246,-556,34
1,2023,0,0,1370,-833,84
4,2022,-1,-1,-198,229,108
3,2022,-4,-4,-230,191,273
2,2022,0,-2,-901,775,274
1,2022,0,1,278,-350,434
4,2021,0,0,791,-502,424
3,2021,0,0,477,-574,251
2,2021,-1,0,-165,245,365
1,2021,-1,1,846,-805,268
4,2020,0,0,549,-581,129
3,2020,0,0,341,-302,58
2,2020,0,0,578,-600,84
1,2020,0,1,-197,216,-36
4,2019,0,0,-65,-10,146
3,2019,0,0,271,-252,181
2,2019,0,20,-155,164,142
1,2019,0,-19,-83,62,176
4,2018,-5,-156,186,23,143
3,2018,-8,-20,-53,80,171
2,2018,5,165,-93,-66,111
1,2018,-2,-212,484,-271,126
4,2017,9,120,89,-290,73
3,2017,-17,-225,372,-80,90
2,2017,-11,-11,30,-13,110
1,2017,0,1,-120,-117,107
4,2016,0,0,-233,441,83
3,2016,0,0,388,-407,524
2,2016,-1,-1,50,-56,71
1,2016,-3,-2,30,-244,85
4,2015,-2,226,0,22,12
3,2015,0,-40,0,-48,120
2,2015,0,8,0,50,27
1,2015,0,25,0,53,1
4,2014,-42,-18,12,-47,64
3,2014,0,5,-45,2,166
2,2014,0,9,0,-103,-11
1,2014,0,-77,0,82,59
4,2013,-2,258,-47,-1195,-1110
3,2013,0,45,-15,1166,90
2,2013,0,-39,15,-28,11
1,2013,0,-15,0,47,576
4,2012,0,-403,0,-130,576
4,2012,0,-403,0,-130,73
3,2012,0,34,0,423,-337
2,2012,-1,61,-47,-228,298
1,2012,0,49,0,-598,669
4,2011,-1,53,-2,653,-675
4,2011,-1,53,-2,653,-589
3,2011,0,40,-7,23,41
1,2011,0,70,0,-36,45
4,2010,-4,-123,-45,-95,144
4,2010,-4,-123,-45,-95,-141
3,2010,-3,-123,-45,134,-141
1,2010,-1,-157,0,-1,-170
4,2009,-6,398,0,-305,13
