quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,133,-0.572,-0.559,58,191,-45.0,146.0,0.087,0.109,-76.0,73,58,58,0.782,0.104,148.0
3,2024,302,0.179,0.102,-138,164,-32.0,132.0,-0.143,0.709,-68.0,64,53,53,-0.222,1.522,134.0
2,2024,274,-0.277,-0.154,-167,106,-29.0,77.0,-0.585,-0.578,-52.0,25,21,21,-0.727,-0.79,79.0
1,2024,324,0.627,0.04,-109,215,-32.0,183.0,0.96,0.358,-56.0,124,99,99,8.219,2.043,185.0
4,2023,311,0.621,0.217,-133,178,-44.0,134.0,1.313,-0.126,-73.0,58,33,33,,-0.518,136.0
3,2023,256,0.777,-0.325,-69,187,-33.0,154.0,1.209,-0.173,-81.0,65,68,68,4.103,-0.115,155.0
2,2023,379,0.223,0.903,-166,213,-27.0,186.0,2.495,0.998,-83.0,95,76,76,20.83,6.096,187.0
1,2023,199,-0.121,0.037,-87,112,-19.0,93.0,-0.255,0.602,-69.0,13,11,11,-0.813,,96.0
4,2022,192,-0.574,0.333,-98,94,-36.0,58.0,-0.795,-0.165,-54.0,-7,-3,-3,,,60.0
3,2022,144,-0.285,-0.535,-56,88,-19.0,70.0,-0.078,0.309,-46.0,13,13,13,-0.558,2.786,72.0
2,2022,310,0.216,0.368,-239,70,-17.0,53.0,-0.727,-0.574,-43.0,4,4,4,-0.972,-0.939,55.0
1,2022,226,0.431,-0.497,-84,143,-18.0,125.0,0.567,-0.559,-47.0,69,58,58,0.444,-0.696,127.0
4,2021,450,0.743,1.236,-133,317,-33.0,284.0,0.871,2.756,-38.0,237,190,190,0.869,5.324,286.0
3,2021,201,0.737,-0.21,-111,90,-15.0,76.0,0.919,-0.612,-34.0,37,30,30,0.809,-0.763,78.0
2,2021,255,0.389,0.611,-40,215,-20.0,195.0,0.431,1.442,-31.0,159,127,127,0.243,2.178,197.0
1,2021,158,2.08,-0.387,-65,94,-14.0,80.0,,-0.474,-28.0,50,40,40,,-0.607,83.0
4,2020,258,0.396,1.227,-79,179,-27.0,152.0,0.949,2.852,-25.0,127,102,102,1.166,5.12,154.0
3,2020,116,0.241,-0.368,-67,49,-10.0,39.0,1.106,-0.711,-22.0,17,17,17,1.763,-0.837,42.0
2,2020,183,0.577,2.57,-38,146,-9.0,136.0,3.982,,-15.0,122,102,102,5.487,,139.0
1,2020,51,-0.534,-0.722,-145,-94,-9.0,-103.0,,,-15.0,-115,-92,-92,,,-100.0
4,2019,185,0.036,0.98,-89,96,-18.0,78.0,3.907,3.164,-17.0,61,47,47,24.882,6.807,81.0
3,2019,93,-0.509,-0.197,-68,25,-6.0,19.0,-0.844,-0.316,-13.0,6,6,6,-0.93,-0.618,22.0
2,2019,116,-0.247,0.054,-79,38,-10.0,27.0,-0.109,-0.615,-12.0,15,16,16,0.032,-0.66,30.0
1,2019,110,-0.148,-0.382,-26,84,-13.0,71.0,0.026,3.48,-15.0,58,46,46,-0.038,24.497,74.0
4,2018,179,0.82,-0.061,-152,27,-11.0,16.0,-0.654,-0.868,-15.0,1,2,2,-0.949,-0.979,19.0
3,2018,190,2.535,0.232,-55,136,-16.0,120.0,7.877,2.905,-14.0,106,85,85,13.711,4.603,123.0
2,2018,154,1.051,0.192,-111,43,-13.0,31.0,-0.329,-0.557,-15.0,16,15,15,-0.599,-0.683,33.0
1,2018,130,1.172,0.32,-49,80,-11.0,69.0,0.772,0.512,-12.0,59,48,48,0.558,0.363,70.0
4,2017,98,0.398,0.824,-40,58,-12.0,46.0,-0.06,2.394,-5.0,42,35,35,0.067,5.073,47.0
3,2017,54,-0.174,-0.285,-31,23,-9.0,13.0,-0.566,-0.705,-4.0,9,6,6,-0.722,-0.847,15.0
2,2017,75,0.383,0.263,-19,56,-10.0,46.0,3.373,0.17,-1.0,45,38,38,2.763,0.231,47.0
1,2017,60,0.357,-0.151,-12,48,-9.0,39.0,0.662,-0.198,-2.0,38,31,31,0.605,-0.066,40.0
4,2016,70,0.01,0.078,-7,63,-14.0,49.0,0.487,0.568,-8.0,41,33,33,0.246,0.584,50.0
3,2016,65,-0.013,0.197,-25,40,-9.0,31.0,0.571,1.974,-3.0,26,21,21,0.343,1.066,32.0
2,2016,54,-0.222,0.238,-37,17,-7.0,10.0,-0.625,-0.555,-2.0,11,10,10,-0.568,-0.475,11.0
1,2016,44,0.508,-0.368,-13,31,-8.0,24.0,,-0.283,0.0,24,19,19,0.673,-0.275,24.0
4,2015,70,0.167,0.053,-23,46,-13.0,33.0,,0.656,,33,26,26,0.331,0.707,33.0
3,2015,66,0.582,-0.056,-36,30,-10.0,20.0,,-0.29,,20,16,16,0.005,-0.336,21.0
2,2015,70,0.951,1.4,-33,37,-9.0,28.0,,,,31,23,23,0.753,1.033,29.0
1,2015,29,-0.274,-0.511,-7,22,,,,,,11,11,11,-0.353,-0.423,
4,2014,60,0.739,0.428,-24,36,,,,,,25,20,20,0.136,0.289,
3,2014,42,0.224,0.164,-12,30,,,,,,20,15,15,0.137,0.159,
2,2014,36,-0.147,-0.107,-14,22,,,,,,16,13,13,-0.379,-0.249,
1,2014,40,0.053,0.171,-11,29,,,,,,23,18,18,0.403,0.013,
4,2013,34,0.012,0.005,-4,30,,,,,,23,18,18,0.261,0.289,
3,2013,34,-0.214,-0.189,-10,25,,,,,,17,14,14,-0.148,-0.367,
2,2013,42,-0.122,0.103,-8,34,,,,,,28,21,21,0.184,0.696,
1,2013,38,-0.247,0.125,-13,25,,,,,,17,13,13,-0.489,-0.09,
4,2012,34,-0.491,-0.22,-7,27,,,,,,18,14,14,-0.487,-0.128,
3,2012,43,0.073,-0.094,-13,30,,,,,,22,16,16,0.168,-0.12,
2,2012,48,0.12,-0.053,-16,32,,,,,,23,18,18,0.119,-0.268,
1,2012,51,0.32,-0.24,-10,41,,,,,,33,25,25,2.58,-0.087,
4,2011,67,-0.048,0.645,-17,50,,,,,,35,27,27,-0.264,0.987,
3,2011,40,0.244,-0.054,-15,25,,,,,,18,14,14,,-0.157,
2,2011,43,-0.188,0.116,-15,28,,,,,,21,16,16,,1.342,
