quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
4,2024,24.0,6.3,15.4,0.287,0.119,52,16,33,22.6,5340,20253,0.414,1.0,1.3,1.3,0.049,9517.0,0.362,0.173,0.119,0.4,0.2,1.1,28.8,2.4,10700,0.261,0.049,35,7.1,-0.23,0.9,0.7,0.173,1.0,1.0,0.051,0.003
3,2024,26.2,6.6,19.3,0.281,0.116,55,19,28,21.6,5091,20184,0.439,1.1,1.4,1.3,0.049,9054.0,0.387,0.175,0.131,0.4,0.2,1.4,29.6,2.3,11635,0.224,0.035,46,6.6,-0.244,0.9,0.7,0.175,1.0,0.9,-0.014,0.08
2,2024,26.7,6.9,18.0,0.277,0.114,54,20,30,15.7,4854,18684,0.421,1.0,1.3,1.2,0.054,9182.0,0.371,0.154,0.123,0.5,0.3,1.5,33.5,2.4,9482,0.209,0.035,43,6.8,-0.274,0.9,0.7,0.154,1.1,1.0,-0.035,0.024
1,2024,21.7,5.5,17.9,0.274,0.12,50,21,32,16.8,4605,18241,0.433,1.0,1.3,1.2,0.047,9511.0,0.391,0.164,0.128,0.5,0.3,1.3,30.4,2.3,8646,0.2,0.034,40,7.3,-0.31,1.0,0.7,0.164,1.1,1.0,0.052,0.074
4,2023,18.7,4.9,14.6,0.281,0.116,47,20,33,11.3,4398,16987,0.414,1.0,1.2,1.2,0.062,9045.0,0.383,0.159,0.118,0.5,0.2,1.2,66.5,2.4,7042,0.276,0.059,34,7.8,-0.31,0.9,0.7,0.159,1.0,1.0,0.05,0.057
3,2023,19.2,5.0,13.5,0.28,0.104,47,23,32,8.6,4142,16065,0.381,0.8,1.2,1.1,0.049,8610.0,0.399,0.166,0.126,0.7,0.3,1.8,110.1,2.6,6482,0.252,0.059,38,7.8,-0.348,0.9,0.7,0.166,1.1,1.2,-0.009,-0.021
2,2023,15.9,3.8,14.1,0.266,0.099,54,26,32,9.0,3948,16417,0.399,0.9,1.2,1.2,0.047,8691.0,0.371,0.154,0.121,0.7,0.3,2.2,90.0,2.5,7471,0.218,0.053,48,6.8,-0.342,0.8,0.7,0.154,1.2,1.1,-0.046,0.069
1,2023,15.3,3.8,12.4,0.266,0.104,51,26,34,12.7,3772,15355,0.445,1.1,1.3,1.2,0.048,9111.0,0.391,0.16,0.128,0.5,0.2,1.9,38.5,2.2,6481,0.122,0.033,43,7.1,-0.295,0.9,0.7,0.16,1.1,0.9,0.063,0.074
4,2022,15.6,3.9,12.3,0.272,0.101,49,24,41,12.8,3599,14297,0.407,1.0,1.3,1.2,0.01,8575.0,0.402,0.153,0.104,0.5,0.2,1.9,7.4,2.5,6400,0.254,0.074,31,7.5,-0.284,0.8,0.7,0.153,1.0,1.0,0.072,0.057
3,2022,16.5,4.3,13.8,0.284,0.101,50,30,34,10.6,3565,13524,0.361,0.8,1.2,1.2,0.067,7998.0,0.391,0.158,0.13,0.8,0.3,2.3,7.8,2.8,6572,0.155,0.041,46,7.4,-0.286,0.8,0.7,0.158,1.1,1.3,0.057,0.017
2,2022,18.6,4.7,13.0,0.271,0.095,53,31,40,8.9,3341,13296,0.347,0.7,1.2,1.1,0.054,7565.0,0.381,0.157,0.124,0.9,0.4,2.6,9.2,2.9,6744,0.223,0.067,43,6.9,-0.284,0.8,0.7,0.157,1.2,1.4,-0.139,0.02
1,2022,20.1,4.9,15.5,0.26,0.093,55,28,39,9.7,3171,13040,0.345,0.7,1.2,1.2,-0.07,8792.0,0.406,0.145,0.127,1.0,0.4,2.6,9.2,2.9,6480,0.21,0.052,44,6.6,-0.294,0.8,0.7,0.145,1.3,1.4,0.054,-0.077
4,2021,18.9,4.6,16.5,0.257,0.091,44,23,47,10.6,3411,14128,0.334,0.7,1.2,1.1,0.079,8344.0,0.383,0.137,0.122,0.9,0.4,2.3,7.8,3.0,5305,0.253,0.054,20,8.4,-0.311,0.7,0.7,0.137,1.2,1.5,0.04,0.056
3,2021,24.0,5.7,13.9,0.251,0.093,47,29,35,11.5,3160,13373,0.352,0.7,1.2,1.1,0.051,8020.0,0.373,0.158,0.129,0.9,0.4,2.1,8.8,2.8,4764,0.268,0.069,41,7.7,-0.413,0.8,0.7,0.158,1.2,1.4,0.034,0.012
2,2021,23.6,5.4,15.7,0.241,0.092,49,29,45,12.0,3006,13218,0.357,0.7,1.2,1.1,0.033,7755.0,0.398,0.173,0.116,0.9,0.4,2.1,8.5,2.8,4645,0.248,0.057,33,7.5,-0.397,0.8,0.6,0.173,1.0,1.3,-0.076,0.009
1,2021,18.6,4.1,16.1,0.236,0.094,51,28,42,10.8,2910,13101,0.374,0.8,1.2,1.1,-0.097,8390.0,0.382,0.142,0.119,0.8,0.4,2.1,8.8,2.7,4937,0.262,0.061,37,7.1,-0.379,0.8,0.6,0.142,1.3,1.3,0.007,-0.087
4,2020,12.7,2.9,12.4,0.238,0.094,37,26,56,12.8,3224,14351,0.377,0.8,1.1,1.1,0.068,8334.0,0.4,0.145,0.113,0.7,0.3,1.7,17.8,2.7,3226,0.252,0.072,7,10.0,-0.382,0.8,0.7,0.145,1.2,1.2,0.045,0.045
3,2020,11.5,2.5,10.7,0.231,0.095,43,28,42,13.9,3019,13730,0.399,0.9,1.2,1.1,-0.009,7972.0,0.397,0.158,0.123,0.6,0.3,1.7,13.6,2.5,3922,0.237,0.082,29,8.4,-0.277,0.8,0.7,0.158,1.2,1.1,0.004,0.007
2,2020,10.2,2.3,8.8,0.236,0.101,49,29,43,10.9,3047,13636,0.417,1.0,1.2,1.2,0.027,7937.0,0.39,0.158,0.126,0.6,0.3,1.5,11.9,2.4,3983,0.233,0.101,35,7.5,-0.332,0.9,0.7,0.158,1.2,1.0,-0.105,0.015
1,2020,8.0,1.8,7.6,0.234,0.103,51,28,40,10.5,2968,13436,0.428,1.1,1.2,1.2,-0.141,8870.0,0.396,0.158,0.113,0.6,0.3,1.5,11.7,2.3,3739,0.221,0.111,38,7.2,-0.351,0.9,0.7,0.158,1.1,1.0,0.049,-0.132
4,2019,12.0,2.7,7.8,0.237,0.099,74,28,56,8.6,3455,15471,0.417,1.0,1.2,1.1,-0.009,8455.0,0.378,0.127,0.093,0.5,0.2,1.4,21.5,2.4,2747,0.205,0.1,47,4.9,-0.387,0.9,1.5,0.127,1.1,1.0,0.046,0.034
3,2019,11.8,2.7,8.9,0.249,0.105,70,33,44,11.9,3487,14964,0.421,1.0,1.2,1.1,0.08,8085.0,0.392,0.168,0.135,0.5,0.3,1.5,18.9,2.4,3027,0.199,0.084,58,5.2,-0.521,0.9,1.4,0.168,1.1,1.0,0.07,0.02
2,2019,9.8,2.2,9.5,0.234,0.103,69,32,43,14.9,3228,14670,0.438,1.1,1.3,1.2,0.072,7557.0,0.378,0.158,0.116,0.5,0.2,1.4,26.2,2.3,3734,0.195,0.079,59,5.3,-0.465,0.9,1.5,0.158,1.1,0.9,-0.033,0.017
1,2019,9.4,2.0,8.7,0.218,0.102,70,32,40,11.1,3010,14423,0.455,1.2,1.3,1.2,0.045,7816.0,0.402,0.143,0.111,0.4,0.2,1.4,19.0,2.2,4209,0.172,0.083,62,5.2,-0.464,0.9,1.5,0.143,1.2,0.9,0.045,0.05
4,2018,9.1,1.9,8.4,0.219,0.096,83,30,59,11.3,2881,13731,0.419,1.0,1.3,1.2,-0.195,7481.0,0.37,0.122,0.113,0.5,0.2,1.4,18.0,2.4,3941,0.266,0.129,54,4.4,-0.417,0.8,1.4,0.122,1.3,1.0,-0.007,0.05
3,2018,8.0,2.2,7.4,0.289,0.112,64,55,56,14.3,3579,13083,0.423,1.0,1.3,1.2,0.046,7536.0,0.38,0.147,0.12,0.5,0.2,1.8,22.2,2.4,4102,0.281,0.15,63,5.7,-0.362,1.0,1.4,0.147,1.2,1.0,0.026,0.009
2,2018,7.4,1.9,8.2,0.285,0.114,50,41,39,13.1,3422,12960,0.447,1.1,1.4,1.3,0.027,7344.0,0.365,0.131,0.109,0.5,0.2,1.8,14.8,2.2,4856,0.292,0.16,52,7.3,-0.367,1.2,1.5,0.131,1.3,0.9,-0.143,-0.015
1,2018,9.4,2.4,6.8,0.276,0.114,43,39,29,14.3,3331,13163,0.478,1.3,1.5,1.4,0.033,8568.0,0.391,0.139,0.107,0.4,0.2,1.8,10.1,2.1,5367,0.221,0.116,52,8.6,-0.315,1.4,1.5,0.139,1.2,0.8,0.01,0.046
4,2017,9.1,2.3,8.0,0.279,0.107,43,31,38,12.5,3225,12590,0.457,1.1,1.4,1.4,0.35,8484.0,0.228,0.07,0.114,0.4,0.2,1.7,7.3,2.2,4924,0.263,0.114,35,8.5,-0.224,1.6,1.4,0.07,2.2,0.9,-0.023,0.075
3,2017,10.5,2.1,8.7,0.22,0.077,43,49,36,9.8,2389,11714,0.358,0.8,1.4,1.1,0.056,8684.0,0.223,0.077,0.054,0.7,0.3,2.0,11.9,2.8,5998,0.401,0.154,57,8.4,-0.218,1.5,1.5,0.077,1.1,1.3,0.009,0.062
2,2017,10.4,2.1,7.3,0.215,0.077,41,51,32,7.9,2262,11026,0.357,0.8,1.4,1.1,-0.002,8610.0,0.244,0.08,0.051,0.7,0.3,2.0,8.2,2.8,5483,0.377,0.172,59,9.0,-0.222,1.6,1.5,0.08,1.0,1.3,-0.113,0.006
1,2017,9.0,1.9,7.6,0.218,0.078,38,57,29,5.8,2267,10965,0.355,0.7,1.4,1.0,0.034,9705.0,0.22,0.069,0.044,0.8,0.4,2.2,8.7,2.8,5429,0.337,0.157,67,9.6,-0.249,1.5,1.6,0.069,1.0,1.3,0.045,0.045
4,2016,8.6,1.8,6.4,0.22,0.071,44,58,40,9.9,2193,10496,0.318,0.6,1.3,1.0,-0.001,9291.0,0.225,0.082,0.053,0.9,0.3,2.4,12.0,3.1,4610,0.483,0.258,61,8.3,-0.301,1.4,1.5,0.082,1.0,1.6,0.041,0.051
