quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,169,-0.202,0.705,-124,45,-28,17,,2.658,-1,17,15,7,,456.959,15.0
3,2024,99,0.191,0.13,-73,26,-21,5,1.055,0.681,0,4,3,0,,,11.0
2,2024,87,0.011,-0.584,-63,25,-22,3,,-0.569,-1,3,1,-2,,,4.0
1,2024,210,0.864,-0.004,-159,51,-45,6,1.362,,-1,6,4,-1,,,16.0
4,2023,211,-0.174,1.544,-177,35,-75,-41,,,-1,-41,-43,-48,,,-39.0
3,2023,83,-0.739,-0.04,-52,31,-29,2,-0.754,,-1,3,2,-3,,,4.0
2,2023,87,-0.546,-0.233,-58,29,-31,-2,,,-1,-1,-2,-7,,,0.0
1,2023,113,-0.11,-0.559,-74,39,-36,3,-0.666,-0.783,-1,3,-1,-8,,,4.0
4,2022,256,1.073,-0.197,-216,40,-28,12,-0.06,0.363,-1,15,14,11,0.227,0.687,15.0
3,2022,319,6.558,0.671,-286,33,-24,9,,7.002,-1,14,12,6,,,10.0
2,2022,191,1.69,0.505,-171,19,-18,1,-0.765,-0.859,-1,0,-1,-5,,,2.0
1,2022,127,-0.327,0.027,-90,36,-28,8,-0.48,-0.39,-1,64,52,27,0.84,2.07,10.0
4,2021,123,-0.398,1.927,-94,29,-16,13,-0.528,,0,13,12,9,-0.507,,15.0
3,2021,42,-0.691,-0.405,-34,9,-17,-8,,,-1,-9,-9,-10,,,-7.0
2,2021,71,0.08,-0.623,-50,21,-16,5,0.326,-0.687,-1,4,4,2,0.154,-0.89,7.0
1,2021,188,0.539,-0.082,-133,55,-40,15,-0.418,-0.447,-1,24,20,15,0.734,-0.178,17.0
