quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-56,-306,-531,638,4854
3,2024,-10,-2,3068,-2332,2651
2,2024,-24,-13,66,-26,817
1,2024,-5,7,1328,-2531,2626
4,2023,-53,-84,1490,-11,1531
3,2023,-13,1828,-819,-696,1500
2,2023,-109,1038,-662,169,825
1,2023,-9,44,-303,-1017,1737
4,2022,-23,-15,-435,491,2248
3,2022,-9,550,1674,-839,3125
2,2022,-11,-538,1689,-997,2106
1,2022,-19,-16,303,-480,1817
4,2021,-11,-74,-251,-1161,3915
3,2021,-10,-8,1022,-11,1520
2,2021,-14,2,503,-35,1506
1,2021,-14,-19,370,-808,1798
4,2020,-6,-4,62,-1015,2207
3,2020,-36,-22,256,726,825
2,2020,-6,0,-5,249,1143
1,2020,-3,26,173,205,890
4,2019,-16,50,-27,146,1691
3,2019,-66,-75,-23,-427,1622
2,2019,-116,-147,-32,363,422
1,2019,-13,-4,-218,-266,991
4,2018,-39,413,-1324,1038,1911
3,2018,-32,-338,302,318,313
2,2018,-44,480,-109,-307,600
1,2018,-51,-220,-332,-676,1062
4,2017,0,180,585,-153,245
3,2017,-4,2,1026,131,496
2,2017,6,14,-80,-74,576
1,2017,-7,23,-514,391,86
4,2016,196,187,-501,-69,83
3,2016,7,8,163,51,387
2,2016,-5,70,-528,491,44
1,2016,-40,-34,-175,-230,544
4,2015,-25,526,928,-720,160
3,2015,0,-551,693,-526,805
2,2015,-6,165,34,-272,494
1,2015,0,-276,881,-334,472
4,2014,0,-32,687,-661,388
3,2014,0,591,-57,-354,-341
2,2014,-1,-439,381,241,9
1,2014,0,1,145,-156,19
4,2013,1,-58,-8,82,-125
3,2013,-1,21,-39,-77,-297
2,2013,3,-20,-107,134,51
1,2013,-3,0,154,-100,-59
4,2012,0,-1,14,26,58
4,2012,0,-1,14,26,58
3,2012,0,6,130,-118,58
2,2012,0,118,-37,-120,58
1,2012,0,-116,10,74,58
4,2011,1,20,-389,374,80
4,2011,1,20,-389,374,80
3,2011,1,63,89,-198,173
2,2011,-2,3,18,-83,300
1,2011,-1,6,84,-148,543
3,2010,-6,-15,382,-227,123
2,2010,-6,-49,284,-148,123
1,2010,0,-19,91,14,123
