time,open,high,low,close,volume
2024-01-25,28.09,28.36,27.91,28.36,1483234
2024-01-26,28.5,28.5,28.23,28.32,1230472
2024-01-29,28.41,28.41,28.18,28.32,978250
2024-01-30,28.23,28.32,28.0,28.18,1066159
2024-01-31,28.27,28.36,28.0,28.09,1176924
2024-02-01,27.91,28.09,27.64,27.73,1777181
2024-02-02,27.73,28.59,27.73,27.73,2100285
2024-02-05,27.86,28.18,27.73,28.05,1037849
2024-02-06,28.05,28.36,28.0,28.27,919492
2024-02-07,28.46,28.46,28.18,28.36,1066075
2024-02-15,28.46,28.68,28.36,28.59,1539586
2024-02-16,28.59,28.86,28.5,28.55,1201809
2024-02-19,28.55,28.64,28.14,28.46,1587496
2024-02-20,28.55,28.91,28.41,28.82,2357126
2024-02-21,28.91,30.46,28.82,29.82,6970782
2024-02-22,29.55,29.82,29.46,29.46,1660163
2024-02-23,29.64,29.64,28.77,28.86,3855068
2024-02-26,28.86,29.0,28.5,28.86,2269304
2024-02-27,29.05,29.82,28.82,29.64,3757804
2024-02-28,29.86,29.86,29.27,29.46,1789878
2024-02-29,29.59,31.5,29.41,31.5,13933477
2024-03-01,31.73,32.0,31.36,31.77,4665119
2024-03-04,32.0,33.36,31.91,32.68,8782309
2024-03-05,32.68,32.96,32.36,32.73,4623533
2024-03-06,32.68,32.96,32.0,32.68,4640156
2024-03-07,32.64,33.41,32.46,33.18,4750022
2024-03-08,33.18,33.27,32.46,33.14,5974765
2024-03-11,33.14,33.64,32.96,33.14,5156423
2024-03-12,33.09,33.64,33.05,33.27,3833407
2024-03-13,33.36,34.36,33.32,34.18,6840154
2024-03-14,34.18,34.5,33.91,34.09,4582502
2024-03-15,34.0,34.86,33.68,33.82,4147295
2024-03-18,33.91,34.5,31.46,33.82,9115126
2024-03-19,34.05,34.09,33.14,33.27,2640909
2024-03-20,33.18,33.55,32.91,33.23,3464232
2024-03-21,33.46,34.0,33.23,33.82,4355768
2024-03-22,34.09,34.18,33.5,33.73,3415326
2024-03-25,33.73,34.64,33.36,33.55,3513976
2024-03-26,33.55,35.41,33.18,35.09,5456240
2024-03-27,35.09,35.23,34.59,34.91,2236645
2024-03-28,34.96,35.09,34.46,34.46,2094446
2024-03-29,34.46,34.68,34.09,34.36,2927191
2024-04-01,34.36,34.73,34.14,34.55,4735050
2024-04-02,34.46,34.59,34.0,34.59,4228873
2024-04-03,34.59,35.18,34.27,34.32,6063099
2024-04-04,33.86,34.46,33.68,33.96,3138196
2024-04-05,33.64,34.0,33.14,33.18,4086284
2024-04-08,33.09,33.18,32.36,32.59,3133402
2024-04-09,32.59,32.82,32.14,32.73,3431849
2024-04-10,32.86,33.46,32.73,32.73,3063376
2024-04-11,32.18,33.18,32.18,32.96,2746777
2024-04-12,33.05,33.23,32.86,33.14,2248318
2024-04-15,33.0,33.27,30.82,30.82,4064065
2024-04-16,30.82,31.18,30.0,31.14,4883974
2024-04-17,31.27,31.27,30.91,30.91,1880528
2024-04-19,30.82,30.82,29.09,30.0,4255069
2024-04-22,30.36,30.41,29.55,30.41,3409053
2024-04-23,30.46,30.64,30.0,30.41,2792516
2024-04-24,30.73,31.73,30.59,31.41,3041546
2024-04-25,31.18,31.46,30.68,31.46,2053089
2024-04-26,30.91,32.23,30.86,31.82,3718333
2024-05-02,31.82,31.82,30.91,31.82,1506739
2024-05-03,32.18,32.64,31.5,32.64,3635099
2024-05-06,32.64,32.73,32.27,32.46,2486953
2024-05-07,32.59,32.91,32.41,32.82,2991079
2024-05-08,32.41,32.77,32.14,32.73,2292977
2024-05-09,32.73,33.05,32.32,32.73,3070664
2024-05-10,32.68,32.86,32.27,32.73,2145900
2024-05-13,32.86,33.41,32.82,33.0,4320617
2024-05-14,33.09,33.09,32.59,32.64,970532
2024-05-15,32.73,33.41,32.59,33.09,4473805
2024-05-16,33.36,33.64,33.09,33.46,3641849
2024-05-17,33.46,33.55,33.23,33.55,3146903
2024-05-20,33.82,33.86,33.32,33.55,3007236
2024-05-21,33.36,33.5,32.96,33.18,2996718
2024-05-22,33.23,33.73,33.09,33.27,4343372
2024-05-23,33.18,33.59,33.05,33.59,2720136
2024-05-24,33.46,33.73,31.82,32.36,6016711
2024-05-27,32.5,32.55,31.82,32.55,2315454
2024-05-28,32.68,32.96,32.46,32.96,2763973
2024-05-29,32.86,32.91,32.46,32.46,3037855
2024-05-30,32.18,32.77,31.86,32.77,3371060
2024-05-31,32.73,32.91,32.5,32.91,2718552
