quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-18,641,328,2943,364.0
3,2024,-2,179,39,-761,1006.0
2,2024,-11,-155,159,-404,636.0
1,2024,0,386,100,-553,639.0
4,2023,-14,-183,339,-293,2658.0
3,2023,-4,508,615,-765,1303.0
2,2023,-3,-92,-639,-375,1005.0
1,2023,-6,-10,415,-752,1078.0
4,2022,-80,-558,630,-201,2065.0
3,2022,-2,-3,346,-156,703.0
2,2022,-1,-399,1004,226,590.0
1,2022,-28,412,-546,-93,798.0
4,2021,-4,509,-590,2297,441.0
3,2021,-9,-1185,2473,-1534,2777.0
2,2021,-3,536,-10,-732,1786.0
1,2021,-3,-650,869,55,888.0
4,2020,-23,-462,704,-127,1901.0
3,2020,-12,-59,23,-371,1142.0
2,2020,-6,-358,554,-233,1105.0
1,2020,-3,-137,-3,-336,1258.0
4,2019,-193,-520,-100,984,1001.0
3,2019,-106,-316,-21,57,520.0
2,2019,-2,274,-186,130,680.0
1,2019,-1,-70,202,-624,1454.0
4,2018,-9,-99,-143,-520,387.0
3,2018,0,-883,32,1180,181.0
2,2018,-5,-76,1019,-234,900.0
1,2018,-1,31,-68,-236,680.0
4,2017,-1,-14,-164,736,-1126.0
3,2017,0,-196,-74,628,-55.0
2,2017,-2,-609,-179,994,-11.0
1,2017,-2,33,94,-97,347.0
4,2016,-2,19,148,63,974.0
3,2016,0,26,79,-253,600.0
2,2016,-5,182,547,-65,415.0
1,2016,-1,-211,41,-69,319.0
4,2015,-1,-24,140,45,348.0
3,2015,0,-99,113,2,194.0
2,2015,-1,-57,-50,9,218.0
1,2015,0,-23,-49,3,104.0
4,2014,0,-52,-98,313,16.0
3,2014,-4,-22,31,-84,49.0
2,2014,-2,-15,-101,15,188.0
1,2014,-4,-1,438,-218,85.0
4,2013,-1,11,41,-92,267.0
3,2013,5,9,69,-38,267.0
2,2013,-2,-5,25,-1,267.0
1,2013,-5,-5,24,-44,267.0
3,2012,-2,-2,5,-33,
