time,open,high,low,close,volume
2024-01-25,38.02,38.02,37.72,38.02,1129949
2024-01-26,38.06,39.1,38.02,39.1,5295630
2024-01-29,39.25,39.25,38.46,38.51,1953898
2024-01-30,38.36,38.86,38.21,38.66,2264126
2024-01-31,38.81,38.86,38.02,38.06,2740619
2024-02-01,38.06,38.71,37.92,38.61,1695412
2024-02-02,38.61,40.54,38.61,39.05,6376860
2024-02-05,39.05,39.35,38.41,39.05,2674348
2024-02-06,39.15,39.84,39.05,39.4,3050938
2024-02-07,39.65,39.65,38.81,39.35,3299220
2024-02-15,39.35,39.45,38.81,38.9,2564842
2024-02-16,38.9,39.75,38.86,38.86,3022240
2024-02-19,39.05,39.05,38.26,38.31,4675852
2024-02-20,38.46,38.86,38.31,38.51,1907908
2024-02-21,38.36,39.25,38.26,38.56,2313764
2024-02-22,38.46,38.81,38.46,38.56,1394200
2024-02-23,38.66,38.66,37.08,37.27,4644245
2024-02-26,37.22,37.32,36.68,36.98,2492285
2024-02-27,37.08,38.26,37.08,38.06,2350941
2024-02-28,38.26,38.31,37.57,37.77,1743399
2024-02-29,38.06,39.25,37.72,39.15,8046380
2024-03-01,39.35,39.5,38.86,39.45,3457391
2024-03-04,40.34,42.17,40.29,42.17,13282134
2024-03-05,42.27,42.96,41.82,41.97,5506700
2024-03-06,41.92,43.4,41.23,42.51,5956642
2024-03-07,42.17,42.96,41.92,42.42,5087652
2024-03-08,42.81,42.81,41.33,41.43,6651107
2024-03-11,41.43,42.61,40.93,41.43,4202094
2024-03-12,41.43,42.37,41.13,42.02,5983673
2024-03-13,42.42,44.24,42.12,44.0,6059792
2024-03-14,44.1,44.14,43.01,44.1,4186307
2024-03-15,44.0,44.39,41.08,43.35,5215003
2024-03-18,43.9,44.64,40.34,42.32,9003327
2024-03-19,42.42,42.71,41.52,41.52,3575172
2024-03-20,41.92,42.32,41.18,42.32,3241269
2024-03-21,42.81,43.5,42.12,42.81,3429999
2024-03-22,42.91,43.45,42.42,42.96,4163175
2024-03-25,42.96,43.95,42.76,43.16,4384012
2024-03-26,43.01,44.24,42.51,43.8,3713527
2024-03-27,44.2,44.2,43.21,43.7,2986574
2024-03-28,44.2,44.2,42.96,43.3,2823688
2024-03-29,43.3,43.45,42.81,42.86,2305087
