quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-150,-149,6552,-1896,0
3,2024,-22,-22,0,4059,0
2,2024,-4,-5,0,-1099,0
1,2024,-10,-10,0,451,0
4,2023,-53,-64,0,351,0
3,2023,-22,-22,0,2158,0
2,2023,-12,-12,0,873,0
1,2023,-18,-18,0,-8062,0
4,2022,-62,-62,0,6196,0
3,2022,-4,-4,1500,522,0
2,2022,-1,-1,0,315,0
1,2022,-7,-7,0,2060,0
4,2021,-14,-14,0,-3235,0
3,2021,-39,-39,0,-1729,0
2,2021,-7,-7,0,4539,0
1,2021,-4,-4,0,-8100,0
4,2020,-1,-1,0,8338,0
3,2020,-10,-23,0,1114,0
2,2020,-5,-1,0,-744,0
1,2020,-3,-4,0,-9934,0
4,2019,-7,-7,0,9068,0
3,2019,-3,-3,0,-1696,0
2,2019,-3,-3,1091,156,0
1,2019,-2,-2,0,-2020,0
4,2018,11,680,0,1957,0
3,2018,-20,-20,0,-3598,0
2,2018,-5,332,0,247,0
1,2018,0,0,0,-2410,0
4,2017,-11,161,0,3896,0
3,2017,-36,-36,0,36,0
2,2017,-118,-118,0,-3420,0
1,2017,-60,-60,0,-191,0
4,2016,-4,-5,0,6083,0
3,2016,-9,-9,0,-3391,0
2,2016,-7,-7,0,6504,0
1,2016,-13,-8,0,-6226,0
4,2015,2,-28,0,5880,0
3,2015,-17,62,0,-3079,0
2,2015,-10,-1,0,-253,0
1,2015,-14,-8,0,340,0
3,2014,-1,-2,0,-2175,0
2,2014,-17,-14,0,71,0
1,2014,0,8,0,141,0
4,2013,-906,-1179,0,3614,0
3,2013,-2,2,0,2639,0
2,2013,-2,-2,0,134,0
1,2013,0,0,0,-526,0
3,2012,0,1,0,-1940,0
2,2012,-2,-2,0,-1271,0
1,2012,-1,-1,0,100,0
3,2011,-31,-197,1080,-1854,0
2,2011,-24,-191,1064,-304,0
1,2011,-22,-173,1190,-719,0
3,2010,-4,-3,-123,-2547,0
