quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,invest_profit,service_profit,other_profit,provision_expense,operation_income
4,2024,-2551,,,-2380,-2525,,,-5070,-5070,-5070,,,39,12,-25,-165,-4905
3,2024,274,37.953,0.005,-361,333,1.782,-0.183,-65,-65,-65,,,42,13,3,-37,-28
2,2024,273,0.292,0.232,-306,407,0.357,0.301,49,48,48,6.976,,83,43,8,-52,101
1,2024,222,-0.146,,-345,313,0.01,,-42,-42,-42,,,93,6,-8,-10,-32
4,2023,-21,,,-342,-10,,,-436,-436,-436,,,44,12,-45,-84,-352
3,2023,7,,-0.967,-342,120,0.959,-0.602,-244,-244,-244,,,153,10,-50,-22,-222
2,2023,211,0.094,-0.186,-291,300,-0.023,-0.031,8,6,6,,0.363,103,13,-27,-1,9
1,2023,260,-0.001,-0.46,-264,310,-0.234,-0.452,6,4,4,-0.784,-0.976,62,0,-12,-40,46
4,2022,481,1.81,,-330,565,0.162,8.258,181,181,181,,,78,-2,8,-54,235
3,2022,-2,,,-212,61,-0.866,-0.801,-199,-196,-196,,,36,24,3,-48,-151
2,2022,193,-0.239,-0.257,-253,307,-0.082,-0.24,-6,-5,-5,,,81,26,7,-60,54
1,2022,260,-0.342,0.519,-232,404,-0.049,-0.169,25,20,20,-0.057,,56,85,4,-147,172
4,2021,171,-0.716,-0.611,-266,486,-0.313,0.065,-203,-163,-163,,,248,42,25,-424,220
3,2021,439,0.252,0.731,-245,457,0.205,0.366,80,64,64,21.875,-0.191,54,12,-49,-132,212
2,2021,254,0.038,-0.357,-222,334,0.086,-0.213,99,79,79,11.379,2.651,13,76,-9,-13,112
1,2021,395,0.674,-0.344,-218,425,0.63,-0.399,27,22,22,0.805,,24,13,-6,-180,207
4,2020,602,0.328,0.716,-222,707,0.385,0.867,-25,-20,-20,,,81,16,8,-510,485
3,2020,351,0.451,0.436,-202,379,0.597,0.231,5,3,3,0.095,-0.562,13,9,5,-172,177
2,2020,244,-0.154,0.036,-183,308,0.021,0.181,8,6,6,0.099,-0.468,54,11,-2,-116,125
1,2020,236,0.357,-0.48,-196,261,0.358,-0.49,15,12,12,0.125,-0.504,24,8,-8,-50,65
4,2019,454,0.887,0.875,-259,511,0.283,1.152,31,24,24,-0.052,8.466,34,25,-2,-221,252
3,2019,242,-0.044,-0.162,-184,237,0.041,-0.213,3,3,3,1.003,-0.561,-9,15,-11,-50,54
2,2019,289,0.101,0.662,-241,302,-0.159,0.571,7,6,6,2.335,-0.455,-2,7,7,-53,60
1,2019,174,-0.229,-0.277,-179,192,-0.197,-0.518,13,11,11,-0.012,-0.582,6,3,9,0,13
4,2018,240,-0.427,-0.05,-282,398,-0.154,0.746,74,25,25,0.758,19.001,-19,8,169,-42,116
3,2018,253,0.111,-0.035,-223,228,-0.065,-0.365,2,1,1,-0.129,-0.268,-29,4,0,-3,5
2,2018,262,0.07,0.164,-266,359,0.218,0.501,2,2,2,,-0.839,-9,8,98,-91,93
1,2018,225,0.0,-0.462,-226,239,0.014,-0.492,13,11,11,0.155,-0.256,14,6,-6,0,13
4,2017,419,0.493,0.841,-313,471,0.164,0.93,21,14,14,1.637,8.905,10,10,32,-137,157
3,2017,228,-0.145,-0.07,-216,244,0.052,-0.172,2,1,1,3.118,,9,8,-2,-26,28
2,2017,245,-0.004,0.087,-226,295,0.158,0.249,-4,-3,-3,,,55,0,-5,-72,68
1,2017,225,0.413,-0.197,-224,236,0.472,-0.417,12,9,9,0.066,0.699,10,0,1,0,12
4,2016,281,0.353,0.053,-289,405,0.995,0.745,7,5,5,-0.332,14.468,-11,-4,139,-109,116
3,2016,267,0.133,0.083,-204,232,0.011,-0.089,0,0,0,-0.445,,-27,9,-16,-27,28
2,2016,246,0.532,0.543,-198,255,0.595,0.588,-2,-1,-1,,,9,-5,4,-58,56
1,2016,159,0.0,-0.232,-149,160,-0.09,-0.21,11,9,9,-0.439,0.065,-3,3,1,0,11
4,2015,208,0.625,-0.117,-163,203,0.115,-0.116,10,8,8,,11.854,2,-1,-6,-30,39
3,2015,235,0.201,0.465,-179,229,0.219,0.437,1,1,1,-0.907,,-13,6,1,-49,50
2,2015,161,0.08,0.007,-158,160,-0.06,-0.093,-19,-15,-15,,,2,1,-4,-20,2
1,2015,159,0.245,0.248,-156,176,0.27,-0.033,20,16,16,5.353,,16,-1,2,0,20
4,2014,128,0.029,-0.348,-178,182,-0.069,-0.033,-2,-2,-2,,,45,-4,13,-6,4
3,2014,196,0.083,0.317,-156,188,0.034,0.109,8,7,7,1.779,24.881,-9,-1,2,-24,32
2,2014,149,0.192,0.162,-134,170,0.283,0.225,0,0,0,,-0.892,25,-2,-3,-35,36
1,2014,128,-0.149,0.031,-135,139,-0.071,-0.291,3,2,2,-0.887,-0.82,13,0,-2,0,3
4,2013,124,-0.388,-0.313,-191,196,-0.05,0.074,18,14,14,,4.538,15,-2,58,14,4
3,2013,181,0.355,0.45,-162,182,0.337,0.377,3,2,2,-0.626,,1,1,-1,-17,20
2,2013,125,-0.346,-0.171,-129,132,-0.319,-0.113,-19,-20,-20,,,1,1,5,-22,4
1,2013,151,-0.266,-0.259,-127,149,-0.276,-0.276,22,22,22,-0.543,,-1,0,0,0,22
4,2012,203,-0.049,0.521,-276,206,0.054,0.511,-127,-127,-127,,,-3,0,6,-57,-70
3,2012,133,-0.383,-0.301,-121,136,-0.235,-0.298,9,7,7,-0.873,-0.85,-4,2,5,-6,15
2,2012,191,0.077,-0.068,-125,194,0.136,-0.057,58,44,44,0.234,-0.083,-6,5,4,-11,69
1,2012,205,0.549,-0.04,-128,206,0.428,0.055,64,48,48,-0.21,0.454,-8,2,7,-14,78
4,2011,214,0.554,-0.013,-114,195,0.275,0.097,44,33,33,-0.245,-0.368,-26,7,1,-38,81
3,2011,216,0.446,0.22,-95,178,0.149,0.041,69,52,52,-0.108,0.464,-48,6,4,-14,83
2,2011,177,0.285,0.34,-86,171,0.177,0.185,67,35,35,-0.392,-0.413,-26,3,17,-18,85
1,2011,132,1.029,-0.037,-84,144,0.972,-0.059,60,60,60,2.912,0.391,8,3,0,0,60
4,2010,137,,-0.082,-93,153,,-0.011,58,43,43,,-0.253,9,4,3,-2,60
3,2010,150,,0.084,-66,155,,0.066,78,58,58,,-0.002,1,4,0,-11,89
2,2010,138,,1.115,-59,145,,0.986,58,58,58,,2.774,-2,8,1,-28,87
1,2010,65,,,-58,73,,,15,15,15,,,-4,12,0,0,15
