quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-31,909,894,-1680,5165.0
3,2024,-10,-11,231,-1189,1313.0
2,2024,-6,-4,1983,-808,1103.0
1,2024,-30,16,437,-938,1726.0
4,2023,-71,481,443,-472,-190.0
3,2023,-12,-13,-554,406,-217.0
2,2023,-22,29,403,-437,921.0
1,2023,-2,-9,-966,931,-68.0
4,2022,-34,547,-826,490,5071.0
3,2022,-5,812,398,-1758,3689.0
2,2022,-24,1760,5,-1516,4064.0
1,2022,-18,-534,1384,-994,3097.0
4,2021,-9,-1337,1397,144,2740.0
3,2021,-14,-427,482,-62,2420.0
2,2021,-2,-748,158,879,480.0
1,2021,-19,-241,278,-82,1643.0
4,2020,-20,-1891,-150,2048,-2506.0
3,2020,-29,-1846,-177,1768,-174.0
2,2020,-340,-520,54,726,-179.0
1,2020,-84,-84,-418,-104,1041.0
4,2019,-722,-716,305,826,2667.0
3,2019,-11,-11,515,-471,1301.0
2,2019,-4,-2,1245,-1064,1786.0
1,2019,-8,-7,111,-273,1033.0
4,2018,0,121,-1051,1075,918.0
3,2018,-9,-9,163,-125,744.0
2,2018,-8,-652,441,217,563.0
1,2018,-1,302,400,-836,1540.0
4,2017,0,3,-2200,2184,-3947.0
3,2017,-5,-5,-131,180,269.0
2,2017,-3,-2,-818,642,-244.0
1,2017,-18,-18,-44,203,55.0
4,2016,324,324,-144,-80,619.0
3,2016,-26,-26,-31,33,96.0
2,2016,-297,-297,232,124,-227.0
1,2016,-40,-40,335,-311,435.0
4,2015,79,179,-59,-254,358.0
3,2015,-102,-353,309,143,-111.0
2,2015,-7,-7,45,-39,159.0
1,2015,-2,-2,80,-20,112.0
4,2014,-3,-3,-1,-2,-44.0
3,2014,-1,-53,0,63,-8.0
2,2014,-1,-1,-11,10,9.0
1,2014,0,0,6,-7,0.0
4,2013,0,0,-6,4,-2.0
3,2013,-1,-1,0,7,6.0
2,2013,-2,-2,0,-1,13.0
1,2013,0,0,8,-11,130.0
4,2012,-4,-4,-45,53,130.0
4,2012,-4,-4,-45,53,5.0
3,2012,-3,-3,42,-42,5.0
2,2012,0,-6,95,-81,118.0
1,2012,-1,6,139,-202,174.0
4,2011,2,27,254,-234,-95.0
4,2011,2,27,254,-234,-95.0
3,2011,-6,-5,-118,123,193.0
2,2011,-1,45,223,-278,605.0
1,2011,-5,-5,365,-358,823.0
3,2010,-9,-9,643,-638,497.0
2,2010,0,0,155,-118,0.0
1,2010,-15,-15,254,-245,
2,2009,-7,-7,230,-192,
