quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-13,83,-106,85,56
3,2024,5,5,161,-162,219
2,2024,-5,-5,-70,47,-47
1,2024,0,0,-6,18,-8
4,2023,0,0,57,-62,34
3,2023,2,2,-7,-19,40
2,2023,-2,-2,-61,6,5
1,2023,-1,-1,-62,11,9
4,2022,0,-4,129,-21,181
3,2022,5,7,87,-121,145
2,2022,-5,47,-13,-75,99
1,2022,0,0,-47,83,-51
4,2021,0,0,123,10,101
3,2021,14,14,16,-54,110
2,2021,-15,-14,-106,-65,77
1,2021,0,0,14,54,-16
4,2020,27,28,91,-67,-66
3,2020,-3,-4,43,18,19
2,2020,-25,-24,-19,79,-77
1,2020,0,0,-26,0,34
4,2019,0,0,69,-72,-102
3,2019,7,12,-42,50,8
2,2019,-14,-19,-134,41,-29
1,2019,-5,3,-3,31,2
4,2018,-4,-4,27,-20,-1273
3,2018,22,23,-51,-13,108
2,2018,-4,-13,9,87,-35
1,2018,-5,6,65,-151,192
4,2017,-10,-10,94,-45,76
3,2017,6,8,97,-67,123
2,2017,-25,-29,51,-23,45
1,2017,-9,-4,-1,-85,112
4,2016,-12,-14,-51,109,-272
3,2016,-11,-9,-131,102,-73
2,2016,-15,-15,-95,133,-108
1,2016,-3,-2,-28,5,63
4,2015,-57,-59,39,76,28
3,2015,18,18,128,-100,196
2,2015,-22,-22,115,-78,109
1,2015,0,0,82,-85,117
4,2014,-1,-1,50,-41,89
3,2014,7,7,33,-39,30
2,2014,-6,12,-8,-12,3
1,2014,-2,-19,13,8,16
4,2013,-5,-2,19,-3,19
3,2013,0,0,18,-4,6
2,2013,-6,-8,-6,8,1
1,2013,-6,-3,-25,1,-245
4,2012,31,52,-3,-47,-2
4,2012,31,52,-3,-47,-2
3,2012,1,-36,22,27,33
2,2012,-9,-4,0,-34,-189
1,2012,-27,-25,-79,169,47
4,2011,-2,64,-18,-58,23
4,2011,-2,64,-18,-58,23
3,2011,-2,1,-25,-4,40
2,2011,-2,2,-18,-22,23
1,2011,-1,0,17,-9,70
3,2010,-2,-1,53,-98,101
2,2010,-2,-2,35,-76,21
1,2010,0,2,-60,30,21
