quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-4,-14,-16,-12,-161
3,2024,1,-118,15,-12,35
2,2024,-1,-1,-4,142,-96
1,2024,0,2,-82,75,-14
4,2023,-2,42,65,-93,174
3,2023,0,-19,20,-26,-3
2,2023,0,53,0,-26,13
1,2023,0,11,0,-21,-12
4,2022,0,6,0,6,-9
3,2022,0,-11,0,-5,23
2,2022,0,3,0,3,5
1,2022,0,22,0,-22,25
4,2021,0,10,-21,13,-78
3,2021,0,17,0,-13,-29
2,2021,0,-67,0,-63,21
1,2021,0,-56,0,134,-139
4,2020,0,-36,0,40,-40
3,2020,0,-25,-135,214,-61
2,2020,-2,11,9,-29,240
1,2020,0,26,-44,-2,179
4,2019,-1,-52,155,-84,359
3,2019,0,22,0,-49,1
2,2019,-1,43,0,-14,-43
1,2019,0,16,0,-28,22
4,2018,-3,-44,0,54,6
3,2018,3,-26,0,39,28
2,2018,-3,-39,0,15,91
1,2018,0,-14,0,-29,140
4,2017,-4,29,0,-33,163
3,2017,1,-3,0,17,40
2,2017,-1,-9,0,-25,-12
1,2017,0,1,0,-23,-20
4,2016,0,51,-11,-68,-273
3,2016,5,12,-2,137,-215
2,2016,-5,-66,-22,115,-141
1,2016,0,61,0,-130,194
4,2015,0,0,-88,84,336
4,2015,0,0,-88,84,17
3,2015,2,3,-167,73,121
2,2015,-2,-2,-50,105,135
1,2015,0,0,0,-47,375
4,2014,0,1,-14,-72,407
3,2014,0,1,-60,46,123
2,2014,0,2,-28,177,121
1,2014,0,1,-22,68,121
4,2013,0,1,-22,-33,9
