time,open,high,low,close,volume
2024-01-25,20.9,21.0,20.3,20.7,121000
2024-01-26,20.8,20.8,20.4,20.6,74931
2024-01-29,20.6,20.8,20.4,20.6,84400
2024-01-30,20.6,20.9,20.5,20.6,82201
2024-01-31,21.3,21.3,20.3,20.3,169602
2024-02-01,20.3,20.5,20.3,20.3,67003
2024-02-02,20.3,20.4,20.3,20.3,55300
2024-02-05,20.3,20.6,20.3,20.5,122700
2024-02-06,20.6,20.8,20.5,20.8,138268
2024-02-07,20.8,20.9,20.7,20.8,88300
2024-02-15,20.8,20.8,20.6,20.7,69551
2024-02-16,20.7,20.9,20.7,20.7,159012
2024-02-19,21.0,21.8,20.9,21.5,446857
2024-02-20,21.5,21.9,21.2,21.4,140600
2024-02-21,21.6,21.6,21.0,21.3,116007
2024-02-22,21.3,21.9,21.3,21.3,297265
2024-02-23,21.5,21.7,20.6,20.7,161830
2024-02-26,20.8,20.8,20.4,20.8,122801
2024-02-27,20.8,21.2,20.7,21.0,120320
2024-02-28,21.0,22.2,21.0,21.4,718917
2024-02-29,21.4,21.5,20.7,20.9,220016
2024-03-01,20.9,21.2,20.7,20.9,285006
2024-03-04,21.0,21.5,21.0,21.3,279492
2024-03-05,21.4,21.6,21.1,21.4,227364
2024-03-06,21.6,21.7,20.9,21.3,298828
2024-03-07,21.4,22.3,21.4,22.0,784645
2024-03-08,22.2,22.5,21.4,21.4,284656
2024-03-11,21.5,21.8,20.8,21.0,311968
2024-03-12,21.1,21.2,20.7,20.9,243720
2024-03-13,20.8,22.0,20.8,21.8,467230
2024-03-14,22.0,23.9,22.0,23.5,1194527
2024-03-15,23.6,24.6,22.9,23.3,467217
2024-03-18,24.0,24.0,22.0,22.4,698180
2024-03-19,22.6,23.6,22.6,23.0,281077
2024-03-20,23.2,23.6,22.9,23.2,278896
2024-03-21,23.5,24.5,23.1,23.7,731674
2024-03-22,24.1,24.1,23.4,23.5,459817
2024-03-25,24.0,24.4,23.0,23.3,442357
2024-03-26,23.5,24.0,23.5,23.9,259420
2024-03-27,24.2,25.1,24.0,24.5,358995
2024-03-28,24.1,24.5,23.9,24.0,178365
2024-03-29,24.3,24.9,24.1,24.3,400760
2024-04-01,24.1,25.3,24.1,24.9,486483
2024-04-02,25.0,26.3,24.4,26.3,680937
2024-04-03,26.3,26.9,25.7,26.0,410241
