quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-7,-78,112,59,-217
3,2024,3,151,-141,-9,-10
2,2024,-8,9,-45,-36,82
1,2024,-3,-118,-338,205,-221
4,2023,-2,11,253,-18,-41
3,2023,-7,50,112,-6,57
2,2023,-1,65,56,-83,107
1,2023,-4,-81,-45,72,-42
4,2022,-2,-82,102,19,236
3,2022,0,-11,-99,134,-112
2,2022,0,19,185,-212,235
1,2022,0,-33,-73,76,-57
4,2021,-1,25,51,-26,174
3,2021,0,-100,15,63,-38
2,2021,-3,-115,15,-209,234
1,2021,0,11,-2,38,-25
4,2020,-1,44,110,-191,-215
3,2020,0,-32,45,121,-98
2,2020,-1,37,-234,249,-242
1,2020,0,2,-38,53,-19
4,2019,0,23,-139,65,-117
3,2019,0,-70,-257,291,-230
2,2019,-1,119,-185,167,-108
1,2019,0,2,-21,44,-4
4,2018,-9,-58,96,-350,103
3,2018,24,28,21,27,-10
2,2018,-26,-15,210,-95,73
1,2018,1,-6,-391,354,-342
4,2017,-1,11,-72,197,-33
3,2017,-2,0,122,-145,166
2,2017,-23,-71,339,-251,251
1,2017,0,10,-292,349,-408
4,2016,-11,-25,-238,204,189
3,2016,7,1,207,-411,360
2,2016,-1,17,194,-72,114
1,2016,-1,5,-43,40,43
4,2015,-9,0,-150,128,264
3,2015,-13,-12,-64,-29,173
2,2015,-7,-4,-42,47,179
1,2015,-4,-2,-42,-14,266
4,2014,-16,-14,-21,122,475
3,2014,0,1,-92,76,289
2,2014,-30,-72,140,19,302
1,2014,-5,46,18,-176,190
4,2013,-5,-108,99,113,43
3,2013,-23,3,-6,23,24
2,2013,-11,-6,113,79,207
1,2013,-1,0,-123,-88,236
4,2012,6,17,178,-60,1
4,2012,6,17,178,-60,1
3,2012,-6,-3,-61,163,-86
2,2012,-58,-59,-82,158,263
1,2012,-3,-3,8,-79,455
4,2011,-123,-149,-2,66,52
4,2011,-123,-149,-2,66,52
3,2011,-17,-17,0,96,206
2,2011,-18,111,34,-82,129
1,2011,-3,-5,-37,-134,174
4,2010,-17,48,206,-98,41
4,2010,-17,48,206,-98,61
3,2010,-8,-7,-12,110,32
2,2010,-12,7,52,-51,40
1,2010,-3,-5,-37,-134,40
