quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-1227,-1065,-99,117,975.0
3,2024,-72,459,-148,435,837.0
2,2024,-53,-192,-275,750,623.0
1,2024,-19,41,84,-264,1516.0
4,2023,-54,-372,-187,583,1324.0
3,2023,-36,-2,-120,538,497.0
2,2023,-26,30,-151,384,490.0
1,2023,-30,-523,-131,70,533.0
4,2022,5,446,-23,90,1484.0
3,2022,-35,265,-91,81,211.0
2,2022,-35,363,-69,-86,563.0
1,2022,-72,156,-55,-273,520.0
4,2021,-140,186,-32,199,618.0
3,2021,-106,130,14,-112,305.0
2,2021,-35,313,-23,-386,665.0
1,2021,-328,-168,193,-118,-177.0
4,2020,-188,-664,119,-70,298.0
3,2020,-22,-309,53,192,202.0
2,2020,-338,-454,-15,461,-364.0
1,2020,-3,176,-30,-270,907.0
4,2019,-10,310,-23,53,1240.0
4,2019,-10,310,-23,53,189.0
3,2019,-10,-103,-22,-55,738.0
2,2019,-11,-206,-20,31,865.0
1,2019,-11,-206,-22,-124,635.0
4,2018,12,-302,-249,492,837.0
3,2018,-52,254,-61,-104,473.0
2,2018,-29,321,-33,208,88.0
1,2018,-9,853,-588,-415,403.0
4,2017,-21,-77,-82,344,811.0
3,2017,-24,-439,-299,155,26.0
2,2017,5,70,-138,-88,176.0
1,2017,-8,87,-235,-293,146.0
4,2016,-15,-34,-73,261,455.0
3,2016,-60,70,-305,550,61.0
2,2016,-153,-481,-299,95,1013.0
1,2016,-7,-382,-315,158,1501.0
4,2015,-139,-378,-149,805,-267.0
3,2015,-62,-54,-778,644,2408.0
2,2015,-233,-514,313,380,3002.0
1,2015,-3215,-3185,2070,943,-821.0
4,2014,-1565,-657,12,1446,3305.0
3,2014,-40,-205,-1105,994,2873.0
2,2014,-31,-43,-339,653,2282.0
1,2014,-70,-459,-527,807,2744.0
4,2013,-61,-84,-491,768,2108.0
3,2013,-83,-441,8,517,1498.0
2,2013,-94,-65,212,1020,1982.0
1,2013,-14,-9,-288,374,1452.0
4,2012,-209,-202,-924,1085,2381.0
4,2012,-209,-202,-924,1085,2381.0
3,2012,388,359,-496,355,413.0
2,2012,-1007,-974,375,580,2113.0
1,2012,461,405,-361,198,-1924.0
4,2011,-1821,-1847,402,1447,-194.0
4,2011,-1821,-1847,402,1447,-194.0
3,2011,-857,-875,-6,981,1100.0
2,2011,-117,-107,-219,385,1931.0
1,2011,-46,-28,-105,-297,227.0
3,2010,-656,-486,-249,375,790.0
2,2010,-615,-457,-92,275,1265.0
1,2010,-11,118,7,-287,1265.0
1,2009,-560,-495,738,263,-3002.0
1,2008,-787,-786,567,338,
