quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-527,-498,-20,114562,0
3,2024,-458,-445,0,-15217,0
2,2024,-358,-230,0,20401,0
1,2024,-133,-131,0,-63174,0
4,2023,-621,-630,-16,8811,0
3,2023,-107,11,0,38103,0
2,2023,-206,-191,0,-134034,0
1,2023,-74,-49,0,47586,0
4,2022,-641,-634,-19,122479,0
3,2022,-3,291,0,10616,0
2,2022,-46,-31,0,67662,0
1,2022,-22,-17,-3329,-17381,0
4,2021,-1108,-1024,-1139,-11550,0
3,2021,-157,-221,0,35042,0
2,2021,-294,-290,0,-21423,0
1,2021,-64,-54,-748,-56850,0
4,2020,-1981,-1871,-2238,108224,0
3,2020,-586,-583,0,-20097,0
2,2020,-390,130,-748,24360,0
1,2020,-45,-33,0,-85460,0
4,2019,-647,-562,0,32991,0
3,2019,-65,-47,0,30302,0
2,2019,-252,-68,0,14386,0
1,2019,-24,-13,6106,-55058,0
4,2018,-596,1204,-2915,66485,0
3,2018,-336,-220,0,1222,0
2,2018,-105,193,0,-88677,0
1,2018,-98,408,0,-42649,0
4,2017,-817,-489,-2878,68358,0
3,2017,-95,-70,0,25636,0
2,2017,-152,-146,0,41066,0
1,2017,-75,9,0,-30789,0
4,2016,-778,-768,0,24916,0
3,2016,-335,-310,-2665,24384,0
2,2016,-110,-118,0,6093,0
1,2016,-49,-28,0,-38951,0
4,2015,-899,-908,0,9069,0
3,2015,-104,-133,-2665,22828,0
2,2015,-141,-126,0,-1160,0
1,2015,-50,-30,0,-41363,0
4,2014,-749,-1161,0,7552,0
3,2014,-139,-127,-2781,14226,0
2,2014,-92,-29,0,42472,0
1,2014,-8,-6,0,-27397,0
4,2013,-892,-563,0,16326,0
3,2013,-140,-73,0,-22782,0
2,2013,-86,8,0,23453,0
1,2013,-11,27,-2781,-511,0
4,2012,-1352,-1247,0,-14324,0
4,2012,-1352,-1247,0,-14324,0
3,2012,-94,-81,0,10254,0
1,2012,-119,-110,11819,-21551,0
4,2011,-1081,733,0,29389,0
4,2011,-1081,733,0,29389,0
3,2011,-357,-350,0,-18551,0
1,2011,-17,69,4364,-9727,0
3,2010,-170,-98,1123,1163,0
2,2010,-7,-19,-1332,14806,0
1,2010,-93,-79,-120,-31075,0
