time,open,high,low,close,volume
2024-01-25,60.94,61.27,60.67,60.87,505031
2024-01-26,61.27,61.54,61.14,61.54,953670
2024-01-29,61.4,61.54,60.8,61.0,732044
2024-01-30,61.0,61.0,60.27,60.87,889895
2024-01-31,60.6,60.6,59.2,59.2,947351
2024-02-01,58.86,60.34,58.86,60.07,598963
2024-02-02,59.6,60.54,59.6,60.4,734186
2024-02-05,60.34,60.6,59.8,60.2,1950335
2024-02-06,60.4,60.6,59.6,59.87,1353403
2024-02-07,60.2,60.74,59.73,60.2,1372449
2024-02-15,60.2,60.67,59.6,60.13,1047830
2024-02-16,60.13,60.34,59.87,59.93,735346
2024-02-19,60.13,60.54,59.73,60.34,1046679
2024-02-20,60.27,61.14,59.8,61.07,1405753
2024-02-21,61.34,61.34,60.54,61.0,1369259
2024-02-22,60.6,60.87,59.87,59.87,1224789
2024-02-23,59.87,61.14,59.46,59.46,1802815
2024-02-26,59.46,60.2,59.46,59.87,722488
2024-02-27,59.93,61.0,59.6,60.94,1608348
2024-02-28,60.87,65.15,60.47,65.15,4227766
2024-02-29,65.89,67.22,65.08,65.08,1902870
2024-03-01,65.69,65.69,63.48,65.08,2383117
2024-03-04,65.55,65.55,63.95,64.21,1643680
2024-03-05,64.62,64.62,63.68,63.88,1366903
2024-03-06,63.88,64.75,63.61,63.95,2072535
2024-03-07,64.15,65.15,63.88,64.08,2364334
2024-03-08,64.15,64.55,63.61,63.61,2231150
2024-03-11,63.61,64.21,62.94,62.94,1842420
2024-03-12,62.94,63.48,62.88,63.14,1108496
2024-03-13,63.48,64.55,63.08,64.21,3126592
2024-03-14,64.21,64.28,63.28,63.55,2322431
2024-03-15,63.55,63.55,62.81,62.88,2304560
2024-03-18,63.08,63.21,61.87,62.21,1843874
2024-03-19,61.87,62.54,61.87,61.87,870431
2024-03-20,61.87,62.94,61.87,62.34,899448
2024-03-21,62.88,63.88,62.88,63.68,1454765
2024-03-22,63.68,64.75,63.68,64.48,1846861
2024-03-25,63.55,64.82,62.94,64.01,1370504
2024-03-26,64.21,64.62,64.08,64.42,736873
2024-03-27,64.35,64.35,63.95,64.08,1047647
2024-03-28,64.35,64.48,63.95,64.01,1233566
2024-03-29,64.15,64.15,63.48,63.48,801942
2024-04-01,63.48,64.21,63.34,63.68,1222710
2024-04-02,63.61,63.68,62.81,63.21,970357
2024-04-03,63.14,63.41,62.74,62.74,1323149
2024-04-04,63.48,64.21,63.14,64.21,2024326
2024-04-05,63.41,63.95,63.01,63.48,780020
2024-04-08,63.48,63.75,63.01,63.48,865357
2024-04-09,63.55,63.81,63.01,63.08,688518
2024-04-10,63.08,63.28,62.94,63.21,738740
2024-04-11,62.88,63.28,62.54,62.88,778946
2024-04-12,63.21,63.88,62.74,63.28,846008
2024-04-15,63.28,64.55,61.54,61.54,1902194
2024-04-16,62.74,62.74,60.54,60.87,1860102
2024-04-17,61.0,61.61,59.87,60.54,1454446
2024-04-19,60.2,60.8,60.0,60.54,1326423
2024-04-22,60.54,61.14,60.34,60.6,999830
2024-04-23,60.6,61.0,59.67,60.27,1565162
2024-04-24,60.87,60.94,60.27,60.6,1926287
2024-04-25,60.6,62.14,60.54,60.87,1236861
2024-04-26,61.34,62.41,61.0,61.0,1699786
2024-05-02,61.61,61.87,60.94,61.47,933709
2024-05-03,61.81,62.48,61.4,61.87,1472206
2024-05-06,62.14,62.41,62.01,62.21,1148815
2024-05-07,62.48,62.94,62.14,62.14,1155689
2024-05-08,62.01,62.34,61.61,62.21,1247171
2024-05-09,62.14,62.48,61.74,61.87,607990
2024-05-10,62.01,62.01,61.34,61.54,824888
2024-05-13,61.61,61.81,60.54,60.87,1234518
2024-05-14,60.94,61.27,60.54,60.6,819950
2024-05-15,60.87,61.07,60.74,60.87,884744
2024-05-16,61.54,62.01,61.2,61.94,1715536
2024-05-17,61.94,61.94,61.34,61.4,1086438
2024-05-20,61.74,62.21,61.4,61.47,1045431
2024-05-21,61.47,61.54,60.67,60.94,1488654
2024-05-22,61.2,61.34,60.67,60.67,1349994
2024-05-23,60.67,61.2,60.54,60.87,1318403
2024-05-24,60.87,60.87,60.2,60.34,2243441
2024-05-27,60.47,60.6,60.0,60.34,1060054
2024-05-28,60.07,60.67,60.07,60.67,1351470
2024-05-29,60.74,60.87,60.07,60.07,1188182
2024-05-30,59.87,60.0,59.2,59.26,2358180
2024-05-31,59.33,59.53,58.33,58.33,3927010
2024-06-03,58.86,59.73,58.86,59.0,2111127
2024-06-04,59.46,59.67,59.06,59.33,1818442
2024-06-05,59.33,59.87,59.26,59.4,1886226
2024-06-06,59.46,60.0,59.4,59.53,1702865
2024-06-07,59.6,60.0,59.2,59.2,1131101
2024-06-10,59.46,59.67,58.8,58.86,2643949
2024-06-11,59.06,59.13,58.26,58.33,2256534
2024-06-12,58.46,59.67,58.19,59.33,2251490
2024-06-13,59.46,59.6,59.13,59.13,1603414
2024-06-14,59.2,59.6,58.53,58.53,2484887
2024-06-17,58.6,58.73,58.26,58.26,2295281
2024-06-18,58.53,59.2,58.26,58.26,1372946
2024-06-19,58.4,58.53,57.86,57.93,2176749
2024-06-20,57.93,57.93,57.26,57.52,2654038
2024-06-21,57.59,57.99,57.19,57.52,1809985
2024-06-24,57.52,58.46,57.19,57.19,2153682
2024-06-25,57.32,57.99,57.19,57.19,1567779
2024-06-26,57.46,57.73,56.99,56.99,1709970
2024-06-27,56.99,57.52,56.99,56.99,1425080
